,Image.Name,Date,Altitude,var,dens,Rows,Plots,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001,2022-01-19,15m,HONDIA,70,R1,101,0.34899735,30.144665,0.097387314,38.40184,-0.46342152,11.801155,5.193311,13.162075,0.026705085,0.004839078,81.87956456,-0.0473,0.0115,220.2889,528.0239
2,R-001_Plot-001,2022-05-03,50m,HONDIA,70,R1,101,0.24344335,146.93494,0.28211474,31.125,-19.842415,12.106254,-17.563416,15.439934,0.998752269,0.99141712,0.734431194,0.3152,0.3156,2468.1208,2470.1639
3,R-001_Plot-001,2022-04-05,50m,HONDIA,70,R1,101,0.22837938,81.5026,0.19519764,27.474812,-8.609359,15.49801,-3.750173,15.921288,0.808681186,0.561895039,30.5171124,0.0835,0.113,1507.0102,1636.7996
32,R-001_Plot-010,2022-05-03,50m,BOLOGNA,280,R1,110,0.16627246,96.2053,0.19973165,20.25,-9.6457,13.193159,-5.1419625,12.261413,0.824750454,0.750642771,8.985467382,0.1617,0.2074,1475.6723,1629.9104
13,R-001_Plot-001,2022-02-03,30m,HONDIA,70,R1,101,0.3187326,28.378153,0.12301344,35.202168,0.59880877,12.407261,6.682037,13.157943,0.001169591,6.38E-05,94.54545455,-0.0632,0.0045,202.2495,652.2581
6,R-001_Plot-001,2022-01-19,30m,HONDIA,70,R1,101,0.3450609,35.24895,0.13850391,38.519615,-0.6928057,14.590548,6.115888,15.993495,0.018053977,0.001413643,92.16990788,-0.0515,0.0104,479.2918,881.4072
7,R-001_Plot-001,2022-03-09,15m,HONDIA,70,R1,101,0.29882693,46.971096,0.09658325,33.3753,-2.8740525,11.067428,1.5538572,12.198068,0.310486631,0.145107932,53.26435433,-0.0101,0.0506,487.5769,916.7237
17,R-001_Plot-010,2022-02-03,30m,BOLOGNA,280,R1,110,0.33958694,32.03335,0.12400788,37.651146,-0.21419118,13.287249,6.1431475,14.505984,0.005603402,5.32E-05,99.0512334,-0.0535,0.0053,330.1458,781.945
47,R-001_Plot-011,2022-05-03,50m,MARCOPOLO,70,R1,111,0.20345278,94.07634,0.14746177,24.152676,-8.614686,12.393303,-4.5896873,12.58207,0.844751966,0.724667272,14.21537911,0.1086,0.1391,1280.1751,1371.9434
10,R-001_Plot-001,2022-04-19,50m,HONDIA,70,R1,101,0.17337507,132.43192,0.26048017,23.05954,-17.55826,14.021527,-13.034257,14.78886,0.999168179,0.990169389,0.900628169,0.3257,0.326,2362.9588,2364.296
11,R-001_Plot-001,2022-03-22,50m,HONDIA,70,R1,101,0.3091897,44.54014,0.1367206,34.89753,-2.5661523,13.766215,3.1059976,14.960369,0.236653055,0.031155475,86.83495766,-0.024,0.0219,659.3028,987.5395
