"","Image.Name","Date","Altitude","var","dens","Rows","Plots","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"1","R-001_Plot-012","2022-03-09","15m","HONDIA","35","R1",112,0.31012928,55.454002,0.095103264,34.811573,-3.858325,11.55049,0.5446747,13.033093,0.40784040979444,0.134314764522753,67.0668326881953,-4e-04,0.0343,619.1466,910.2798
"2","R-001_Plot-012","2022-04-19","50m","HONDIA","35","R1",112,0.21468003,103.14394,0.16097659,26.371742,-11.757589,14.413007,-7.516474,15.231968,0.89409407138536,0.773328796128252,13.5069987736288,0.1486,0.1721,1757.7703,1871.3482
"3","R-001_Plot-012","2022-02-03","15m","HONDIA","35","R1",112,0.29137957,28.039755,0.08993393,31.974724,-0.29779363,9.813118,4.210356,10.367458,0.0358018149301186,0.00549226115563799,84.659266111625,-0.0502,0.0099,128.3728,510.9291
"4","R-001_Plot-012","2022-04-05","50m","HONDIA","35","R1",112,0.252141,51.84695,0.14551508,28.668285,-3.3509505,12.496777,1.3850156,12.832704,0.450506654567453,0.18530701754386,58.8669744020143,-0.0047,0.0472,709.0519,988.5501
"5","R-001_Plot-012","2022-02-14","15m","HONDIA","35","R1",112,0.2738624,39.205334,0.09233886,30.332405,-1.8015937,9.882261,2.3003874,10.466089,0.152497184871166,0.0279084144752821,81.6990625113114,-0.0284,0.0128,316.7853,525.8121
"6","R-001_Plot-012","2022-02-02","30m","HONDIA","35","R1",112,0.34640312,28.815266,0.10530543,38.12141,0.0467218,12.149162,6.0171585,13.389467,0.00157363104731526,1.06326422115896e-05,99.3243243243243,-0.0534,0.0029,200.2869,619.9662
"7","R-001_Plot-012","2022-03-22","50m","HONDIA","35","R1",112,0.3178161,41.08628,0.11259484,35.497234,-2.110414,12.396501,3.1550276,13.660434,0.156722625529341,0.00967937084089534,93.8238841978287,-0.0278,0.0106,488.3226,794.5259
"8","R-001_Plot-012","2022-05-03","50m","HONDIA","35","R1",112,0.19936949,119.71621,0.13491464,25.029606,-14.056812,13.629468,-10.018126,14.574047,0.899198427102238,0.847512099213551,5.74804473971913,0.2288,0.2606,1942.2094,2055.1825
"9","R-001_Plot-012","2022-02-14","30m","HONDIA","35","R1",112,0.2705112,29.52477,0.11484516,29.823874,0.03258814,10.585383,4.8221564,10.753618,0.0143304598497658,0.0012103741072336,91.5538362346873,-0.0573,0.0085,187.1177,577.2716
"10","R-001_Plot-012","2022-03-09","30m","HONDIA","35","R1",112,0.30718678,38.744663,0.099493206,34.113216,-1.7584519,11.171328,3.0346713,12.212499,0.152266910589388,0.0330219622843732,78.3131067961165,-0.0288,0.0252,374.2874,849.0664
