"","var","dens","Rows","Plots","picref"
"1","HONDIA","70","R1",101,"1"
"2","MARCOPOLO","140","R1",102,"2"
"3","BOLOGNA","560","R1",103,"3"
"4","BOLOGNA","70","R1",104,"4"
"5","MARCOPOLO","560","R1",105,"5"
"6","HONDIA","280","R1",106,"6"
"7","HONDIA","560","R1",107,"7"
"8","BOLOGNA","140","R1",108,"8"
"9","MARCOPOLO","35","R1",109,"9"
"10","BOLOGNA","280","R1",110,"10"
"11","MARCOPOLO","70","R1",111,"11"
"12","HONDIA","35","R1",112,"12"
"13","BOLOGNA","35","R1",113,"13"
"14","HONDIA","140","R1",114,"14"
"15","MARCOPOLO","280","R1",115,"15"
"16","HONDIA","280","R2",201,"16"
"17","BOLOGNA","560","R2",202,"17"
"18","MARCOPOLO","140","R2",203,"18"
"19","BOLOGNA","140","R2",204,"19"
"20","MARCOPOLO","35","R2",205,"20"
"21","HONDIA","70","R2",206,"21"
"22","HONDIA","35","R2",207,"22"
"23","MARCOPOLO","560","R2",208,"23"
"24","BOLOGNA","70","R2",209,"24"
"25","BOLOGNA","35","R2",210,"25"
"26","HONDIA","560","R2",211,"26"
"27","MARCOPOLO","280","R2",212,"27"
"28","BOLOGNA","280","R2",213,"28"
"29","HONDIA","140","R2",214,"29"
"30","MARCOPOLO","70","R2",215,"30"
"31","MARCOPOLO","560","R3",301,"31"
"32","BOLOGNA","70","R3",302,"32"
"33","HONDIA","35","R3",303,"33"
"34","HONDIA","140","R3",304,"34"
"35","MARCOPOLO","70","R3",305,"35"
"36","BOLOGNA","280","R3",306,"36"
"37","HONDIA","280","R3",307,"37"
"38","MARCOPOLO","140","R3",308,"38"
"39","BOLOGNA","560","R3",309,"39"
"40","BOLOGNA","35","R3",310,"40"
"41","HONDIA","560","R3",311,"41"
"42","MARCOPOLO","280","R3",312,"42"
"43","BOLOGNA","140","R3",313,"43"
"44","MARCOPOLO","35","R3",314,"44"
"45","HONDIA","70","R3",315,"45"
"46","HONDIA","35","R4",401,"46"
"47","MARCOPOLO","560","R4",402,"47"
"48","BOLOGNA","70","R4",403,"48"
"49","BOLOGNA","560","R4",404,"49"
"50","HONDIA","280","R4",405,"50"
"51","MARCOPOLO","140","R4",406,"51"
"52","MARCOPOLO","70","R4",407,"52"
"53","HONDIA","140","R4",408,"53"
"54","BOLOGNA","280","R4",409,"54"
"55","BOLOGNA","140","R4",410,"55"
"56","MARCOPOLO","35","R4",411,"56"
"57","HONDIA","70","R4",412,"57"
"58","MARCOPOLO","280","R4",413,"58"
"59","BOLOGNA","35","R4",414,"59"
"60","HONDIA","560","R4",415,"60"
