 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,-0.0240,0.0219,659.3028,987.5395
2,R-001_Plot-002.tif,0.0334,0.0606,889.8539,1009.7058
3,R-001_Plot-003.tif,0.2134,0.2134,1125.9364,1125.9364
4,R-001_Plot-004.tif,-0.0204,0.0155,638.1449,874.3024
5,R-001_Plot-005.tif,0.2621,0.2621,1146.2925,1146.2925
6,R-001_Plot-006.tif,0.1317,0.1323,1255.9823,1258.1026
7,R-001_Plot-007.tif,0.2859,0.2859,1459.0253,1459.0253
8,R-001_Plot-008.tif,0.0520,0.0666,941.5939,1009.0854
9,R-001_Plot-009.tif,-0.0522,0.0133,377.5507,857.4345
10,R-001_Plot-010.tif,0.1116,0.1155,1106.2848,1121.9789
11,R-001_Plot-011.tif,-0.0187,0.0129,592.9218,794.0900
12,R-001_Plot-012.tif,-0.0278,0.0106,488.3226,794.5259
13,R-001_Plot-013.tif,-0.0336,0.0097,427.7656,794.8878
14,R-001_Plot-014.tif,0.0279,0.0452,787.7257,880.6604
15,R-001_Plot-015.tif,0.1619,0.1621,1039.1555,1039.6518
16,R-002_Plot-016.tif,0.1007,0.1024,1015.8305,1025.4590
17,R-002_Plot-017.tif,0.1536,0.1536,989.7081,989.7380
18,R-002_Plot-018.tif,0.0247,0.0313,686.5478,722.6102
19,R-002_Plot-019.tif,0.0153,0.0286,748.7889,824.5722
20,R-002_Plot-020.tif,-0.0364,0.0050,343.1759,732.4330
21,R-002_Plot-021.tif,-0.0250,0.0136,520.9014,834.3993
22,R-002_Plot-022.tif,-0.0418,0.0148,335.5881,847.2949
23,R-002_Plot-023.tif,0.2625,0.2625,1128.0938,1128.0938
24,R-002_Plot-024.tif,-0.0349,0.0151,442.0554,807.9383
25,R-002_Plot-025.tif,-0.0526,0.0106,255.2547,856.5093
26,R-002_Plot-026.tif,0.2623,0.2623,1415.8626,1415.8626
27,R-002_Plot-027.tif,0.2353,0.2357,1076.4194,1077.0727
28,R-002_Plot-028.tif,0.1289,0.1339,986.2445,1000.0107
29,R-002_Plot-029.tif,0.0688,0.0761,1047.0259,1082.1873
30,R-002_Plot-030.tif,-0.0302,0.0124,501.6411,756.6440
31,R-003_Plot-031.tif,0.2437,0.2437,1071.1708,1071.1708
32,R-003_Plot-032.tif,-0.0247,0.0094,588.2666,849.0150
33,R-003_Plot-033.tif,-0.0399,0.0192,350.8738,808.5406
34,R-003_Plot-034.tif,0.0815,0.0895,1030.0529,1067.5105
35,R-003_Plot-035.tif,-0.0266,0.0113,470.9169,740.0080
36,R-003_Plot-036.tif,0.1044,0.1068,981.7393,989.4540
37,R-003_Plot-037.tif,0.1092,0.1111,1081.2163,1089.0449
38,R-003_Plot-038.tif,0.0275,0.0450,710.4394,787.3645
39,R-003_Plot-039.tif,0.1585,0.1587,1018.1301,1018.6158
40,R-003_Plot-040.tif,-0.0358,0.0084,369.6402,786.9016
41,R-003_Plot-041.tif,0.2120,0.2120,1273.9060,1273.9060
42,R-003_Plot-042.tif,0.1391,0.1405,945.0002,949.0261
43,R-003_Plot-043.tif,0.0175,0.0258,652.0720,699.0423
44,R-003_Plot-044.tif,-0.0280,0.0080,277.0329,632.7541
45,R-003_Plot-045.tif,-0.0092,0.0165,463.9252,664.4258
46,R-004_Plot-046.tif,-0.0198,0.0130,356.6822,637.6841
47,R-004_Plot-047.tif,0.2072,0.2072,955.7199,955.7199
48,R-004_Plot-048.tif,-0.0051,0.0108,563.6585,674.6501
49,R-004_Plot-049.tif,0.1944,0.1951,975.4862,976.3564
50,R-004_Plot-050.tif,0.1622,0.1623,1160.8587,1161.1636
51,R-004_Plot-051.tif,0.0259,0.0421,748.6266,820.6851
52,R-004_Plot-052.tif,-0.0157,0.0222,501.0110,738.0027
53,R-004_Plot-053.tif,0.0423,0.0614,836.5867,936.3910
54,R-004_Plot-054.tif,0.1283,0.1321,1037.1586,1049.2884
55,R-004_Plot-055.tif,0.0124,0.0334,706.2704,811.6133
56,R-004_Plot-056.tif,-0.0500,0.0215,231.9612,806.7986
57,R-004_Plot-057.tif,-0.0078,0.0253,631.0010,850.5269
58,R-004_Plot-058.tif,0.1984,0.1990,1006.1307,1007.3903
59,R-004_Plot-059.tif,-0.0381,0.0109,435.8432,869.3712
60,R-004_Plot-060.tif,0.2691,0.2691,1298.7179,1298.7179
