 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,0.3257,0.3260,2362.9588,2364.2960
2,R-001_Plot-002.tif,0.2974,0.2978,1695.0034,1696.3240
3,R-001_Plot-003.tif,0.3552,0.3552,1979.9735,1979.9735
4,R-001_Plot-004.tif,0.2164,0.2277,1632.6683,1668.0767
5,R-001_Plot-005.tif,0.3045,0.3045,1536.1566,1536.1566
6,R-001_Plot-006.tif,0.3975,0.3975,1978.3350,1978.3350
7,R-001_Plot-007.tif,0.3644,0.3658,1932.3663,1935.8570
8,R-001_Plot-008.tif,0.2702,0.2727,1594.6491,1601.0534
9,R-001_Plot-009.tif,0.0326,0.0886,1108.6381,1361.1257
10,R-001_Plot-010.tif,0.3017,0.3017,1550.7152,1550.7152
11,R-001_Plot-011.tif,0.1310,0.1487,1327.3340,1387.4859
12,R-001_Plot-012.tif,0.1515,0.1723,1769.1861,1867.2921
13,R-001_Plot-013.tif,0.0172,0.0873,1121.6323,1457.1895
14,R-001_Plot-014.tif,0.3096,0.3121,1746.0033,1753.3818
15,R-001_Plot-015.tif,0.3119,0.3119,1277.5873,1277.5873
16,R-002_Plot-016.tif,0.4148,0.4148,1766.3300,1766.3300
17,R-002_Plot-017.tif,0.3238,0.3238,1655.6295,1655.6295
18,R-002_Plot-018.tif,0.2781,0.2807,1469.9465,1476.5877
19,R-002_Plot-019.tif,0.2577,0.2604,1600.0870,1607.6596
20,R-002_Plot-020.tif,0.0503,0.1009,1234.2432,1451.3413
21,R-002_Plot-021.tif,0.2314,0.2368,2037.0926,2059.8814
22,R-002_Plot-022.tif,0.1153,0.1585,1690.4600,1896.9468
23,R-002_Plot-023.tif,0.2894,0.2894,1330.1391,1330.1391
24,R-002_Plot-024.tif,0.0731,0.1079,1339.7707,1490.4225
25,R-002_Plot-025.tif,0.0053,0.0700,1289.1858,1691.8763
26,R-002_Plot-026.tif,0.3834,0.3834,1968.3122,1968.3122
27,R-002_Plot-027.tif,0.3188,0.3188,1443.3010,1443.3010
28,R-002_Plot-028.tif,0.3070,0.3071,1849.0058,1849.5447
29,R-002_Plot-029.tif,0.3720,0.3720,2134.2971,2134.2971
30,R-002_Plot-030.tif,0.1677,0.1729,1695.9547,1713.7366
31,R-003_Plot-031.tif,0.3477,0.3477,1701.9383,1701.9383
32,R-003_Plot-032.tif,0.1211,0.1437,1569.3544,1666.5296
33,R-003_Plot-033.tif,0.1345,0.1733,1863.8804,2066.1750
34,R-003_Plot-034.tif,0.3801,0.3801,2160.4883,2160.4883
35,R-003_Plot-035.tif,0.1559,0.1618,1534.9306,1556.3112
36,R-003_Plot-036.tif,0.2916,0.2916,1630.7982,1630.7982
37,R-003_Plot-037.tif,0.3789,0.3789,2028.6162,2028.6162
38,R-003_Plot-038.tif,0.2780,0.2784,1510.4072,1511.5014
39,R-003_Plot-039.tif,0.2666,0.2666,1706.2196,1706.2196
40,R-003_Plot-040.tif,-0.0027,0.0676,1074.9068,1474.6619
41,R-003_Plot-041.tif,0.3823,0.3823,1945.3286,1945.3286
42,R-003_Plot-042.tif,0.3583,0.3583,1427.0966,1427.0966
43,R-003_Plot-043.tif,0.2483,0.2495,1634.7113,1638.4038
44,R-003_Plot-044.tif,-0.0110,0.0847,885.3269,1339.9416
45,R-003_Plot-045.tif,0.2508,0.2580,1862.5989,1887.2050
46,R-004_Plot-046.tif,0.1328,0.1704,1594.1442,1759.7340
47,R-004_Plot-047.tif,0.2900,0.2903,1311.7684,1312.1948
48,R-004_Plot-048.tif,0.1976,0.2105,1543.1053,1580.5909
49,R-004_Plot-049.tif,0.3816,0.3817,1717.0168,1717.2817
50,R-004_Plot-050.tif,0.4388,0.4388,1960.5929,1960.5929
51,R-004_Plot-051.tif,0.2488,0.2534,1441.2750,1453.4676
52,R-004_Plot-052.tif,0.1448,0.1691,1389.8136,1465.7604
53,R-004_Plot-053.tif,0.4019,0.4019,1977.6374,1977.6374
54,R-004_Plot-054.tif,0.2751,0.2751,1682.5628,1682.7414
55,R-004_Plot-055.tif,0.2290,0.2319,1558.9443,1567.5167
56,R-004_Plot-056.tif,0.0031,0.0795,1054.9796,1453.5556
57,R-004_Plot-057.tif,0.3073,0.3076,2134.7315,2135.6234
58,R-004_Plot-058.tif,0.3287,0.3287,1543.8307,1543.8307
59,R-004_Plot-059.tif,0.0573,0.1205,1394.4306,1694.8313
60,R-004_Plot-060.tif,0.3807,0.3807,2169.0028,2169.0028
