 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,0.3152,0.3156,2468.1208,2470.1639
2,R-001_Plot-002.tif,0.2118,0.2316,1673.6810,1740.4177
3,R-001_Plot-003.tif,0.2583,0.2681,2301.8051,2338.8085
4,R-001_Plot-004.tif,0.2487,0.2610,2009.8302,2061.8687
5,R-001_Plot-005.tif,0.2153,0.2322,1452.4951,1491.9458
6,R-001_Plot-006.tif,0.3251,0.3327,1679.3215,1698.9450
7,R-001_Plot-007.tif,0.2636,0.3119,1560.6938,1673.2422
8,R-001_Plot-008.tif,0.2043,0.2534,1559.9263,1710.2404
9,R-001_Plot-009.tif,0.0508,0.1140,1213.6317,1461.7298
10,R-001_Plot-010.tif,0.1617,0.2074,1475.6723,1629.9104
11,R-001_Plot-011.tif,0.1086,0.1391,1280.1751,1371.9434
12,R-001_Plot-012.tif,0.2288,0.2606,1942.2094,2055.1825
13,R-001_Plot-013.tif,0.0963,0.1277,1561.6532,1691.5157
14,R-001_Plot-014.tif,0.3018,0.3214,1741.0755,1784.9700
15,R-001_Plot-015.tif,0.1955,0.2300,1222.9685,1292.3538
16,R-002_Plot-016.tif,0.3625,0.3625,1687.0468,1687.0468
17,R-002_Plot-017.tif,0.2664,0.2664,1830.5104,1830.5104
18,R-002_Plot-018.tif,0.2159,0.2162,1322.5826,1323.0366
19,R-002_Plot-019.tif,0.2202,0.2213,1775.3785,1778.5299
20,R-002_Plot-020.tif,0.1129,0.1354,1545.7346,1625.1070
21,R-002_Plot-021.tif,0.3091,0.3091,2177.3990,2177.3990
22,R-002_Plot-022.tif,0.2429,0.2469,2178.7681,2192.5483
23,R-002_Plot-023.tif,0.2423,0.2423,1359.0884,1359.0884
24,R-002_Plot-024.tif,0.1428,0.1517,1826.3122,1865.4478
25,R-002_Plot-025.tif,0.1274,0.1460,2209.2663,2309.5345
26,R-002_Plot-026.tif,0.3833,0.3833,1834.9578,1834.9578
27,R-002_Plot-027.tif,0.2789,0.2789,1619.6359,1619.6894
28,R-002_Plot-028.tif,0.3018,0.3019,2355.7450,2356.0459
29,R-002_Plot-029.tif,0.3594,0.3594,2239.9531,2239.9531
30,R-002_Plot-030.tif,0.2563,0.2564,1965.7664,1965.9461
31,R-003_Plot-031.tif,0.2838,0.2838,1933.8046,1933.8046
32,R-003_Plot-032.tif,0.2415,0.2482,2320.7333,2354.8954
33,R-003_Plot-033.tif,0.2796,0.2834,2547.6340,2564.4539
34,R-003_Plot-034.tif,0.3679,0.3679,2161.6328,2161.6328
35,R-003_Plot-035.tif,0.2482,0.2496,1744.6438,1748.7167
36,R-003_Plot-036.tif,0.3079,0.3079,1954.3608,1954.3608
37,R-003_Plot-037.tif,0.3525,0.3525,1853.0813,1853.0813
38,R-003_Plot-038.tif,0.2334,0.2334,1381.3958,1381.3958
39,R-003_Plot-039.tif,0.2116,0.2117,1806.3406,1806.4952
40,R-003_Plot-040.tif,0.0504,0.0972,1470.8764,1698.8411
41,R-003_Plot-041.tif,0.3102,0.3102,1615.5473,1615.5473
42,R-003_Plot-042.tif,0.2569,0.2569,1331.6695,1331.6695
43,R-003_Plot-043.tif,0.2402,0.2407,1855.1877,1856.7068
44,R-003_Plot-044.tif,0.0392,0.0982,1239.6811,1481.6939
45,R-003_Plot-045.tif,0.3338,0.3338,2058.3347,2058.3347
46,R-004_Plot-046.tif,0.2417,0.2505,2068.2568,2098.7746
47,R-004_Plot-047.tif,0.2437,0.2439,1442.0238,1442.3462
48,R-004_Plot-048.tif,0.2287,0.2299,1871.1509,1874.7687
49,R-004_Plot-049.tif,0.3053,0.3053,1795.0527,1795.0527
50,R-004_Plot-050.tif,0.3357,0.3357,1732.7305,1732.7305
51,R-004_Plot-051.tif,0.2041,0.2053,1398.6131,1400.1217
52,R-004_Plot-052.tif,0.1507,0.1663,1450.5844,1491.1356
53,R-004_Plot-053.tif,0.3686,0.3686,1862.9112,1862.9112
54,R-004_Plot-054.tif,0.2577,0.2579,1945.4586,1946.4954
55,R-004_Plot-055.tif,0.2711,0.2711,1938.4795,1938.4795
56,R-004_Plot-056.tif,0.0873,0.1173,1536.6428,1674.0283
57,R-004_Plot-057.tif,0.3688,0.3688,2358.3002,2358.3002
58,R-004_Plot-058.tif,0.2706,0.2706,1730.9895,1730.9895
59,R-004_Plot-059.tif,0.1707,0.1916,2033.7719,2131.4063
60,R-004_Plot-060.tif,0.3377,0.3377,2166.1602,2166.1602
