 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,0.2792,0.2793,1278.9328,1279.0413
2,R-001_Plot-002.tif,0.1868,0.1868,1019.0661,1019.3089
3,R-001_Plot-003.tif,0.0144,0.0730,1288.4046,1384.2642
4,R-001_Plot-004.tif,0.1173,0.1207,1389.3918,1394.2939
5,R-001_Plot-005.tif,0.0612,0.0632,1089.5881,1092.7392
6,R-001_Plot-006.tif,0.2581,0.2581,1363.9566,1364.1063
7,R-001_Plot-007.tif,0.2407,0.2407,1372.5588,1372.6143
8,R-001_Plot-008.tif,-0.0327,0.0292,740.9277,791.1084
9,R-001_Plot-009.tif,0.0522,0.0606,795.8972,827.2610
10,R-001_Plot-010.tif,-0.0698,0.0169,521.3901,888.0632
11,R-001_Plot-011.tif,0.0382,0.0450,747.4055,760.8950
12,R-001_Plot-012.tif,0.1826,0.1826,973.7925,973.7781
13,R-001_Plot-013.tif,0.0315,0.0509,829.0748,845.1251
14,R-001_Plot-014.tif,0.1893,0.1894,1045.6256,1045.8459
15,R-001_Plot-015.tif,-0.0179,0.0150,767.9046,830.4664
16,R-002_Plot-016.tif,0.2049,0.2049,1224.8760,1224.8760
17,R-002_Plot-017.tif,-0.0767,0.0076,385.9184,595.0730
18,R-002_Plot-018.tif,0.0322,0.0367,792.6238,808.7486
19,R-002_Plot-019.tif,-0.0291,0.0298,750.0769,893.6454
20,R-002_Plot-020.tif,0.0336,0.0411,660.8840,699.8739
21,R-002_Plot-021.tif,0.1474,0.1476,1079.6924,1080.3151
22,R-002_Plot-022.tif,0.1750,0.1758,1133.7224,1136.1523
23,R-002_Plot-023.tif,-0.0053,0.0217,909.2105,965.4888
24,R-002_Plot-024.tif,0.0116,0.0396,886.8693,919.3181
25,R-002_Plot-025.tif,0.0549,0.0617,906.7812,928.8523
26,R-002_Plot-026.tif,0.3079,0.3079,1516.3646,1516.3646
27,R-002_Plot-027.tif,0.1469,0.1471,1284.8565,1285.9885
28,R-002_Plot-028.tif,0.0364,0.0541,1475.6543,1513.3552
29,R-002_Plot-029.tif,0.2859,0.2859,1458.9729,1458.9729
30,R-002_Plot-030.tif,0.1266,0.1267,817.2164,817.4698
31,R-003_Plot-031.tif,0.1201,0.1203,1060.8539,1061.6962
32,R-003_Plot-032.tif,0.1409,0.1418,1200.5624,1202.9011
33,R-003_Plot-033.tif,0.1989,0.2008,1255.2781,1263.2569
34,R-003_Plot-034.tif,0.2546,0.2546,1424.4633,1424.5162
35,R-003_Plot-035.tif,0.0721,0.0759,792.9598,802.8088
36,R-003_Plot-036.tif,-0.0723,0.0105,414.1005,709.6657
37,R-003_Plot-037.tif,0.1955,0.1956,1261.8559,1262.6557
38,R-003_Plot-038.tif,-4.238E-5,0.0172,646.7500,710.6869
39,R-003_Plot-039.tif,-0.0860,0.0153,257.8539,630.0820
40,R-003_Plot-040.tif,0.0069,0.0282,762.4017,801.4104
41,R-003_Plot-041.tif,0.2150,0.2150,1159.9459,1159.9459
42,R-003_Plot-042.tif,0.0158,0.0303,883.3806,903.6807
43,R-003_Plot-043.tif,-0.0476,0.0129,682.8866,833.2537
44,R-003_Plot-044.tif,0.0407,0.0513,587.6286,626.5349
45,R-003_Plot-045.tif,0.1397,0.1403,940.1267,942.2543
46,R-004_Plot-046.tif,0.1658,0.1660,1003.8555,1004.0927
47,R-004_Plot-047.tif,-0.0146,0.0369,693.8784,799.2730
48,R-004_Plot-048.tif,-0.0113,0.0301,782.4276,832.2335
49,R-004_Plot-049.tif,-0.0669,0.0265,497.2384,907.3120
50,R-004_Plot-050.tif,0.1681,0.1681,1142.7097,1142.7097
51,R-004_Plot-051.tif,0.0146,0.0279,740.2348,779.0465
52,R-004_Plot-052.tif,0.0191,0.0315,726.2424,778.7226
53,R-004_Plot-053.tif,0.1997,0.1997,1158.0813,1158.0813
54,R-004_Plot-054.tif,-0.0861,0.0099,396.6882,887.4868
55,R-004_Plot-055.tif,-0.0525,0.0160,553.0987,674.9566
56,R-004_Plot-056.tif,0.0675,0.0746,801.3665,828.6829
57,R-004_Plot-057.tif,0.2140,0.2140,1293.5850,1293.5850
58,R-004_Plot-058.tif,0.1200,0.1201,1269.5119,1269.9951
59,R-004_Plot-059.tif,0.1504,0.1519,1135.6172,1137.6128
60,R-004_Plot-060.tif,0.3116,0.3116,1546.8425,1546.8425
