 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,-0.0515,0.0104,479.2918,881.4072
2,R-001_Plot-002.tif,-0.0500,0.0096,506.7453,917.5000
3,R-001_Plot-003.tif,-0.0473,0.0106,485.9905,897.9518
4,R-001_Plot-004.tif,-0.0495,0.0115,456.5428,808.2113
5,R-001_Plot-005.tif,-0.0402,0.0115,496.4465,853.8319
6,R-001_Plot-006.tif,-0.0454,0.0100,479.3112,836.0137
7,R-001_Plot-007.tif,-0.0366,0.0128,604.1356,948.8057
8,R-001_Plot-008.tif,-0.0457,0.0097,422.1288,801.9534
9,R-001_Plot-009.tif,-0.0479,0.0085,407.3031,757.5463
10,R-001_Plot-010.tif,-0.0484,0.0091,412.2615,819.7380
11,R-001_Plot-011.tif,-0.0459,0.0205,390.2014,662.2268
12,R-001_Plot-012.tif,-0.0114,0.0982,468.1685,344.6521
13,R-001_Plot-013.tif,-0.0347,0.0065,474.2867,841.8677
14,R-001_Plot-014.tif,-0.0328,0.0073,536.4622,836.8314
15,R-001_Plot-015.tif,-0.0272,0.0083,540.2047,820.1440
16,R-002_Plot-016.tif,-0.0289,0.0073,549.2941,836.8309
17,R-002_Plot-017.tif,-0.0266,0.0090,605.5470,913.3539
18,R-002_Plot-018.tif,-0.0311,0.0077,526.6511,835.5750
19,R-002_Plot-019.tif,-0.0312,0.0081,499.2820,835.3921
20,R-002_Plot-020.tif,-0.0444,0.0096,393.6036,812.4311
21,R-002_Plot-021.tif,-0.0408,0.0090,472.3150,813.9646
22,R-002_Plot-022.tif,-0.0412,0.0091,519.8837,834.7528
23,R-002_Plot-023.tif,-0.0346,0.0097,573.7571,885.3578
24,R-002_Plot-024.tif,-0.0435,0.0097,474.7579,858.8894
25,R-002_Plot-025.tif,-0.0479,0.0103,432.5484,861.1813
26,R-002_Plot-026.tif,-0.0375,0.0103,513.5236,841.3786
27,R-002_Plot-027.tif,-0.0440,0.0098,515.3926,919.1166
28,R-002_Plot-028.tif,-0.0435,0.0103,513.8985,864.1634
29,R-002_Plot-029.tif,-0.0500,0.0086,446.6013,827.3052
30,R-002_Plot-030.tif,-0.0477,0.0104,454.1277,842.9714
31,R-003_Plot-031.tif,-0.0291,0.0124,602.8141,901.6556
32,R-003_Plot-032.tif,-0.0427,0.0091,468.4799,863.0905
33,R-003_Plot-033.tif,-0.0487,0.0091,384.9326,765.5083
34,R-003_Plot-034.tif,-0.0434,0.0130,420.2372,849.3036
35,R-003_Plot-035.tif,-0.0417,0.0087,456.0015,812.7370
36,R-003_Plot-036.tif,-0.0422,0.0092,459.3916,763.1715
37,R-003_Plot-037.tif,-0.0447,0.0090,380.6813,738.2795
38,R-003_Plot-038.tif,-0.0418,0.0072,375.1020,736.0369
39,R-003_Plot-039.tif,-0.0341,0.0085,508.6926,837.5799
40,R-003_Plot-040.tif,-0.0402,0.0063,391.6696,721.9149
41,R-003_Plot-041.tif,-0.0275,0.0099,573.0677,861.6348
42,R-003_Plot-042.tif,-0.0329,0.0084,454.5007,729.6139
43,R-003_Plot-043.tif,-0.0294,0.0081,525.7467,828.5108
44,R-003_Plot-044.tif,-0.0280,0.0068,473.0453,780.9310
45,R-003_Plot-045.tif,-0.0262,0.0061,452.1184,773.4803
46,R-004_Plot-046.tif,-0.0295,0.0059,365.0067,677.0828
47,R-004_Plot-047.tif,-0.0188,0.0093,546.5697,802.0618
48,R-004_Plot-048.tif,-0.0324,0.0063,357.5466,709.4615
49,R-004_Plot-049.tif,-0.0274,0.0092,442.3327,727.0798
50,R-004_Plot-050.tif,-0.0317,0.0084,457.1281,784.5516
51,R-004_Plot-051.tif,-0.0426,0.0068,381.5092,808.3746
52,R-004_Plot-052.tif,-0.0372,0.0059,419.9093,827.3385
53,R-004_Plot-053.tif,-0.0380,0.0083,402.1864,735.5638
54,R-004_Plot-054.tif,-0.0467,0.0084,375.4671,797.7856
55,R-004_Plot-055.tif,-0.0505,0.0088,376.6949,804.8077
56,R-004_Plot-056.tif,-0.0508,0.0172,381.2205,844.3970
57,R-004_Plot-057.tif,-0.0533,0.0079,347.7323,803.1257
58,R-004_Plot-058.tif,-0.0515,0.0084,353.6498,827.9988
59,R-004_Plot-059.tif,-0.0541,0.0078,306.0989,813.1545
60,R-004_Plot-060.tif,-0.0370,0.0112,490.9033,831.1165
