 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,-0.0476,0.0138,209.9106,581.5334
2,R-001_Plot-002.tif,-0.0501,0.0129,184.3646,579.7672
3,R-001_Plot-003.tif,-0.0355,0.0205,304.9298,683.8676
4,R-001_Plot-004.tif,-0.0561,0.0123,136.2773,512.9555
5,R-001_Plot-005.tif,-0.0421,0.0196,225.2629,583.4959
6,R-001_Plot-006.tif,-0.0464,0.0160,222.6594,577.3823
7,R-001_Plot-007.tif,-0.0389,0.0198,267.9046,590.9476
8,R-001_Plot-008.tif,-0.0521,0.0138,180.2594,573.7886
9,R-001_Plot-009.tif,-0.0538,0.0130,162.8951,537.7880
10,R-001_Plot-010.tif,-0.0495,0.0142,232.3111,651.1039
11,R-001_Plot-011.tif,-0.0537,0.0139,157.1684,549.9596
12,R-001_Plot-012.tif,-0.0502,0.0099,128.3728,510.9291
13,R-001_Plot-013.tif,-0.0487,0.0117,216.8162,577.3532
14,R-001_Plot-014.tif,-0.0465,0.0147,233.1216,579.3158
15,R-001_Plot-015.tif,-0.0408,0.0146,299.6388,656.2372
16,R-002_Plot-016.tif,-0.0412,0.0134,280.0838,628.9329
17,R-002_Plot-017.tif,-0.0314,0.0181,388.0334,763.5395
18,R-002_Plot-018.tif,-0.0419,0.0117,272.0915,597.6768
19,R-002_Plot-019.tif,-0.0468,0.0110,220.9188,584.0156
20,R-002_Plot-020.tif,-0.0571,0.0104,200.2206,585.5278
21,R-002_Plot-021.tif,-0.0547,0.0114,172.5315,515.0085
22,R-002_Plot-022.tif,-0.0565,0.0108,157.6627,524.8548
23,R-002_Plot-023.tif,-0.0370,0.0199,266.2087,593.7347
24,R-002_Plot-024.tif,-0.0535,0.0145,194.1750,563.2222
25,R-002_Plot-025.tif,-0.0604,0.0152,152.6369,576.2443
26,R-002_Plot-026.tif,-0.0434,0.0197,205.3317,556.9702
27,R-002_Plot-027.tif,-0.0438,0.0155,223.8796,597.3015
28,R-002_Plot-028.tif,-0.0445,0.0143,245.0731,649.4417
29,R-002_Plot-029.tif,-0.0525,0.0132,153.7671,553.8490
30,R-002_Plot-030.tif,-0.0536,0.0140,163.4480,567.2377
31,R-003_Plot-031.tif,-0.0287,0.0193,352.0629,669.9884
32,R-003_Plot-032.tif,-0.0487,0.0112,199.6512,598.5066
33,R-003_Plot-033.tif,-0.0507,0.0111,170.9322,523.5699
34,R-003_Plot-034.tif,-0.0479,0.0142,201.4694,598.7629
35,R-003_Plot-035.tif,-0.0507,0.0101,200.2646,586.7074
36,R-003_Plot-036.tif,-0.0467,0.0156,241.4271,627.5678
37,R-003_Plot-037.tif,-0.0508,0.0150,222.6362,588.8909
38,R-003_Plot-038.tif,-0.0486,0.0115,231.6406,602.4714
39,R-003_Plot-039.tif,-0.0415,0.0167,341.6719,773.1941
40,R-003_Plot-040.tif,-0.0523,0.0100,206.1532,635.3732
41,R-003_Plot-041.tif,-0.0311,0.0187,305.9641,605.0779
42,R-003_Plot-042.tif,-0.0349,0.0144,260.8068,603.9074
43,R-003_Plot-043.tif,-0.0365,0.0097,267.0873,624.2470
44,R-003_Plot-044.tif,-0.0371,0.0089,215.4672,582.5015
45,R-003_Plot-045.tif,-0.0395,0.0085,177.3431,525.9862
46,R-004_Plot-046.tif,-0.0328,0.0079,169.9239,481.3797
47,R-004_Plot-047.tif,-0.0102,0.0204,414.8025,645.1406
48,R-004_Plot-048.tif,-0.0343,0.0083,232.8249,560.4776
49,R-004_Plot-049.tif,-0.0134,0.0217,417.7316,667.6031
50,R-004_Plot-050.tif,-0.0295,0.0141,354.4399,641.5510
51,R-004_Plot-051.tif,-0.0442,0.0110,251.4807,668.5261
52,R-004_Plot-052.tif,-0.0490,0.0093,201.8225,621.4731
53,R-004_Plot-053.tif,-0.0427,0.0108,267.9352,617.4411
54,R-004_Plot-054.tif,-0.0482,0.0122,206.1012,674.0526
55,R-004_Plot-055.tif,-0.0543,0.0107,157.8160,597.5353
56,R-004_Plot-056.tif,-0.0536,0.0132,125.4234,547.0065
57,R-004_Plot-057.tif,-0.0483,0.0101,140.7229,504.4442
58,R-004_Plot-058.tif,-0.0383,0.0129,240.5602,610.2486
59,R-004_Plot-059.tif,-0.0464,0.0092,178.9393,585.2031
60,R-004_Plot-060.tif,-0.0293,0.0174,287.5514,602.4378
