 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,-0.0308,0.0276,432.9311,875.9665
2,R-001_Plot-002.tif,0.0221,0.0642,756.9055,1008.8452
3,R-001_Plot-003.tif,0.1703,0.1772,1398.4323,1440.7393
4,R-001_Plot-004.tif,-0.0191,0.0346,575.9810,1013.9734
5,R-001_Plot-005.tif,0.1396,0.1488,1285.3644,1337.5166
6,R-001_Plot-006.tif,0.0828,0.0995,1171.8371,1274.8382
7,R-001_Plot-007.tif,0.1596,0.1692,1371.3336,1426.7648
8,R-001_Plot-008.tif,0.0268,0.0605,892.1893,1134.4317
9,R-001_Plot-009.tif,-0.0402,0.0215,363.8806,917.6051
10,R-001_Plot-010.tif,0.0696,0.0936,1094.4193,1240.4135
11,R-001_Plot-011.tif,-0.0312,0.0297,412.5082,916.5687
12,R-001_Plot-012.tif,-0.0288,0.0252,374.2874,849.0664
13,R-001_Plot-013.tif,-0.0334,0.0251,327.2211,866.6080
14,R-001_Plot-014.tif,-0.0038,0.0409,517.3818,854.2856
15,R-001_Plot-015.tif,0.0725,0.0898,898.4720,1002.3430
16,R-002_Plot-016.tif,0.0220,0.0510,701.6308,918.1773
17,R-002_Plot-017.tif,0.1124,0.1342,1109.9501,1229.9772
18,R-002_Plot-018.tif,0.0031,0.0359,611.2724,863.7101
19,R-002_Plot-019.tif,0.0169,0.0454,792.5893,1028.1767
20,R-002_Plot-020.tif,-0.0296,0.0217,456.3147,914.8299
21,R-002_Plot-021.tif,-0.0271,0.0220,488.8970,927.7696
22,R-002_Plot-022.tif,-0.0396,0.0204,382.3453,929.7905
23,R-002_Plot-023.tif,0.1501,0.1553,1250.5294,1283.6885
24,R-002_Plot-024.tif,-0.0218,0.0270,578.2889,994.0587
25,R-002_Plot-025.tif,-0.0289,0.0212,433.4884,875.4395
26,R-002_Plot-026.tif,0.1181,0.1342,1226.8318,1315.8052
27,R-002_Plot-027.tif,0.1180,0.1279,1273.5115,1334.6077
28,R-002_Plot-028.tif,0.0868,0.1115,1131.5266,1290.5608
29,R-002_Plot-029.tif,0.0160,0.0521,778.2773,1027.0024
30,R-002_Plot-030.tif,-0.0326,0.0256,339.3114,819.8046
31,R-003_Plot-031.tif,0.2061,0.2088,1453.3350,1477.5199
32,R-003_Plot-032.tif,-0.0206,0.0312,556.1191,1008.6635
33,R-003_Plot-033.tif,-0.0249,0.0309,453.6613,900.4491
34,R-003_Plot-034.tif,0.0360,0.0587,939.9892,1104.2639
35,R-003_Plot-035.tif,-0.0128,0.0252,596.6231,916.3165
36,R-003_Plot-036.tif,0.0827,0.0994,1196.8045,1308.1921
37,R-003_Plot-037.tif,0.0499,0.0743,978.4201,1134.4016
38,R-003_Plot-038.tif,0.0194,0.0495,789.0050,1008.5065
39,R-003_Plot-039.tif,0.1259,0.1375,1350.6889,1421.4818
40,R-003_Plot-040.tif,-0.0309,0.0250,458.5304,1017.2540
41,R-003_Plot-041.tif,0.1532,0.1622,1364.2051,1420.5245
42,R-003_Plot-042.tif,0.1074,0.1186,1227.1564,1300.1894
43,R-003_Plot-043.tif,0.0112,0.0456,749.4109,1036.2994
44,R-003_Plot-044.tif,-0.0316,0.0184,356.3421,847.6007
45,R-003_Plot-045.tif,-0.0189,0.0223,466.8856,846.5150
46,R-004_Plot-046.tif,-0.0281,0.0238,351.6342,829.3909
47,R-004_Plot-047.tif,0.1923,0.1997,1280.7567,1321.8343
48,R-004_Plot-048.tif,-0.0140,0.0334,554.9787,958.6588
49,R-004_Plot-049.tif,0.1887,0.1950,1461.4759,1500.4090
50,R-004_Plot-050.tif,0.0911,0.1087,1178.2324,1288.0485
51,R-004_Plot-051.tif,0.0193,0.0567,836.8114,1100.1589
52,R-004_Plot-052.tif,-0.0162,0.0290,569.3331,947.2465
53,R-004_Plot-053.tif,0.0051,0.0447,700.3145,995.9966
54,R-004_Plot-054.tif,0.0716,0.0928,1140.4351,1271.2025
55,R-004_Plot-055.tif,0.0314,0.0638,888.5527,1117.0486
56,R-004_Plot-056.tif,-0.0326,0.0358,401.9478,917.8326
57,R-004_Plot-057.tif,-0.0177,0.0318,586.3548,1002.3940
58,R-004_Plot-058.tif,0.1236,0.1355,1274.1592,1343.9312
59,R-004_Plot-059.tif,-0.0245,0.0401,520.3984,1068.4663
60,R-004_Plot-060.tif,0.1569,0.1665,1321.9191,1376.2141
