Image Name,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI
R-001_Plot-001.tif,0.21454531,122.962074,0.14403075,27.016344,-15.06022,14.024841,-11.230731,15.556846,0.9839924046720099,0.9611125830738999,2.3252030696046284
R-001_Plot-002.tif,0.17847122,105.43252,0.19943023,22.564127,-12.677417,14.790476,-7.980633,14.554359,0.9778248805870188,0.9249446174000722,5.407948216167391
R-001_Plot-003.tif,0.16912752,94.971214,0.27677244,21.80179,-12.304857,16.928984,-6.998296,15.732239,0.980551691653235,0.8473592987569274,13.583413707822158
R-001_Plot-004.tif,0.15967631,102.032646,0.24793744,20.561483,-12.7851,15.5722685,-7.6403403,14.426926,0.9825259617436871,0.9217927770785954,6.181331285873466
R-001_Plot-005.tif,0.17114317,99.93565,0.2429322,21.923624,-12.606183,15.978501,-7.538156,15.172955,0.9879777439226336,0.907948967050113,8.100261100495752
R-001_Plot-006.tif,0.20101155,128.4711,0.1772924,25.495892,-15.445303,13.308016,-11.602496,14.627567,0.9913430188484835,0.9823879652322389,0.9033254328705056
R-001_Plot-007.tif,0.18736441,128.23007,0.17228514,23.552845,-14.340637,12.4375515,-10.407509,13.263792,0.9901525689430571,0.97788375909857,1.2390827665663273
R-001_Plot-008.tif,0.1855355,86.93518,0.26483864,23.276886,-10.434591,16.823439,-5.219188,15.927753,0.9292869076269752,0.6846522119920808,26.324991090167508
R-001_Plot-009.tif,0.18624783,101.93786,0.1834619,23.028292,-11.352878,14.024957,-6.8924723,13.944762,0.9558613558249247,0.8342073112391719,12.727164231967855
R-001_Plot-010.tif,0.18633337,81.81969,0.29743218,23.512205,-10.000983,17.994621,-4.473195,16.754778,0.9455907354662074,0.5779882684565735,38.8754302704112
R-001_Plot-011.tif,0.19252901,92.18246,0.21257108,23.744755,-10.362694,15.14575,-5.6174927,14.858477,0.937763573336866,0.7624012864954774,18.700053171973064
R-001_Plot-012.tif,0.19533376,121.48551,0.12458444,24.053947,-12.732891,12.248285,-8.919156,13.020366,0.9761174037520332,0.9414600398901916,3.550532315951385
R-001_Plot-013.tif,0.18767059,94.2679,0.21367985,23.245983,-10.705494,15.068352,-5.961701,14.69695,0.938755308265807,0.7933143450133581,15.49295774647887
R-001_Plot-014.tif,0.18452728,128.75143,0.14430135,22.478523,-12.200647,10.742781,-8.594019,11.342252,0.9745736827772994,0.9446615589557896,3.069252161239101
R-001_Plot-015.tif,0.15459907,98.53384,0.18702477,18.60571,-9.248434,12.092126,-4.8892975,10.924993,0.9593756669831387,0.8337031639840145,13.099404886337709
R-002_Plot-016.tif,0.16597515,125.931656,0.14252049,20.177355,-11.555103,10.553847,-7.670018,10.541518,0.9780530348192797,0.948448183229928,3.0269167964722925
R-002_Plot-017.tif,0.18800934,83.22318,0.30841547,23.984547,-10.760689,18.74432,-5.1154037,17.54963,0.9600490899590058,0.6085038970214833,36.617418485604055
R-002_Plot-018.tif,0.1742571,101.3878,0.20412177,21.757292,-11.499124,14.361019,-6.819886,13.823349,0.9845683101131203,0.9205544883825337,6.50171461675745
R-002_Plot-019.tif,0.18208694,86.900314,0.27558357,22.965645,-10.619187,17.08468,-5.328714,16.026176,0.9583397731705342,0.708130018473133,26.108668522607278
R-002_Plot-020.tif,0.20361018,88.72656,0.22945285,25.27339,-10.626059,16.444195,-5.633292,16.335714,0.9098956378382754,0.7110573844693207,21.852863680207708
R-002_Plot-021.tif,0.20911427,108.710846,0.15468216,25.915808,-12.671152,14.248774,-8.50083,15.112367,0.972615972268221,0.8969092461342577,7.783825095675633
R-002_Plot-022.tif,0.21216166,111.43616,0.15028411,26.42474,-13.346799,14.409875,-9.228566,15.475196,0.9728073274307626,0.9079158478873655,6.670537701929023
R-002_Plot-023.tif,0.19418295,86.17193,0.2655841,24.416845,-10.69907,17.442478,-5.399492,16.79513,0.9580582602871799,0.6824461077623958,28.767786255730297
R-002_Plot-024.tif,0.20773613,81.88418,0.29486728,26.354046,-10.857893,19.473713,-5.1187,18.932007,0.913137635880565,0.5900638831850331,35.38061952555296
R-002_Plot-025.tif,0.23747928,78.14392,0.3119675,30.250898,-11.2803955,22.23525,-4.934243,22.346842,0.8461872483863608,0.500531746557447,40.84858315793136
R-002_Plot-026.tif,0.19464147,121.84197,0.14647669,24.562128,-14.378212,13.556395,-10.299177,14.434198,0.9910523061976994,0.978875494027511,1.2286750249243976
R-002_Plot-027.tif,0.16518302,96.16077,0.23380965,20.644442,-10.8741045,14.724695,-5.995239,13.625542,0.9715855983160746,0.869742332913824,10.482171162145937
R-002_Plot-028.tif,0.17531848,90.62465,0.27082384,22.241129,-11.177395,16.726767,-5.945698,15.60062,0.9788515746321933,0.79225269185195,19.063041590381918
R-002_Plot-029.tif,0.20752323,116.90569,0.13999462,26.00599,-14.011341,14.09167,-9.971939,15.201066,0.981697982674998,0.9555540835927667,2.663130570055014
R-002_Plot-030.tif,0.19652086,99.94701,0.19209236,24.436277,-11.7396145,14.9465885,-7.174794,15.113519,0.9764025965423594,0.8778326083916599,10.0952197894348
R-003_Plot-031.tif,0.15731855,99.96009,0.22184789,19.635475,-11.073043,13.975702,-6.2618365,12.792814,0.9822334091394169,0.9266116152583662,5.662787822477317
R-003_Plot-032.tif,0.17585945,99.914154,0.22351098,22.230268,-12.051666,15.335054,-7.176057,14.751286,0.9668587578106026,0.872634739793778,9.745375656542592
R-003_Plot-033.tif,0.20454586,111.45213,0.15705973,25.597078,-13.3496475,14.458558,-9.122966,15.292605,0.9766399505420503,0.914129370809506,6.400575739078667
R-003_Plot-034.tif,0.19154125,116.35294,0.14385277,23.934828,-13.270546,13.438541,-9.115525,14.016393,0.9839758450906361,0.956376542800998,2.8048759964321888
R-003_Plot-035.tif,0.18532602,98.087494,0.20221084,22.98655,-11.121304,14.650486,-6.4822106,14.36728,0.9651144819058974,0.8513059989843457,11.792226213081378
R-003_Plot-036.tif,0.21745782,77.48155,0.33197737,27.866123,-10.814719,21.686352,-4.5234313,21.019068,0.9243319128892422,0.45733331861370546,50.522824946702315
R-003_Plot-037.tif,0.20533673,113.555534,0.15057284,25.716032,-13.631833,14.3182535,-9.473099,15.252881,0.9899133749898803,0.9629249372575861,2.7263433765171725
R-003_Plot-038.tif,0.19191147,85.42593,0.2381512,23.64398,-9.536598,15.842953,-4.5469437,15.219743,0.9241828766568781,0.6578404097944404,28.819238441843893
R-003_Plot-039.tif,0.2197668,63.62118,0.38146,27.833092,-7.4111834,23.095089,-0.18365175,21.395466,0.6243035776055581,0.1034624244699094,83.4275457996369
R-003_Plot-040.tif,0.21787412,79.03447,0.25497818,26.913124,-9.388029,17.944664,-3.8966997,17.779661,0.842358305182045,0.5234649268066504,37.85721306641329
R-003_Plot-041.tif,0.20198065,117.743744,0.1245147,24.89713,-12.769257,12.808423,-8.904087,13.692789,0.9880568619225306,0.9588439204256917,2.956605294962206
R-003_Plot-042.tif,0.18317981,93.98993,0.21822238,22.713024,-10.668588,15.016767,-5.8960485,14.486674,0.9801616215142082,0.8462553266653419,13.661654558765564
R-003_Plot-043.tif,0.19483364,84.61311,0.27119088,24.475084,-10.428598,17.602592,-5.0696726,16.888348,0.9469559809528015,0.6383810617267596,32.58598344936395
R-003_Plot-044.tif,0.2288254,77.94207,0.20596379,27.52516,-8.192108,15.885584,-3.1539917,16.180212,0.772653507319335,0.5205835596476122,32.62393107439079
