"","cp","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"1",0.001,0.363210789210789,0.204712538653403,0.131407844752096,0.162821847522668,"2022-02-03","15-30m",0
"2",0.001,0.382878288378288,0.227905283460193,0.137827862561961,0.169928101858292,"2022-02-03","15-30m",3
"3",0.001,0.45247619047619,0.313789830875316,0.158703792904051,0.196455237155173,"2022-02-03","30m",0
"4",0.001,0.308329365079365,0.142246235078653,0.153236185181203,0.188141657160212,"2022-02-03","30m",4
"5",0.001,0.551773809523809,0.437343782536079,0.179136391440597,0.222660722818144,"2022-02-03","15m",0
"6",0.001,0.517702380952381,0.397300447171259,0.154669715299268,0.188323935146143,"2022-02-03","15m",3
"7",0.001,0.36252380952381,0.208429783112585,0.141114571584889,0.172459690847402,"2022-05-03","50m",0
"8",0.001,0.447603174603175,0.306812218890509,0.206369847637466,0.256860970430422,"2022-05-03","50m",3
"9",0.001,0.333535298035298,0.168346665043034,0.135542734750001,0.169341572346551,"2022-01-19","15-30m",0
"10",0.001,0.33565034965035,0.170658734949745,0.135995535435824,0.167932085187253,"2022-01-19","15-30m",4
"11",0.001,0.327023809523809,0.159668476033771,0.163126394821934,0.198769852387488,"2022-01-19","30m",0
"12",0.001,0.353178571428571,0.194766983619657,0.167173527959011,0.206110993291404,"2022-01-19","30m",4
"13",0.001,0.480809523809524,0.351668725021389,0.178530882040961,0.218042206552223,"2022-01-19","15m",0
"14",0.001,0.423083333333333,0.274462294578077,0.179559148656342,0.223342837388254,"2022-01-19","15m",4
"15",0.001,0.65945954045954,0.572886172339004,0.125225933005595,0.157256602168556,"2022-03-09","15-30m",0
"16",0.001,0.639575258075258,0.548574805558043,0.112381284353379,0.140954558303458,"2022-03-09","15-30m",3
"17",0.001,0.744511904761905,0.675791933267059,0.160616933352759,0.203973995780964,"2022-03-09","15m",0
"18",0.001,0.75402380952381,0.689139017908026,0.158396816286785,0.200133110042555,"2022-03-09","15m",2
"19",0.001,0.726555555555556,0.65479573169195,0.177230851335968,0.221967309619168,"2022-03-09","30m",0
"20",0.001,0.782678571428571,0.726100978666695,0.15095498840388,0.190043764994087,"2022-03-09","30m",2
"21",0.001,0.147119047619048,-0.0573579424881845,0.127488534180035,0.157152034118229,"2022-06-02","50m",0
"22",0.001,0.180547619047619,-0.0163392770979868,0.140437890687159,0.173382729184464,"2022-06-02","50m",2
"23",0.001,0.878071428571429,0.845179898333808,0.105938014817993,0.134093742179108,"2022-03-22","50m",0
"24",0.001,0.852325396825397,0.812886325622587,0.136076603716964,0.170995214593432,"2022-03-22","50m",2
"25",0.001,0.67452380952381,0.59384070749542,0.14439289948172,0.175812777693109,"2022-04-19","50m",0
"26",0.001,0.479809523809524,0.349110970318956,0.184171988454341,0.224632423077077,"2022-04-19","50m",3
"27",0.001,0.774837301587302,0.715792425058615,0.128504136400905,0.159463170758862,"2022-04-05","50m",0
"28",0.001,0.73277380952381,0.662775736207678,0.131658581065604,0.162980105320737,"2022-04-05","50m",4
"29",0.001,0.257038011695906,0.0727587861268726,0.093191322901371,0.114866174062867,"2022-05-26","15-30-50m",0
"30",0.001,0.295927373581011,0.119719764179975,0.0992704534873564,0.124023988137293,"2022-05-26","15-30-50m",3
"31",0.001,0.339988095238095,0.175234244790222,0.176126853608522,0.217206106196763,"2022-05-26","50m",0
"32",0.001,0.165912698412698,-0.0374206036305162,0.132534900050911,0.154614982392121,"2022-05-26","50m",3
"33",0.001,0.237861111111111,0.049606268433313,0.143106990011066,0.171944408955132,"2022-05-26","15m",0
"34",0.001,0.157488095238095,-0.0469533308018488,0.117181537933267,0.140062942369279,"2022-05-26","15m",3
"35",0.001,0.191261904761905,-0.00330962591345275,0.131059056205136,0.161778208484481,"2022-05-26","30m",0
"36",0.001,0.240515873015873,0.0527014424134991,0.145170370306908,0.181492716222742,"2022-05-26","30m",3
"37",0.001,0.517177322677323,0.395681392409033,0.131757541175245,0.16436298841936,"2022-02-14","15-30m",0
"38",0.001,0.454039627039627,0.316222231704391,0.148555276532621,0.18530204743015,"2022-02-14","15-30m",3
"39",0.001,0.636333333333333,0.547255076271582,0.159783166650765,0.195158770072636,"2022-02-14","15m",0
"40",0.001,0.593722222222222,0.492273471993463,0.173922117775977,0.215059654770111,"2022-02-14","15m",3
"41",0.001,0.574095238095238,0.461792891252487,0.178095736457339,0.223264209769659,"2022-02-14","30m",0
"42",0.001,0.319452380952381,0.151624783708839,0.148746183729993,0.18738751420893,"2022-02-14","30m",3
