"","cp","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"1",0.001,0.331694444,0.16385879,0.129694481,0.159698426,0.5,0.00719965,0.357142857,0,"03/02/2022","15-30m",10,10,"cv1010","8020split"
"2",0.001,0.323628788,0.151189782,0.115713004,0.146783037,0.5,0.00719965,0.379310345,3,"03/02/2022","15-30m",10,10,"cv1010","8020split"
"3",0.001,0.494166667,0.360790904,0.147545861,0.176423701,0.5,0.177722456,0.368421053,0,"03/02/2022","30m",10,10,"cv1010","8020split"
"4",0.001,0.354119048,0.182158966,0.162421668,0.216516443,0.333333333,0.606925322,0.094339623,4,"03/02/2022","30m",10,10,"cv1010","8020split"
"5",0.001,0.473833333,0.339611428,0.156226098,0.187703226,0.75,0.003855555,0.672727273,0,"03/02/2022","15m",10,10,"cv1010","8020split"
"6",0.001,0.4355,0.298363395,0.175868137,0.21441819,0.416666667,0.368479286,0.328,3,"03/02/2022","15m",10,10,"cv1010","8020split"
"7",0.001,0.325833333,0.150315734,0.153291148,0.186571797,0.5,0.054402232,0.333333333,0,"03/05/2022","50m",10,10,"cv1010","8020split"
"8",0.001,0.295,0.111192015,0.160657669,0.205970212,0.333333333,0.351221383,0.157894737,3,"03/05/2022","50m",10,10,"cv1010","8020split"
"9",0.001,0.267012626,0.077355044,0.13872109,0.180701289,0.166666667,0.884981629,0.024390244,0,"19/01/2022","15-30m",10,10,"cv1010","8020split"
"10",0.001,0.279577561,0.086770876,0.123652505,0.152650311,0.125,0.960198813,-0.070063694,4,"19/01/2022","15-30m",10,10,"cv1010","8020split"
"11",0.001,0.47,0.323153816,0.186737601,0.236459954,0.333333333,0.606925322,0.076923077,0,"19/01/2022","30m",10,10,"cv1010","8020split"
"12",0.001,0.321666667,0.134308798,0.180075118,0.227025428,0.416666667,0.368479286,0.263157895,4,"19/01/2022","30m",10,10,"cv1010","8020split"
"13",0.001,0.3495,0.182493453,0.150857166,0.191483148,0.5,0.054402232,0.362831858,0,"19/01/2022","15m",10,10,"cv1010","8020split"
"14",0.001,0.394166667,0.23956486,0.198908004,0.250040345,0.5,0.054402232,0.379310345,4,"19/01/2022","15m",10,10,"cv1010","8020split"
"15",0.001,0.703012266,0.626570871,0.126774209,0.158501038,0.583333333,0.002719681,0.458239278,0,"09/03/2022","15-30m",10,10,"cv1010","8020split"
"16",0.001,0.64945671,0.5603412,0.130082309,0.162386001,0.625,0.000709078,0.514606742,3,"09/03/2022","15-30m",10,10,"cv1010","8020split"
"17",0.001,0.587642857,0.47771639,0.121933137,0.145272477,0.333333333,0.808403993,0.186440678,0,"09/03/2022","15m",10,10,"cv1010","8020split"
"18",0.001,0.589214286,0.47846241,0.111389291,0.135046324,0.5,0.379768823,0.379310345,3,"09/03/2022","15m",10,10,"cv1010","8020split"
"19",0.001,0.5455,0.421115173,0.113035234,0.136365727,0.333333333,0.606925322,0.244094488,0,"09/03/2022","30m",10,10,"cv1010","8020split"
