"","Accuracy","AccuracyPValue","Kappa","date","alt","PC"
"1",0.375,0.12131828361813,0.219088937093275,"2022-02-03","15-30m",0
"2",0.333333333333333,0.233795830683125,0.168831168831169,"2022-02-03","15-30m",3
"3",0.416666666666667,0.368479285565096,0.317073170731707,"2022-02-03","30m",0
"4",0.25,0.818877354212415,0.0847457627118644,"2022-02-03","30m",4
"5",0.583333333333333,0.014252781867981,0.473684210526316,"2022-02-03","15m",0
"6",0.666666666666667,0.00278151035308838,0.571428571428571,"2022-02-03","15m",3
"7",0.416666666666667,0.368479285565096,0.25,"2022-05-03","50m",0
"8",0.333333333333333,0.606925321907793,0.157894736842105,"2022-05-03","50m",3
"9",0.25,0.577844798176048,0.0769230769230769,"2022-01-19","15-30m",0
"10",0.375,0.12131828361813,0.227467811158798,"2022-01-19","15-30m",4
"11",0.333333333333333,0.351221382617951,0.179487179487179,"2022-01-19","30m",0
"12",0.333333333333333,0.351221382617951,0.179487179487179,"2022-01-19","30m",4
"13",0.333333333333333,0.606925321907793,0.172413793103448,"2022-01-19","15m",0
"14",0.25,0.818877354212415,0.0181818181818182,"2022-01-19","15m",4
"15",0.708333333333333,2.93110428273181e-05,0.636363636363636,"2022-03-09","15-30m",0
"16",0.708333333333333,2.93110428273181e-05,0.628318584070797,"2022-03-09","15-30m",3
"17",0.416666666666667,0.608374246704568,0.275862068965517,"2022-03-09","15m",0
"18",0.416666666666667,0.608374246704568,0.269565217391304,"2022-03-09","15m",2
"19",0.5,0.177722456490937,0.379310344827586,"2022-03-09","30m",0
"20",0.583333333333333,0.0664476395310109,0.495798319327731,"2022-03-09","30m",2
"21",0,1,-0.371428571428571,"2022-06-02","50m",0
"22",0.166666666666667,0.985141386354961,-0.0619469026548673,"2022-06-02","50m",2
"23",0.916666666666667,0.000487399525187049,0.886792452830188,"2022-03-22","50m",0
"24",0.833333333333333,0.00402953450149023,0.769230769230769,"2022-03-22","50m",2
"25",0.5,0.0544022321701049,0.379310344827586,"2022-04-19","50m",0
"26",0.416666666666667,0.157643675804138,0.269565217391304,"2022-04-19","50m",3
"27",0.416666666666667,0.608374246704568,0.311475409836066,"2022-04-05","50m",0
"28",0.666666666666667,0.072628881875895,0.563636363636364,"2022-04-05","50m",3
"29",0.194444444444444,0.831611389488615,0.0104265402843602,"2022-05-26","15-30-50m",0
"30",0.333333333333333,0.167065957877414,0.165217391304348,"2022-05-26","15-30-50m",3
"31",0.25,0.609324991703033,0.0526315789473684,"2022-05-26","50m",0
"32",0.166666666666667,0.841618239879608,0,"2022-05-26","50m",3
"33",0.25,0.818877354212415,0.107438016528926,"2022-05-26","15m",0
"34",0.25,0.818877354212415,0.027027027027027,"2022-05-26","15m",3
"35",0.333333333333333,0.351221382617951,0.157894736842105,"2022-05-26","30m",0
"36",0.333333333333333,0.351221382617951,0.2,"2022-05-26","30m",3
"37",0.5,0.0676587790324315,0.336405529953917,"2022-02-14","15-30m",0
"38",0.333333333333333,0.576195351621616,0.184713375796178,"2022-02-14","15-30m",3
"39",0.583333333333333,0.189264302375606,0.491525423728814,"2022-02-14","15m",0
"40",0.416666666666667,0.608374246704568,0.236363636363636,"2022-02-14","15m",3
"41",0.833333333333333,3.76105308532715e-05,0.781818181818182,"2022-02-14","30m",0
"42",0.416666666666667,0.157643675804138,0.263157894736842,"2022-02-14","30m",3
