"","contrast","estimate","SE","df","t.ratio","p.value"
"1","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_PC_cv510_8020split)",0.0200396830000026,0.0433320561598156,507,0.462467853500722,1
"2","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_PC_cv520_8020split)",0.0384471863000031,0.0335648663727787,507,1.14545923922355,1
"3","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_PC_trainonly_nosplit)",0.0378793651000036,0.0296014297371621,507,1.27964647100979,1
"4","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_var_cv1010_8020split)",0.0480039683333363,0.0322978077260621,507,1.48629184805631,1
"5","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_var_cv510_8020split)",0.0236048341000034,0.0335648663727785,507,0.703260183962693,1
"6","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_var_cv520_8020split)",0.0674310967500038,0.0353804756990578,507,1.9058844014299,1
"7","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_15m_var_trainonly_nosplit)",-0.0120940477999974,0.0296014297371625,507,-0.408562961565813,1
"8","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_30m_PC_cv1010_8020split)",0.0751785715000007,0.0559414439546294,507,1.34387971038026,1
"9","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_30m_var_cv1010_8020split)",0.0535119045000005,0.055941443954631,507,0.956569954529582,1
"10","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_30m_var_cv510_8020split)",0.0669790765000066,0.043332056159816,507,1.54571655342125,1
"11","(03/02/2022_15m_PC_cv1010_8020split) - (03/02/2022_30m_var_cv520_8020split)",0.0225346325000034,0.0559414439546316,507,0.402825363576224,1
"12","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_PC_cv1010_8020split)",-0.115749999899999,0.0296014297371633,507,-3.91028409532126,0.33932288026275
"13","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_PC_cv510_8020split)",-0.117150913722219,0.0300676226649488,507,-3.89624796837654,0.358980359813458
"14","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_PC_cv520_8020split)",-0.117608224899996,0.0296014297371621,507,-3.97305893479694,0.263224211762195
"15","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_PC_trainonly_nosplit)",-0.147003571299995,0.0296014297371618,507,-4.96609699616791,0.0030295663066021
"16","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_var_cv1010_8020split)",-0.0987833331999996,0.0296014297371631,507,-3.33711358123969,1
"17","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_var_cv510_8020split)",-0.077995310166664,0.0300676226649493,507,-2.59399657351645,1
"18","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_var_cv520_8020split)",-0.0932865438999955,0.0296014297371621,507,-3.15142020937192,1
"19","(03/02/2022_15m_PC_cv1010_8020split) - (05/04/2022_50m_var_trainonly_nosplit)",-0.206793253799996,0.0296014297371623,507,-6.98592114084218,2.89470823646938e-08
"20","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_PC_cv1010_8020split)",-0.0832006131999928,0.0296014297371613,507,-2.81069576499353,1
"21","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_PC_cv510_8020split)",-0.117723865899997,0.0296014297371624,507,-3.97696553664108,0.2590679186307
"22","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_PC_cv520_8020split)",-0.0792137988999944,0.0296014297371615,507,-2.67601259815332,1
"23","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_PC_trainonly_nosplit)",-0.0747671492999962,0.0296014297371622,507,-2.52579520529483,1
"24","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_var_cv1010_8020split)",-0.067880375199996,0.0296014297371618,507,-2.29314515557938,1
"25","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_var_cv510_8020split)",-0.0931282526999965,0.0296014297371623,507,-3.14607279198684,1
"26","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_var_cv520_8020split)",-0.0776615803999957,0.029601429737162,507,-2.62357531678608,1
"27","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15-30m_var_trainonly_nosplit)",-0.0821444719999964,0.0296014297371621,507,-2.77501704239883,1
"28","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15m_PC_cv1010_8020split)",0.011644179944449,0.0300676226649494,507,0.387266398617638,1
"29","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15m_PC_cv510_8020split)",0.00877662340000403,0.0296014297371618,507,0.296493226102042,1
"30","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15m_PC_cv520_8020split)",0.0263732965000042,0.0300676226649485,507,0.877132748201907,1
"31","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15m_PC_trainonly_nosplit)",-0.174602777899996,0.0296014297371621,507,-5.89845758972907,2.17415120521463e-05
"32","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15m_var_cv1010_8020split)",0.0174333334000045,0.0296014297371616,507,0.588935519493463,1
"33","(03/02/2022_15m_PC_cv1010_8020split) - (09/03/2022_15m_var_cv510_8020split)",0.0198234329444481,0.0300676226649483,507,0.659294988677554,1
