"","ID","N","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","lsmean","SE","df","lower.CL","upper.CL"
"1","03/02/2022_15m_PC_cv1010_8020split",10,0.4851238095,0.0964475785890833,0.3548202378,0.118162119827598,0.579678571500004,0.0250177742884098,507,0.530527300659713,0.628829842340296
"2","03/02/2022_15m_PC_cv510_8020split",10,0.4789237374,0.0516943244245889,0.3415946275,0.063606183538631,0.559638888500002,0.0353804756990578,507,0.490128494669789,0.629149282330214
"3","03/02/2022_15m_PC_cv520_8020split",10,0.4798317099,0.0754478884580162,0.3462313519,0.0943722958185277,0.541231385200001,0.0223765775818524,507,0.497269152088243,0.585193618311759
"4","03/02/2022_15m_PC_trainonly_nosplit",10,0.5417992064,0.00744905222284523,0.4245699521,0.0103912895711327,0.541799206400001,0.0158226297478747,507,0.510713213250573,0.572885199549429
"5","03/02/2022_15m_var_cv1010_8020split",10,0.4975047618,0.0564191237045129,0.3685159624,0.0692245633234362,0.531674603166668,0.020426927168908,507,0.491542758577318,0.571806447756018
"6","03/02/2022_15m_var_cv510_8020split",10,0.5027233044,0.0723781231351927,0.372560991,0.0911991112245193,0.556073737400001,0.0223765775818524,507,0.512111504288243,0.600035970511759
"7","03/02/2022_15m_var_cv520_8020split",10,0.4806549783,0.0351388254645165,0.3465231616,0.0423255948815335,0.51224747475,0.0250177742884098,507,0.463096203909709,0.561398745590292
"8","03/02/2022_15m_var_trainonly_nosplit",10,0.5917726193,0.00981973676873474,0.4869606316,0.0124706474747733,0.591772619300002,0.0158226297478748,507,0.560686626150574,0.62285861244943
"9","03/02/2022_30m_PC_cv1010_8020split",10,0.3500285714,0.0908077758145026,0.1786152802,0.108398504246457,0.504500000000004,0.0500355485768187,507,0.406197458319422,0.602802541680585
"10","03/02/2022_30m_var_cv1010_8020split",10,0.4280785714,0.0709608071318877,0.2787208207,0.0871364663976334,0.526166667000004,0.0500355485768197,507,0.427864125319421,0.624469208680587
"11","03/02/2022_30m_var_cv510_8020split",10,0.446321068,0.0455862624926188,0.3022431294,0.0544982394429689,0.512699494999998,0.0353804756990583,507,0.443189101169784,0.582209888830211
"12","03/02/2022_30m_var_cv520_8020split",10,0.4308993146,0.0640362247151278,0.2815025018,0.0787098906779309,0.557143939000001,0.0500355485768202,507,0.458841397319417,0.655446480680585
"13","05/04/2022_50m_PC_cv1010_8020split",10,0.6954285714,0.0882199224006398,0.6113782306,0.112929888603755,0.695428571400004,0.015822629747875,507,0.664342578250575,0.726514564549432
"14","05/04/2022_50m_PC_cv510_8020split",10,0.6761634198,0.107847417747388,0.5905370521,0.134864614271827,0.696829485222224,0.0166785161922734,507,0.664061971328696,0.729596999115751
"15","05/04/2022_50m_PC_cv520_8020split",10,0.6972867964,0.0786292893485851,0.6161548228,0.0996055495975178,0.6972867964,0.0158226297478747,507,0.666200803250572,0.728372789549428
"16","05/04/2022_50m_PC_trainonly_nosplit",10,0.7266821428,0.0126164373481222,0.6546468126,0.0157601717029967,0.726682142799999,0.0158226297478747,507,0.695596149650571,0.757768135949427
"17","05/04/2022_50m_var_cv1010_8020split",10,0.6784619047,0.102194856264061,0.591424361,0.130247012957091,0.678461904700004,0.015822629747875,507,0.647375911550575,0.709547897849432
"18","05/04/2022_50m_var_cv510_8020split",10,0.6362409091,0.116250802862088,0.5411218013,0.144735496421815,0.657673881666668,0.0166785161922735,507,0.62490636777314,0.690441395560196
"19","05/04/2022_50m_var_cv520_8020split",10,0.6729651154,0.0879349981002706,0.5854633791,0.112037077549059,0.6729651154,0.0158226297478747,507,0.641879122250572,0.704051108549428
"20","05/04/2022_50m_var_trainonly_nosplit",10,0.7864718253,0.00884344503327534,0.7306376454,0.0109638081039103,0.786471825300001,0.0158226297478748,507,0.755385832150573,0.817557818449429
"21","09/03/2022_15-30m_PC_cv1010_8020split",10,0.6628791847,0.0294688255265646,0.5764874262,0.0369454025243237,0.662879184699997,0.0158226297478745,507,0.631793191550569,0.693965177849425
"22","09/03/2022_15-30m_PC_cv510_8020split",10,0.6974024374,0.0410649745780281,0.6208787595,0.0517262795166058,0.697402437400002,0.0158226297478749,507,0.666316444250573,0.72848843054943
"23","09/03/2022_15-30m_PC_cv520_8020split",10,0.6588923704,0.0251373992620049,0.5721261598,0.031651901962231,0.658892370399999,0.0158226297478746,507,0.627806377250571,0.689978363549427
"24","09/03/2022_15-30m_PC_trainonly_nosplit",10,0.6544457208,0.00919997200123449,0.5666853533,0.0115968551252221,0.654445720800001,0.0158226297478748,507,0.623359727650572,0.685531713949429
"25","09/03/2022_15-30m_var_cv1010_8020split",10,0.6475589467,0.0545831437139976,0.5571222181,0.0682281324560435,0.6475589467,0.0158226297478746,507,0.616472953550572,0.678644939849428
"26","09/03/2022_15-30m_var_cv510_8020split",10,0.6728068242,0.0259416897016251,0.5902383888,0.0326008000500308,0.672806824200001,0.0158226297478748,507,0.641720831050573,0.703892817349429
"27","09/03/2022_15-30m_var_cv520_8020split",10,0.6573401519,0.0400299999519895,0.5701785565,0.049949840862375,0.6573401519,0.0158226297478747,507,0.626254158750572,0.688426145049428
"28","09/03/2022_15-30m_var_trainonly_nosplit",10,0.6618230435,0.00455922032356759,0.5759845422,0.00584467204208624,0.661823043500001,0.0158226297478748,507,0.630737050350573,0.692909036649429
"29","09/03/2022_15m_PC_cv1010_8020split",10,0.5586642857,0.073820680753294,0.443537655,0.0882354780959925,0.568034391555555,0.0166785161922736,507,0.535266877662027,0.600801905449084
"30","09/03/2022_15m_PC_cv510_8020split",10,0.5709019481,0.0390630006821705,0.4587899534,0.0445889425500622,0.5709019481,0.0158226297478746,507,0.539815954950572,0.601987941249428
