"","cp","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"1",0.001,0.641507936507936,0.556170097630107,0.148766243505683,0.180557743513194,"2022-02-14","15m",0,10,10
"2",0.001,0.582833333333333,0.472954179267273,0.190006875831711,0.240214327613664,"2022-02-14","15m",3,10,10
"3",0.001,0.569265873015873,0.460357007933996,0.186655430841353,0.230636186563054,"2022-02-14","30m",0,10,10
"4",0.001,0.299773809523809,0.130148778403349,0.15108279931327,0.186503733257099,"2022-02-14","30m",3,10,10
"5",0.001,0.474968253968254,0.341751705165573,0.172390035122666,0.212548729077946,"2022-02-14","15-30m",0,10,10
"6",0.001,0.299773809523809,0.130148778403349,0.15108279931327,0.186503733257099,"2022-02-14","15-30m",4,10,10
"7",0.001,0.331845238095238,0.166013354936625,0.144889481292096,0.179329518204744,"2022-01-19","30m",0,10,10
"8",0.001,0.354527777777778,0.1912305836635,0.160998592493635,0.199128158403913,"2022-01-19","30m",4,10,10
"9",0.001,0.495142857142857,0.364864760139499,0.178373441630164,0.222546833911474,"2022-01-19","15m",0,10,10
"10",0.001,0.426031746031746,0.28152022904545,0.19232793481415,0.236020829193752,"2022-01-19","15m",4,10,10
"11",0.001,0.341928571428571,0.180901731123219,0.145440366880645,0.178580297049718,"2022-01-19","15-30m",0,10,10
"12",0.001,0.426031746031746,0.28152022904545,0.19232793481415,0.236020829193752,"2022-01-19","15-30m",6,10,10
"13",0.001,0.585301587301587,0.483500958009855,0.202716305352592,0.251409162533937,"2022-02-03","15m",0,10,10
"14",0.001,0.539710317460318,0.422082244743165,0.159119564581566,0.198053901781623,"2022-02-03","15m",3,10,10
"15",0.001,0.463333333333333,0.323302313120283,0.175584690416206,0.219113321546249,"2022-02-03","30m",0,10,10
"16",0.001,0.310186507936508,0.14049837518587,0.130978056755253,0.165427946624846,"2022-02-03","30m",4,10,10
"17",0.001,0.37125,0.212702544910698,0.148099689892706,0.182026671638847,"2022-02-03","15-30m",0,10,10
"18",0.001,0.310186507936508,0.14049837518587,0.130978056755253,0.165427946624846,"2022-02-03","15-30m",6,10,10
"19",0.001,0.744095238095238,0.677631027682293,0.163289841172802,0.203034941510182,"2022-03-09","15m",0,10,10
"20",0.001,0.749333333333333,0.683332713095627,0.152484662879508,0.192363082866208,"2022-03-09","15m",2,10,10
"21",0.001,0.724940476190476,0.65361291957026,0.169718871942644,0.211999147577327,"2022-03-09","30m",0,10,10
"22",0.001,0.779214285714286,0.720965216400825,0.153111638360731,0.193331882755244,"2022-03-09","30m",2,10,10
"23",0.001,0.816924603174603,0.769228627775026,0.148916736270216,0.185732865719235,"2022-03-09","15-30m",0,10,10
"24",0.001,0.779214285714286,0.720965216400825,0.153111638360731,0.193331882755244,"2022-03-09","15-30m",3,10,10
"25",0.001,0.149738095238095,-0.0591483591480379,0.122397971034679,0.14974208970251,"2022-06-02","50m",0,10,10
"26",0.001,0.18925,-0.0116966219266556,0.139121785252902,0.172190531839964,"2022-06-02","50m",2,10,10
