,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
1,0.001,0.377683375,0.223190938,0.083382781,0.102898202,0.5,0.00719965,0.357142857,0,03/02/2022,15-30m,5,10
2,0.001,0.323118138,0.153399491,0.081482924,0.102733888,0.5,0.00719965,0.379310345,3,03/02/2022,15-30m,5,10
3,0.001,0.410636364,0.263848754,0.135273445,0.181605484,0.5,0.177722456,0.333333333,0,03/02/2022,30m,5,10
4,0.001,0.274590909,0.097181347,0.122357151,0.152461463,0.416666667,0.368479286,0.256637168,4,03/02/2022,30m,5,10
5,0.001,0.514141414,0.37580079,0.15313051,0.188237707,0.583333333,0.189264302,0.495798319,0,03/02/2022,15m,5,10
6,0.001,0.439646465,0.288165014,0.127100416,0.157584861,0.416666667,0.608374247,0.294117647,3,03/02/2022,15m,5,10
7,0.001,0.380227273,0.212198146,0.126244147,0.15081785,0.333333333,0.606925322,0.172413793,0,03/05/2022,50m,5,10
8,0.001,0.347257576,0.179020493,0.098064901,0.106160889,0.25,0.818877354,0.169230769,3,03/05/2022,50m,5,10
9,0.001,0.329211951,0.155955184,0.1027584,0.127054711,0.333333333,0.732385658,0.146666667,0,19/01/2022,15-30m,5,10
10,0.001,0.328655118,0.156071046,0.098969057,0.123790617,0.291666667,0.854674206,0.076923077,4,19/01/2022,15-30m,5,10
11,0.001,0.306005051,0.126976656,0.129007742,0.16355266,0.333333333,0.606925322,0.157894737,0,19/01/2022,30m,5,10
12,0.001,0.253467532,0.066243908,0.106609926,0.132356657,0.5,0.177722456,0.373913043,4,19/01/2022,30m,5,10
13,0.001,0.389893939,0.239357362,0.103731513,0.126761247,0.25,0.818877354,0.044247788,0,19/01/2022,15m,5,10
14,0.001,0.398328283,0.24852386,0.110710588,0.140079148,0.5,0.177722456,0.351351351,4,19/01/2022,15m,5,10
15,0.001,0.665804511,0.581048384,0.072051356,0.090055187,0.666666667,2.02E-05,0.578947368,0,09/03/2022,15-30m,5,10
16,0.001,0.679333186,0.598416823,0.08979359,0.111938935,0.666666667,2.02E-05,0.58974359,3,09/03/2022,15-30m,5,10
17,0.001,0.525818182,0.399983784,0.080456414,0.099366937,0.416666667,0.368479286,0.305785124,0,09/03/2022,15m,5,10
18,0.001,0.589348485,0.481509931,0.069335876,0.082575804,0.416666667,0.368479286,0.305785124,2,09/03/2022,15m,5,10
19,0.001,0.475575758,0.335489709,0.091569031,0.112974622,0.75,0.000391662,0.686956522,0,09/03/2022,30m,5,10
20,0.001,0.546606061,0.426704439,0.060514949,0.077133922,0.666666667,0.00278151,0.575221239,2,09/03/2022,30m,5,10
21,0.001,0.218292929,0.032930683,0.107188811,0.128796808,0,1,-0.170731707,0,02/06/2022,50m,5,10
22,0.001,0.173424242,-0.032416334,0.090757099,0.111601637,0.083333333,0.992292653,-0.147826087,2,02/06/2022,50m,5,10
23,0.001,0.744020202,0.67134404,0.0813917,0.104526817,0.5,0.612792969,0.409836066,0,22/03/2022,50m,5,10
24,0.001,0.728919192,0.655647223,0.071029158,0.091533956,0.333333333,0.927001953,0.225806452,2,22/03/2022,50m,5,10
25,0.001,0.583833333,0.476775687,0.168853464,0.21114782,0.5,0.054402232,0.379310345,0,19/04/2022,50m,5,10
26,0.001,0.408944444,0.263464945,0.119405929,0.149673935,0.333333333,0.351221383,0.150442478,3,19/04/2022,50m,5,10
27,0.001,0.524979076,0.400878709,0.080927002,0.097972269,0.833333333,3.76E-05,0.781818182,0,05/04/2022,50m,5,10
28,0.001,0.565452381,0.447894458,0.064188192,0.077701691,0.75,0.000391662,0.675675676,4,05/04/2022,50m,5,10
29,0.001,0.25673545,0.067611451,0.07149724,0.090702687,0.194444444,0.978497126,0.011363636,0,26/05/2022,15-30-50m,5,10
30,0.001,0.259095238,0.069616653,0.074546181,0.094676432,0.333333333,0.562372037,0.194029851,3,26/05/2022,15-30-50m,5,10
31,0.001,0.352166667,0.190710427,0.111557056,0.136575888,0.416666667,0.157643676,0.263157895,0,26/05/2022,50m,5,10
32,0.001,0.208222222,0.015912978,0.082990527,0.100590238,0.166666667,0.84161824,-0.043478261,3,26/05/2022,50m,5,10
33,0.001,0.293232323,0.114058035,0.122936101,0.146418782,0.25,0.609324992,0.068965517,0,26/05/2022,15m,5,10
34,0.001,0.349313131,0.181240854,0.141805319,0.176933399,0.25,0.609324992,0.027027027,3,26/05/2022,15m,5,10
35,0.001,0.213777778,0.00307937,0.111575545,0.137987961,0.083333333,0.998447608,-0.064516129,0,26/05/2022,30m,5,10
36,0.001,0.301333333,0.114145185,0.117125715,0.145113399,0.333333333,0.808403993,0.102803738,3,26/05/2022,30m,5,10
37,0.001,0.472898767,0.335201632,0.095091248,0.116796099,0.333333333,0.925842635,0.076923077,0,14/02/2022,15-30m,5,10
38,0.001,0.442248513,0.293931394,0.105482102,0.133517887,0.333333333,0.925842635,0.111111111,3,14/02/2022,15-30m,5,10
39,0.001,0.55510101,0.440034927,0.150053634,0.185209035,0.666666667,0.00278151,0.58974359,0,14/02/2022,15m,5,10
40,0.001,0.392156566,0.242966142,0.135517988,0.163438077,0.666666667,0.00278151,0.593220339,3,14/02/2022,15m,5,10
41,0.001,0.452646465,0.306272115,0.096400411,0.120469164,0.416666667,0.608374247,0.317073171,0,14/02/2022,30m,5,10
42,0.001,0.347454545,0.174811208,0.111191944,0.137846637,0.25,0.932866946,0.149606299,3,14/02/2022,30m,5,10
43,0.001,0.327952479,0.159324273,0.094908802,0.118868453,0.333333333,0.233795831,0.193277311,0,03/02/2022,15-30m,5,10
44,0.001,0.319251167,0.147838403,0.083795553,0.103050661,0.541666667,0.002094047,0.432258065,4,03/02/2022,15-30m,5,10
45,0.001,0.419772727,0.274247386,0.132455588,0.166379171,0.583333333,0.06644764,0.454545455,0,03/02/2022,30m,5,10
46,0.001,0.402020202,0.254259824,0.104926746,0.127301695,0.25,0.818877354,0.1,4,03/02/2022,30m,5,10
47,0.001,0.433177489,0.284351246,0.092877032,0.10688858,0.583333333,0.06644764,0.47826087,0,03/02/2022,15m,5,10
48,0.001,0.499717172,0.360776035,0.113688319,0.138589252,0.333333333,0.606925322,0.179487179,3,03/02/2022,15m,5,10
49,0.001,0.438121212,0.284919114,0.123977056,0.154846644,0.25,0.932866946,0.12195122,0,03/05/2022,50m,5,10
50,0.001,0.292848485,0.108639067,0.122057425,0.151475887,0.166666667,0.985141386,0.05511811,3,03/05/2022,50m,5,10
51,0.001,0.339888201,0.169357315,0.098497141,0.124942142,0.208333333,0.99117341,-0.002197802,0,19/01/2022,15-30m,5,10
52,0.001,0.298359993,0.112717024,0.109631921,0.137648902,0.291666667,0.92904876,0.144654088,4,19/01/2022,15-30m,5,10
53,0.001,0.488277778,0.360129578,0.137623819,0.169361638,0.166666667,0.84161824,-0.043478261,0,19/01/2022,30m,5,10
54,0.001,0.324611111,0.152772876,0.105265759,0.127953356,0.166666667,0.84161824,0,4,19/01/2022,30m,5,10
55,0.001,0.400944444,0.24891299,0.147829695,0.182488974,0.583333333,0.014252782,0.487179487,0,19/01/2022,15m,5,10
56,0.001,0.422222222,0.272299451,0.09986133,0.122792791,0.5,0.054402232,0.379310345,4,19/01/2022,15m,5,10
57,0.001,0.653145136,0.564361069,0.094998729,0.118398048,0.666666667,0.000859483,0.578021978,0,09/03/2022,15-30m,5,10
58,0.001,0.643210526,0.551946043,0.089268882,0.111691717,0.708333333,0.000192837,0.63238512,3,09/03/2022,15-30m,5,10
59,0.001,0.54369697,0.422300853,0.067534876,0.083763552,0.416666667,0.368479286,0.305785124,0,09/03/2022,15m,5,10
60,0.001,0.589808081,0.481545709,0.068241416,0.0826317,0.416666667,0.368479286,0.305785124,2,09/03/2022,15m,5,10
61,0.001,0.565439394,0.454037155,0.062658734,0.074543038,0.416666667,0.368479286,0.243243243,0,09/03/2022,30m,5,10
62,0.001,0.580555556,0.472228632,0.040991465,0.050734906,0.5,0.177722456,0.345454545,2,09/03/2022,30m,5,10
63,0.001,0.325777778,0.155895869,0.080174523,0.099897848,0.166666667,0.84161824,-0.025641026,0,02/06/2022,50m,5,10
64,0.001,0.189833333,-0.015415805,0.080260053,0.09934564,0.333333333,0.351221383,0.172413793,2,02/06/2022,50m,5,10
65,0.001,0.779590909,0.721854824,0.090236433,0.111093162,0.666666667,0.018758432,0.593220339,0,22/03/2022,50m,5,10
66,0.001,0.764363636,0.702016386,0.085175103,0.105579059,0.666666667,0.018758432,0.593220339,3,22/03/2022,50m,5,10
67,0.001,0.648449495,0.557798984,0.136043893,0.173209515,0.666666667,0.018758432,0.567567568,0,19/04/2022,50m,5,10
68,0.001,0.412777778,0.262890581,0.118986976,0.143002754,0.25,0.818877354,0.076923077,3,19/04/2022,50m,5,10
69,0.001,0.690641414,0.607188824,0.119837082,0.153974392,0.666666667,0.018758432,0.606557377,0,05/04/2022,50m,5,10
70,0.001,0.739944444,0.66911995,0.086516206,0.111373439,0.666666667,0.018758432,0.606557377,4,05/04/2022,50m,5,10
71,0.001,0.253590915,0.067769808,0.085637856,0.106651254,0.277777778,0.411681527,0.0859375,0,26/05/2022,15-30-50m,5,10
72,0.001,0.24716398,0.059180911,0.076880676,0.095714987,0.361111111,0.092207144,0.20537428,3,26/05/2022,15-30-50m,5,10
73,0.001,0.394666667,0.242047224,0.140011157,0.172526613,0.333333333,0.351221383,0.172413793,0,26/05/2022,50m,5,10
74,0.001,0.284166667,0.100418146,0.106379186,0.130823079,0,1,-0.210084034,3,26/05/2022,50m,5,10
75,0.001,0.290888889,0.106161562,0.127690298,0.157563779,0.333333333,0.606925322,0.2,0,26/05/2022,15m,5,10
76,0.001,0.294444444,0.115306079,0.103801514,0.127785292,0.166666667,0.946048574,0,3,26/05/2022,15m,5,10
77,0.001,0.180272006,-0.021210938,0.096340797,0.117989541,0.25,0.609324992,0.044247788,0,26/05/2022,30m,5,10
