,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
1,0.001,0.377888778,0.221800462,0.134514777,0.167365078,NA,NA,NA,0,03/02/2022,15-30m,10,10
2,0.001,0.368993506,0.21237603,0.11750346,0.145672977,NA,NA,NA,3,03/02/2022,15-30m,10,10
3,0.001,0.448956349,0.304263379,0.204662392,0.254076712,NA,NA,NA,0,03/02/2022,30m,10,10
4,0.001,0.288833333,0.110668647,0.159556451,0.201730834,NA,NA,NA,4,03/02/2022,30m,10,10
5,0.001,0.600059524,0.499265726,0.208777159,0.257806754,NA,NA,NA,0,03/02/2022,15m,10,10
6,0.001,0.547119048,0.431633133,0.17208553,0.211806933,NA,NA,NA,3,03/02/2022,15m,10,10
7,0.001,0.359702381,0.202925169,0.134202782,0.162709216,NA,NA,NA,0,03/05/2022,50m,10,10
8,0.001,0.469138889,0.333043434,0.190604271,0.240068949,NA,NA,NA,3,03/05/2022,50m,10,10
9,0.001,0.338076923,0.170821514,0.139802691,0.174924251,NA,NA,NA,0,19/01/2022,15-30m,10,10
10,0.001,0.335068099,0.164744074,0.126668243,0.158208563,NA,NA,NA,4,19/01/2022,15-30m,10,10
11,0.001,0.330464286,0.16476265,0.144848148,0.177724802,NA,NA,NA,0,19/01/2022,30m,10,10
12,0.001,0.350166667,0.187542194,0.148266109,0.184743493,NA,NA,NA,4,19/01/2022,30m,10,10
13,0.001,0.47997619,0.346709268,0.18624889,0.229039988,NA,NA,NA,0,19/01/2022,15m,10,10
14,0.001,0.39627381,0.242912942,0.17433689,0.217563103,NA,NA,NA,4,19/01/2022,15m,10,10
15,0.001,0.662063936,0.576642893,0.11562303,0.144663589,NA,NA,NA,0,09/03/2022,15-30m,10,10
16,0.001,0.63590959,0.543580708,0.120138117,0.148905521,NA,NA,NA,3,09/03/2022,15-30m,10,10
17,0.001,0.722916667,0.651088848,0.170775335,0.212055258,NA,NA,NA,0,09/03/2022,15m,10,10
18,0.001,0.754202381,0.689210977,0.155608045,0.196382887,NA,NA,NA,2,09/03/2022,15m,10,10
19,0.001,0.717845238,0.644314593,0.176570519,0.220929889,NA,NA,NA,0,09/03/2022,30m,10,10
20,0.001,0.789896825,0.733414839,0.145318113,0.184129255,NA,NA,NA,2,09/03/2022,30m,10,10
21,0.001,0.138337302,-0.078958702,0.118803058,0.150378808,NA,NA,NA,0,02/06/2022,50m,10,10
22,0.001,0.172357143,-0.027417189,0.146463477,0.179119878,NA,NA,NA,2,02/06/2022,50m,10,10
23,0.001,0.86406746,0.827459914,0.110037507,0.139026584,NA,NA,NA,0,22/03/2022,50m,10,10
24,0.001,0.833313492,0.788361414,0.127429142,0.161177482,NA,NA,NA,2,22/03/2022,50m,10,10
25,0.001,0.672916667,0.593200613,0.125254885,0.151953451,NA,NA,NA,0,19/04/2022,50m,10,10
26,0.001,0.47272619,0.342368833,0.201998981,0.247845135,NA,NA,NA,3,19/04/2022,50m,10,10
27,0.001,0.808833333,0.758228914,0.138796731,0.173487196,NA,NA,NA,0,05/04/2022,50m,10,10
28,0.001,0.734253968,0.663317048,0.141606578,0.177142953,NA,NA,NA,4,05/04/2022,50m,10,10
29,0.001,0.27132211,0.089050878,0.097728615,0.122894422,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
30,0.001,0.293443068,0.117425178,0.092409057,0.114353546,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
31,0.001,0.367619048,0.212653968,0.177770691,0.217723148,NA,NA,NA,0,26/05/2022,50m,10,10
32,0.001,0.163015873,-0.03763931,0.129773077,0.161234134,NA,NA,NA,3,26/05/2022,50m,10,10
33,0.001,0.228238095,0.032446101,0.13082716,0.158636029,NA,NA,NA,0,26/05/2022,15m,10,10
34,0.001,0.149313492,-0.055185211,0.104668044,0.128460057,NA,NA,NA,3,26/05/2022,15m,10,10
35,0.001,0.200761905,0.010996015,0.15483538,0.188713936,NA,NA,NA,0,26/05/2022,30m,10,10
36,0.001,0.228920635,0.038448202,0.125760831,0.158670964,NA,NA,NA,3,26/05/2022,30m,10,10
37,0.001,0.505377622,0.378809879,0.129366228,0.161698574,NA,NA,NA,0,14/02/2022,15-30m,10,10
38,0.001,0.455111888,0.317867557,0.126998124,0.157228316,NA,NA,NA,3,14/02/2022,15-30m,10,10
39,0.001,0.65172619,0.565011163,0.145938723,0.1816934,NA,NA,NA,0,14/02/2022,15m,10,10
