"","Component","eigenvalue","percentage.of.variance","cumulative.percentage.of.variance","Date","Altitude"
"1","comp 1",10.713852843284,71.4256856218932,71.4256856218932,"2022-02-14","15m"
"2","comp 2",2.04048501237508,13.6032334158339,85.0289190377271,"2022-02-14","15m"
"3","comp 3",1.77303527701494,11.8202351800996,96.8491542178267,"2022-02-14","15m"
"4","comp 4",0.301568692843847,2.01045795229231,98.859612170119,"2022-02-14","15m"
"5","comp 5",0.108054573069777,0.720363820465184,99.5799759905842,"2022-02-14","15m"
"6","comp 6",0.0428806141463316,0.285870760975544,99.8658467515597,"2022-02-14","15m"
"7","comp 7",0.0115209157319643,0.0768061048797617,99.9426528564395,"2022-02-14","15m"
"8","comp 8",0.00552235354849576,0.0368156903233051,99.9794685467628,"2022-02-14","15m"
"9","comp 9",0.00139087259268963,0.00927248395126421,99.988741030714,"2022-02-14","15m"
"10","comp 10",0.00074909117488309,0.00499394116588727,99.9937349718799,"2022-02-14","15m"
"11","comp 11",0.000697146125061431,0.00464764083374288,99.9983826127137,"2022-02-14","15m"
"12","comp 12",0.000197175524085548,0.00131450349390365,99.9996971162076,"2022-02-14","15m"
"13","comp 13",2.99099685041273e-05,0.000199399790027515,99.9998965159976,"2022-02-14","15m"
"14","comp 14",1.08860004305188e-05,7.25733362034586e-05,99.9999690893338,"2022-02-14","15m"
"15","comp 15",4.63659992941511e-06,3.09106661961007e-05,100,"2022-02-14","15m"
"16","comp 1",10.5850577622135,70.5670517480899,70.5670517480899,"2022-02-14","30m"
"17","comp 2",2.78652531688009,18.5768354458673,89.1438871939572,"2022-02-14","30m"
"18","comp 3",0.699921393404619,4.66614262269746,93.8100298166547,"2022-02-14","30m"
"19","comp 4",0.631880623216858,4.21253748811239,98.0225673047671,"2022-02-14","30m"
"20","comp 5",0.221873365965375,1.4791557731025,99.5017230778696,"2022-02-14","30m"
"21","comp 6",0.0469405782582465,0.31293718838831,99.8146602662579,"2022-02-14","30m"
"22","comp 7",0.0133491470003223,0.0889943133354822,99.9036545795933,"2022-02-14","30m"
"23","comp 8",0.00796546661135225,0.0531031107423483,99.9567576903357,"2022-02-14","30m"
"24","comp 9",0.00345935268239484,0.0230623512159656,99.9798200415517,"2022-02-14","30m"
"25","comp 10",0.00190882771652007,0.0127255181101338,99.9925455596618,"2022-02-14","30m"
"26","comp 11",0.000814496549024267,0.00542997699349511,99.9979755366553,"2022-02-14","30m"
"27","comp 12",0.000278411593172114,0.00185607728781409,99.9998316139431,"2022-02-14","30m"
"28","comp 13",1.61364673775233e-05,0.000107576449183489,99.9999391903923,"2022-02-14","30m"
"29","comp 14",6.99520191423763e-06,4.66346794282509e-05,99.9999858250717,"2022-02-14","30m"
"30","comp 15",2.12623924323835e-06,1.41749282882557e-05,100,"2022-02-14","30m"
"31","comp 1",17.8829750262788,59.6099167542626,59.6099167542626,"2022-02-14","15-30m"
"32","comp 2",6.09404598174359,20.313486605812,79.9234033600746,"2022-02-14","15-30m"
"33","comp 3",2.78146142097899,9.27153806992998,89.1949414300045,"2022-02-14","15-30m"
"34","comp 4",1.2829365834805,4.27645527826832,93.4713967082729,"2022-02-14","15-30m"
"35","comp 5",0.730945881680563,2.43648627226854,95.9078829805414,"2022-02-14","15-30m"
"36","comp 6",0.458257011178483,1.52752337059494,97.4354063511364,"2022-02-14","15-30m"
"37","comp 7",0.269438941377471,0.898129804591569,98.3335361557279,"2022-02-14","15-30m"
"38","comp 8",0.225516638896173,0.75172212965391,99.0852582853818,"2022-02-14","15-30m"
"39","comp 9",0.0842017416923567,0.280672472307856,99.3659307576897,"2022-02-14","15-30m"
"40","comp 10",0.0702996979260152,0.234332326420051,99.6002630841097,"2022-02-14","15-30m"
"41","comp 11",0.0446131653107206,0.148710551035735,99.7489736351455,"2022-02-14","15-30m"
"42","comp 12",0.0360717365519561,0.120239121839854,99.8692127569853,"2022-02-14","15-30m"
"43","comp 13",0.0149348986835101,0.0497829956117004,99.918995752597,"2022-02-14","15-30m"
"44","comp 14",0.00833510256412669,0.0277836752137556,99.9467794278108,"2022-02-14","15-30m"
"45","comp 15",0.00579049587170106,0.0193016529056702,99.9660810807165,"2022-02-14","15-30m"
"46","comp 16",0.0033789116218191,0.011263038739397,99.9773441194559,"2022-02-14","15-30m"
"47","comp 17",0.00205440674238834,0.00684802247462779,99.9841921419305,"2022-02-14","15-30m"
"48","comp 18",0.00188135647328981,0.00627118824429936,99.9904633301748,"2022-02-14","15-30m"
"49","comp 19",0.000958484319993388,0.00319494773331129,99.9936582779081,"2022-02-14","15-30m"
"50","comp 20",0.000680246530518009,0.00226748843506003,99.9959257663431,"2022-02-14","15-30m"
"51","comp 21",0.000547645849045721,0.00182548616348574,99.9977512525066,"2022-02-14","15-30m"
"52","comp 22",0.00033484274924618,0.00111614249748727,99.9988673950041,"2022-02-14","15-30m"
"53","comp 23",0.000163026224904128,0.000543420749680427,99.9994108157538,"2022-02-14","15-30m"
"54","comp 24",0.000137476062455556,0.00045825354151852,99.9998690692953,"2022-02-14","15-30m"
"55","comp 25",1.73972838189321e-05,5.79909460631068e-05,99.9999270602414,"2022-02-14","15-30m"
"56","comp 26",7.68568309191538e-06,2.56189436397179e-05,99.999952679185,"2022-02-14","15-30m"
"57","comp 27",6.06735138906561e-06,2.02245046302187e-05,99.9999729036897,"2022-02-14","15-30m"
"58","comp 28",4.47964659234661e-06,1.4932155307822e-05,99.999987835845,"2022-02-14","15-30m"
"59","comp 29",2.71954828839974e-06,9.06516096133246e-06,99.9999969010059,"2022-02-14","15-30m"
"60","comp 30",9.29698219281065e-07,3.09899406427022e-06,100,"2022-02-14","15-30m"
"61","comp 1",6.7454779069561,44.9698527130407,44.9698527130407,"2022-01-19","30m"
"62","comp 2",3.4172503870266,22.781669246844,67.7515219598847,"2022-01-19","30m"
"63","comp 3",2.78552283107012,18.5701522071342,86.3216741670189,"2022-01-19","30m"
"64","comp 4",1.78785827332554,11.9190551555036,98.2407293225225,"2022-01-19","30m"
"65","comp 5",0.108276335472806,0.721842236485372,98.9625715590078,"2022-01-19","30m"
"66","comp 6",0.0967734469065003,0.645156312710002,99.6077278717178,"2022-01-19","30m"
"67","comp 7",0.0444194558960672,0.296129705973782,99.9038575776916,"2022-01-19","30m"
"68","comp 8",0.00978571733702317,0.0652381155801545,99.9690956932718,"2022-01-19","30m"
"69","comp 9",0.00267766852019555,0.0178511234679703,99.9869468167397,"2022-01-19","30m"
"70","comp 10",0.00122841278088302,0.00818941853922013,99.995136235279,"2022-01-19","30m"
"71","comp 11",0.000457134412693894,0.00304756275129263,99.9981837980303,"2022-01-19","30m"
