"","variable","altitude","date","norm_pvalue","homo_pvalue"
"1","Intensity","15m","2022-01-19","0.0193989199930348","0.477755831684749"
"2","Hue","15m","2022-01-19","0.689051243406708","0.964041251796264"
"3","Saturation","15m","2022-01-19","0.0578462865141104","0.98908596028321"
"4","Lightness","15m","2022-01-19","0.0170583073699725","0.392864935923486"
"5","a.","15m","2022-01-19","0.0589971180232544","0.948742952468067"
"6","b.","15m","2022-01-19","0.00919745806315312","0.930481465539813"
"7","u.","15m","2022-01-19","0.494574742238227","0.946432340033273"
"8","v.","15m","2022-01-19","0.0103345281360852","0.71528533409218"
"9","GA","15m","2022-01-19","0.000150491516382259","0.43220557780113"
"10","GGA","15m","2022-01-19","4.16882385381483e-07","0.00461642899463669"
"11","CSI","15m","2022-01-19","0.431049225844256","0.487452724734092"
"12","NGRDI","15m","2022-01-19","0.400978842979451","0.958445528219488"
"13","NGRDIveg","15m","2022-01-19","0.218602165252836","0.198861958749499"
"14","TGI","15m","2022-01-19","0.274907630195356","0.820165579924227"
"15","TGIveg","15m","2022-01-19","0.400030500556017","0.691969732251422"
"16","Intensity","15m","2022-03-09","0.00367651442491822","0.065692713182876"
"17","Hue","15m","2022-03-09","0.00141261875510366","0.658657754677155"
"18","Saturation","15m","2022-03-09","0.446089419277337","0.597997004523134"
"19","Lightness","15m","2022-03-09","0.00752427057105832","0.047990974178697"
"20","a.","15m","2022-03-09","0.00540569720905337","0.948026255382406"
"21","b.","15m","2022-03-09","0.156869074634747","0.246006241309751"
"22","u.","15m","2022-03-09","0.00368719288598723","0.949221583656246"
"23","v.","15m","2022-03-09","0.114707766666139","0.027497008401603"
"24","GA","15m","2022-03-09","0.000976490192870886","0.892199326953676"
"25","GGA","15m","2022-03-09","8.14588884393308e-05","0.359626452486043"
"26","CSI","15m","2022-03-09","0.00101698641331467","0.0234339205605133"
"27","NGRDI","15m","2022-03-09","8.41009088486534e-05","0.0276767327809984"
"28","NGRDIveg","15m","2022-03-09","1.9443974853073e-05","0.00109325721931612"
"29","TGI","15m","2022-03-09","0.0166262412457334","0.974763625553231"
"30","TGIveg","15m","2022-03-09","0.00361243324699665","0.514065476529556"
"31","Intensity","15m","2022-02-03","0.680220610668671","0.906915684103445"
"32","Hue","15m","2022-02-03","2.09069898850682e-06","0.115868044917809"
"33","Saturation","15m","2022-02-03","0.00450425710599428","0.299458321579418"
"34","Lightness","15m","2022-02-03","0.545201127343048","0.892100021880148"
"35","a.","15m","2022-02-03","0.00157725862454959","0.511887541682398"
"36","b.","15m","2022-02-03","0.33972117874205","0.319324930030788"
"37","u.","15m","2022-02-03","0.00992388733588995","0.664119578707264"
"38","v.","15m","2022-02-03","0.765359577377929","0.774555072872322"
"39","GA","15m","2022-02-03","9.4894335719545e-09","0.0778388752943478"
"40","GGA","15m","2022-02-03","1.07765500919391e-10","0.0149536629567118"
"41","CSI","15m","2022-02-03","0.00491520346772448","0.0191487992938054"
"42","NGRDI","15m","2022-02-03","0.000507721802117023","0.690906498767508"
"43","NGRDIveg","15m","2022-02-03","0.0136338504866939","0.222629827576115"
"44","TGI","15m","2022-02-03","0.00216733433541669","0.0959245672961348"
"45","TGIveg","15m","2022-02-03","0.0219856126247826","0.525218513451378"
"46","Intensity","15m","2022-02-14","0.366332648124298","0.863594315116632"
"47","Hue","15m","2022-02-14","4.90570847037734e-05","0.332308343624625"
"48","Saturation","15m","2022-02-14","0.906706163996622","0.604967452939259"
"49","Lightness","15m","2022-02-14","0.464961995105729","0.90716545939238"
"50","a.","15m","2022-02-14","0.00331837335553219","0.910108290294064"
"51","b.","15m","2022-02-14","0.931654993228833","0.994055103935061"
"52","u.","15m","2022-02-14","0.00215238126695017","0.925709091593627"
"53","v.","15m","2022-02-14","0.226223344812813","0.942336396546086"
"54","GA","15m","2022-02-14","9.06325333712383e-06","0.14276199739936"
"55","GGA","15m","2022-02-14","2.28409213933119e-08","0.0558295528515722"
"56","CSI","15m","2022-02-14","8.89935658528826e-05","0.9218996700067"
"57","NGRDI","15m","2022-02-14","0.00112969759760345","0.918089768241745"
"58","NGRDIveg","15m","2022-02-14","1.90622386674837e-05","0.503093654895514"
"59","TGI","15m","2022-02-14","0.00749561541815566","0.914530991980368"
"60","TGIveg","15m","2022-02-14","0.0865560805081957","0.519828110345768"
"61","Intensity","15m","2022-05-26","0.885968241550808","0.183581639186148"
"62","Hue","15m","2022-05-26","0.104826369612452","0.444142242512528"
"63","Saturation","15m","2022-05-26","0.0694308979854219","0.121165101478153"
"64","Lightness","15m","2022-05-26","0.93361706921618","0.220072054550383"
"65","a.","15m","2022-05-26","0.268923655581465","0.70654764809504"
"66","b.","15m","2022-05-26","0.00716582567007611","0.167321224730311"
"67","u.","15m","2022-05-26","0.142932685821503","0.637509201895092"
"68","v.","15m","2022-05-26","0.00325805019411448","0.202786800492635"
"69","GA","15m","2022-05-26","7.29935446138308e-12","0.329940751689652"
"70","GGA","15m","2022-05-26","1.06839167020102e-06","0.0335059851552352"
"71","CSI","15m","2022-05-26","3.45243252886644e-07","0.0221798529285504"
"72","NGRDI","15m","2022-05-26","0.445080143169961","0.209521229436824"
"73","NGRDIveg","15m","2022-05-26","0.325841613433317","0.196067148433697"
"74","TGI","15m","2022-05-26","0.883165958496999","0.854125441036993"
"75","TGIveg","15m","2022-05-26","0.380321104590069","0.790163537873202"
"76","Intensity","50m","2022-04-19","9.11194530188268e-06","1.18862182036829e-06"
"77","Hue","50m","2022-04-19","5.93606821388433e-06","0.00409897526829687"
"78","Saturation","50m","2022-04-19","0.10942313146208","0.368424990237686"
"79","Lightness","50m","2022-04-19","0.000137320627822082","5.15785646894827e-06"
"80","a.","50m","2022-04-19","4.33181938666679e-14","0.460698886493388"
"81","b.","50m","2022-04-19","6.00230058528994e-09","0.617825189430185"
