"","variable","date","norm_pvalue","homo_pvalue"
"1","Hue",2022-03-22,"0.689446849890003","0.216991691357451"
"2","GGA",2022-03-22,"9.02271397615345e-08","0.000149215303598783"
"3","NGRDI",2022-03-22,"0.601065518536302","0.0243547495120074"
"4","TGI",2022-03-22,"0.155164333653385","0.728121243100608"
"5","Hue",2022-01-19,"0.390379521569188","0.447417184494146"
"6","GGA",2022-01-19,"9.29232624147897e-10","0.000219069784438126"
"7","NGRDI",2022-01-19,"0.72097758757009","0.791912853954278"
"8","TGI",2022-01-19,"0.179548965605684","0.827531808656508"
"9","Hue",2022-03-09,"0.758299265313701","0.107099781531588"
"10","GGA",2022-03-09,"0.16124125947028","0.00797392112676172"
"11","NGRDI",2022-03-09,"0.447494611705638","2.27314229457903e-05"
"12","TGI",2022-03-09,"0.306286239724745","0.718191871321763"
"13","Hue",2022-02-03,"0.0692880890186367","0.183786732104035"
"14","GGA",2022-02-03,"1.91272912422624e-16","0.000185206118190288"
"15","NGRDI",2022-02-03,"0.544330557657131","0.594285644323989"
"16","TGI",2022-02-03,"0.254929984198472","0.13533042942208"
"17","Hue",2022-02-14,"0.00239314160479958","0.913119117532657"
"18","GGA",2022-02-14,"2.35435283650776e-11","0.294734633869717"
"19","NGRDI",2022-02-14,"0.357090216666763","0.935013912106212"
"20","TGI",2022-02-14,"0.884749595587346","0.725510671562755"
"21","Hue",2022-05-26,"0.724554749834717","0.179859349798274"
"22","GGA",2022-05-26,"1.53931067657469e-08","0.0012617605075585"
"23","NGRDI",2022-05-26,"0.707075426030874","0.199073242156593"
"24","TGI",2022-05-26,"0.365358941203123","0.404612878706632"
"25","Hue",2022-04-05,"0.967639504734843","0.0116555696398077"
"26","GGA",2022-04-05,"0.0246606763092797","0.000744103321860217"
"27","NGRDI",2022-04-05,"0.15779995336539","0.0554186318213588"
"28","TGI",2022-04-05,"0.487815028552208","0.219431129218968"
"29","Hue",2022-04-19,"0.990785468494942","0.00409897526829687"
"30","GGA",2022-04-19,"0.000593935811046333","7.43921287803375e-08"
"31","NGRDI",2022-04-19,"0.873310919131834","0.0488298974715819"
"32","TGI",2022-04-19,"0.574975819974875","0.629605303348412"
"33","Hue",2022-05-03,"0.481595462369207","0.0362609658049639"
"34","GGA",2022-05-03,"0.00122057000725453","0.48013640394553"
"35","NGRDI",2022-05-03,"0.428666913322181","0.269883906864494"
"36","TGI",2022-05-03,"0.00625806410887131","0.721745963064037"
"37","Hue",2022-06-02,"0.0197757871850718","0.010300358972926"
"38","GGA",2022-06-02,"0.000431809951712527","3.14631740353046e-06"
"39","NGRDI",2022-06-02,"0.0329946281115518","0.267827910949508"
"40","TGI",2022-06-02,"0.00114233029630827","0.590914195940854"
