"","variable","date","Altitude","norm_pvalue","homo_pvalue"
"1","Intensity",2022-03-22,"50m","0.43134805554942","0.0218316570424724"
"2","Hue",2022-03-22,"50m","0.689446849890003","0.216991691357451"
"3","Saturation",2022-03-22,"50m","0.270035279151451","0.432955672037265"
"4","Lightness",2022-03-22,"50m","0.843162151094997","0.0138924493526821"
"5","a.",2022-03-22,"50m","0.673957507804728","0.359191590359165"
"6","b.",2022-03-22,"50m","6.77926562799576e-06","0.0687262500160899"
"7","u.",2022-03-22,"50m","0.731990127430054","0.0321030710590049"
"8","v.",2022-03-22,"50m","0.839097913887877","0.803966854629399"
"9","GA",2022-03-22,"50m","0.00823052389388764","6.82511349357082e-06"
"10","GGA",2022-03-22,"50m","9.02271397615345e-08","0.000149215303598783"
"11","CSI",2022-03-22,"50m","0.000411918729161227","0.0661481294280042"
"12","NGRDI",2022-03-22,"50m","0.601065518536302","0.0243547495120074"
"13","NGRDIveg",2022-03-22,"50m","0.090276688804525","0.00440230369937876"
"14","TGI",2022-03-22,"50m","0.155164333653385","0.728121243100608"
"15","TGIveg",2022-03-22,"50m","0.199716615924922","0.903159034706059"
"16","Intensity",2022-04-05,"50m","0.191968080795709","0.597911885183265"
"17","Hue",2022-04-05,"50m","0.967639504734843","0.0116555696398077"
"18","Saturation",2022-04-05,"50m","0.0181375678482627","0.790260687566975"
"19","Lightness",2022-04-05,"50m","1.77163675829554e-05","1.52622883009343e-19"
"20","a.",2022-04-05,"50m","4.76606713216695e-08","0.00377863471047771"
"21","b.",2022-04-05,"50m","1.05969924423691e-06","2.34443778327198e-33"
"22","u.",2022-04-05,"50m","0.0326916367401279","0.180029256817032"
"23","v.",2022-04-05,"50m","0.638578391119466","0.371440679041587"
"24","GA",2022-04-05,"50m","0.0101826695157384","0.0169092976258023"
"25","GGA",2022-04-05,"50m","0.0246606763092797","0.000744103321860217"
"26","CSI",2022-04-05,"50m","0.0338069708418346","5.13334235547519e-05"
"27","NGRDI",2022-04-05,"50m","0.15779995336539","0.0554186318213588"
"28","NGRDIveg",2022-04-05,"50m","0.150898129206574","0.0335471030597074"
"29","TGI",2022-04-05,"50m","0.487815028552208","0.219431129218968"
"30","TGIveg",2022-04-05,"50m","0.340219240576816","0.48727524100628"
"31","Intensity",2022-04-19,"50m","0.887425815845196","1.18862182036829e-06"
"32","Hue",2022-04-19,"50m","0.990785468494942","0.00409897526829687"
"33","Saturation",2022-04-19,"50m","0.312218388608508","0.368424990237686"
"34","Lightness",2022-04-19,"50m","0.941695886872928","5.15785646894827e-06"
"35","a.",2022-04-19,"50m","1.17779011543956e-12","0.460698886493388"
"36","b.",2022-04-19,"50m","9.55978464826336e-12","0.617825189430185"
"37","u.",2022-04-19,"50m","0.633695456415936","0.0218062218333975"
"38","v.",2022-04-19,"50m","0.0815250894038944","0.512409263414026"
"39","GA",2022-04-19,"50m","1.68477998271732e-05","3.67423318804187e-09"
"40","GGA",2022-04-19,"50m","0.000593935811046333","7.43921287803375e-08"
"41","CSI",2022-04-19,"50m","1.27314305726605e-05","7.88564593366247e-07"
"42","NGRDI",2022-04-19,"50m","0.873310919131834","0.0488298974715819"
"43","NGRDIveg",2022-04-19,"50m","0.867230666070639","0.0326473769734717"
"44","TGI",2022-04-19,"50m","0.574975819974875","0.629605303348412"
"45","TGIveg",2022-04-19,"50m","0.497984785377296","0.58122010968575"
"46","Intensity",2022-05-03,"50m","0.0281747602745057","0.839259444785409"
"47","Hue",2022-05-03,"50m","0.481595462369207","0.0362609658049639"
"48","Saturation",2022-05-03,"50m","0.343185868608065","0.456937030181779"
"49","Lightness",2022-05-03,"50m","0.0129656596331215","0.845932936077691"
"50","a.",2022-05-03,"50m","0.0966028880622599","0.191057194138736"
"51","b.",2022-05-03,"50m","0.156871208839036","0.140413003991156"
"52","u.",2022-05-03,"50m","0.0663838414056142","0.167132518646568"
"53","v.",2022-05-03,"50m","0.00883889705457408","0.70797943773929"
"54","GA",2022-05-03,"50m","0.00284086925977717","0.142165426981118"
"55","GGA",2022-05-03,"50m","0.00122057000725453","0.48013640394553"
"56","CSI",2022-05-03,"50m","8.45350445826042e-05","0.392015164706451"
"57","NGRDI",2022-05-03,"50m","0.428666913322181","0.269883906864494"
"58","NGRDIveg",2022-05-03,"50m","0.638069389700569","0.176881977370178"
"59","TGI",2022-05-03,"50m","0.00625806410887131","0.721745963064037"
"60","TGIveg",2022-05-03,"50m","0.00147612484139909","0.833497302764894"
"61","Intensity",2022-05-26,"50m","0.173757602714786","0.10344000407125"
"62","Hue",2022-05-26,"50m","0.67649839625969","0.330440565958724"
"63","Saturation",2022-05-26,"50m","0.281146049615577","0.902670564746142"
"64","Lightness",2022-05-26,"50m","0.265747735207991","0.0625914010743414"
"65","a.",2022-05-26,"50m","0.370634055860374","0.634147025620998"
"66","b.",2022-05-26,"50m","0.0679682524915812","0.804800961955607"
"67","u.",2022-05-26,"50m","0.134054245609861","0.531405209249326"
"68","v.",2022-05-26,"50m","0.207512136244088","0.390731449078649"
"69","GA",2022-05-26,"50m","7.09531678302518e-06","0.00400048894193627"
"70","GGA",2022-05-26,"50m","4.38860014408168e-07","0.0820885580920443"
"71","CSI",2022-05-26,"50m","3.97428205365691e-08","0.100456069248425"
"72","NGRDI",2022-05-26,"50m","0.15752222399872","0.438481206064025"
"73","NGRDIveg",2022-05-26,"50m","0.122491069550994","0.436597826891493"
"74","TGI",2022-05-26,"50m","0.466633920132244","0.333189985265537"
"75","TGIveg",2022-05-26,"50m","0.296864808349719","0.37962949848856"
"76","Intensity",2022-06-02,"50m","0.121065007331722","0.175431056950363"
"77","Hue",2022-06-02,"50m","0.0197757871850718","0.010300358972926"
"78","Saturation",2022-06-02,"50m","0.528039104618441","0.0953338594284917"
"79","Lightness",2022-06-02,"50m","0.0268754844562845","0.128638847207915"
"80","a.",2022-06-02,"50m","0.120114019107895","0.350721528666585"
"81","b.",2022-06-02,"50m","0.0625095083636424","0.850763243026754"
"82","u.",2022-06-02,"50m","0.190555263780047","0.136249388577903"
"83","v.",2022-06-02,"50m","0.520610212198433","0.85981478304724"
"84","GA",2022-06-02,"50m","0.0217244690943214","0.0119311864246913"
"85","GGA",2022-06-02,"50m","0.000431809951712527","3.14631740353046e-06"
"86","CSI",2022-06-02,"50m","0.00199231171332592","3.14491574525056e-05"
"87","NGRDI",2022-06-02,"50m","0.0329946281115518","0.267827910949508"
"88","NGRDIveg",2022-06-02,"50m","0.027737140941933","0.2506643473113"
"89","TGI",2022-06-02,"50m","0.00114233029630827","0.590914195940854"
"90","TGIveg",2022-06-02,"50m","0.112727207890766","0.217516018899491"
"91","Intensity",2022-01-19,"30m","0.151794508848178","0.157768318891557"
"92","Hue",2022-01-19,"30m","0.193327965845348","0.770649704229057"
"93","Saturation",2022-01-19,"30m","0.366039768521027","0.935110159907213"
"94","Lightness",2022-01-19,"30m","0.0982234456564051","0.16312318986442"
"95","a.",2022-01-19,"30m","0.0379648689939312","0.670939075934177"
"96","b.",2022-01-19,"30m","0.804708005227261","0.559464852381362"
"97","u.",2022-01-19,"30m","0.113233259987108","0.479298576144739"
"98","v.",2022-01-19,"30m","0.0808175675484973","0.400302828486075"
"99","GA",2022-01-19,"30m","0.0532800366996722","0.00340117897258516"
"100","GGA",2022-01-19,"30m","4.93979182916223e-11","0.5068372333302"
"101","CSI",2022-01-19,"30m","5.62860363251518e-09","0.592274694872875"
"102","NGRDI",2022-01-19,"30m","0.348942372925338","0.337514898134443"
"103","NGRDIveg",2022-01-19,"30m","2.64905967486791e-12","0.486428796228528"
"104","TGI",2022-01-19,"30m","0.133966203002073","0.887298608628679"
"105","TGIveg",2022-01-19,"30m","8.50318833332033e-05","0.389279386348581"
"106","Intensity",2022-02-03,"30m","0.777186513271937","0.818524046986927"
"107","Hue",2022-02-03,"30m","0.335035913076754","0.484049351768559"
"108","Saturation",2022-02-03,"30m","0.44419855398886","0.416423180999469"
"109","Lightness",2022-02-03,"30m","0.831071463000531","0.767951568816518"
"110","a.",2022-02-03,"30m","0.769077710375374","0.753635830650775"
"111","b.",2022-02-03,"30m","0.1329919477625","0.0146305756426062"
"112","u.",2022-02-03,"30m","0.32460862565404","0.769999307359274"
"113","v.",2022-02-03,"30m","0.399801232655113","0.011441974889123"
"114","GA",2022-02-03,"30m","8.09808584571073e-07","0.00333325128194148"
"115","GGA",2022-02-03,"30m","8.87632318900364e-10","0.139513320089459"
"116","CSI",2022-02-03,"30m","3.9392671175797e-05","0.942317630905231"
"117","NGRDI",2022-02-03,"30m","0.450205982619312","0.769579729132802"
"118","NGRDIveg",2022-02-03,"30m","0.000425464844919101","0.610561210018692"
"119","TGI",2022-02-03,"30m","0.404994867375219","0.354419354517028"
"120","TGIveg",2022-02-03,"30m","0.742665725152183","0.291413981767378"
"121","Intensity",2022-02-14,"30m","0.0925773258183286","0.349389750316681"
"122","Hue",2022-02-14,"30m","0.00048693920362451","0.933367583079878"
"123","Saturation",2022-02-14,"30m","0.27103684693777","0.985821629693825"
"124","Lightness",2022-02-14,"30m","0.0988901093683324","0.365041401966505"
