"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",1,-0.472953295640667,0.266078760569066,0.141545734522674,-0.467188446758576,-0.253829610466142,-0.134740651132161,-0.247024527075629,-0.206874535071601,0.565502429751646,0.667578680609344,-0.44369143706146,0.25860754031637,0.562874242658798,0.283091469045349,0.364752469731507
"Intensity",-0.472953295640667,1,-0.56171158655182,0.114309530425118,0.99206691112472,0.511308696860239,0.503806612948041,0.622339538760767,0.592386774103918,-0.708919144206724,-0.6463462072798,0.0552931369824951,-0.556907859034946,-0.175272345700176,-0.340872464573493,-0.183606557377049
"Hue",0.266078760569066,-0.56171158655182,1,-0.23500972492359,-0.505828251130561,-0.991053070297305,-0.202111697693804,-0.950597388163379,-0.137482634065018,0.874187274242845,0.633398166157266,0.243789941650459,0.974936091313248,-0.0723099165232057,0.861350375104196,0.569713809391498
"Saturation",0.141545734522674,0.114309530425118,-0.23500972492359,1,0.159328674576062,0.305140316754654,0.83828841344818,0.468407891080856,0.722478466240623,-0.311419838844123,-0.277299249791609,0.0410113920533482,-0.406413249488331,0.169158517247023,0.170714087246457,0.484801333703807
"Lightness",-0.467188446758576,0.99206691112472,-0.505828251130561,0.159328674576062,1,0.459591258717835,0.563596704992373,0.58913264010493,0.655931756547353,-0.678855746175057,-0.635591925750409,0.0932242244859938,-0.513470329200771,-0.186924200725297,-0.260861108636218,-0.0938077442219717
"a.",-0.253829610466142,0.511308696860239,-0.991053070297305,0.305140316754654,0.459591258717835,1,0.236287857738261,0.962434009447069,0.154987496526813,-0.873409280355654,-0.63878855237566,-0.231508752431231,-0.986467712982718,0.077284349673726,-0.839121978327313,-0.534648513475966
"b.",-0.134740651132161,0.503806612948041,-0.202111697693804,0.83828841344818,0.563596704992373,0.236287857738261,1,0.455126424006669,0.974159488746874,-0.415226451792165,-0.442456237843846,0.216449013614893,-0.357202401351873,-0.048771676978565,0.234787440955821,0.495582106140595
"u.",-0.247024527075629,0.622339538760767,-0.950597388163379,0.468407891080856,0.58913264010493,0.962434009447069,0.455126424006669,1,0.381383717699361,-0.902806335093082,-0.6866351764379,-0.189941650458461,-0.988857398437114,0.0879835494667445,-0.69974993053626,-0.361100305640456
"v.",-0.206874535071601,0.592386774103918,-0.137482634065018,0.722478466240623,0.655931756547353,0.154987496526813,0.974159488746874,0.381383717699361,1,-0.389774937482634,-0.443234231731036,0.27429841622673,-0.275675225500734,-0.12030346988046,0.281911642122812,0.489858293970547
"GA",0.565502429751646,-0.708919144206724,0.874187274242845,-0.311419838844123,-0.678855746175057,-0.873409280355654,-0.415226451792165,-0.902806335093082,-0.389774937482634,1,0.885412614615171,-0.0682967490969714,0.897938203009395,0.206258339905931,0.658794109474854,0.455237565990553
"GGA",0.667578680609344,-0.6463462072798,0.633398166157266,-0.277299249791609,-0.635591925750409,-0.63878855237566,-0.442456237843846,-0.6866351764379,-0.443234231731036,0.885412614615171,1,-0.472186718532926,0.678281650486131,0.564000674803405,0.422561822728536,0.266629619338705
"CSI",-0.44369143706146,0.0552931369824951,0.243789941650459,0.0410113920533482,0.0932242244859938,-0.231508752431231,0.216449013614893,-0.189941650458461,0.27429841622673,-0.0682967490969714,-0.472186718532926,1,0.192091808677207,-0.893925090239031,0.309030286190609,0.245679355376494
"NGRDI",0.25860754031637,-0.556907859034946,0.974936091313248,-0.406413249488331,-0.513470329200771,-0.986467712982718,-0.357202401351873,-0.988857398437114,-0.275675225500734,0.897938203009395,0.678281650486131,0.192091808677207,1,-0.0719804351065437,0.76247638219334,0.439785484729373
"NGRDIveg",0.562874242658798,-0.175272345700176,-0.0723099165232057,0.169158517247023,-0.186924200725297,0.077284349673726,-0.048771676978565,0.0879835494667445,-0.12030346988046,0.206258339905931,0.564000674803405,-0.893925090239031,-0.0719804351065437,1,-0.0379057364095513,0.07103157057391
"TGI",0.283091469045349,-0.340872464573493,0.861350375104196,0.170714087246457,-0.260861108636218,-0.839121978327313,0.234787440955821,-0.69974993053626,0.281911642122812,0.658794109474854,0.422561822728536,0.309030286190609,0.76247638219334,-0.0379057364095513,1,0.843901083634343
"TGIveg",0.364752469731507,-0.183606557377049,0.569713809391498,0.484801333703807,-0.0938077442219717,-0.534648513475966,0.495582106140595,-0.361100305640456,0.489858293970547,0.455237565990553,0.266629619338705,0.245679355376494,0.439785484729373,0.07103157057391,0.843901083634343,1
