"","X","dens","altitude","date","pval"
"1","dens",1,"15m","2022-01-19",NA
"2","Intensity",-0.472953295640667,"15m","2022-01-19",0.000135620106036516
"3","Hue",0.266078760569066,"15m","2022-01-19",0.0398900947417586
"4","Saturation",0.141545734522674,"15m","2022-01-19",0.280682612752118
"5","Lightness",-0.467188446758576,"15m","2022-01-19",0.00016773884916832
"6","a.",-0.253829610466142,"15m","2022-01-19",0.0503502221140413
"7","b.",-0.134740651132161,"15m","2022-01-19",0.304688328430924
"8","u.",-0.247024527075629,"15m","2022-01-19",0.0570671357542425
"9","v.",-0.206874535071601,"15m","2022-01-19",0.112752109471907
"10","GA",0.565502429751646,"15m","2022-01-19",2.50179724003985e-06
"11","GGA",0.667578680609344,"15m","2022-01-19",5.68512570353619e-09
"12","CSI",-0.44369143706146,"15m","2022-01-19",0.000384071376931416
"13","NGRDI",0.25860754031637,"15m","2022-01-19",0.0460311921217107
"14","NGRDIveg",0.562874242658798,"15m","2022-01-19",2.8502533244712e-06
"15","TGI",0.283091469045349,"15m","2022-01-19",0.0283984515523996
"16","TGIveg",0.364752469731507,"15m","2022-01-19",0.00416535182511879
"17","dens",1,"15m","2022-02-03",NA
"18","Intensity",-0.700923589222858,"15m","2022-02-03",4.49799752999525e-10
"19","Hue",0.787348148282376,"15m","2022-02-03",8.59312621059871e-14
"20","Saturation",0.0415110086821305,"15m","2022-02-03",0.752826431488114
"21","Lightness",-0.668948990891749,"15m","2022-02-03",5.15502396325473e-09
"22","a.",-0.666898172270292,"15m","2022-02-03",5.96716898115801e-09
"23","b.",-0.279008419011041,"15m","2022-02-03",0.0308658963067869
"24","u.",-0.718616806038193,"15m","2022-02-03",1.01194164159324e-10
"25","v.",-0.354544844645737,"15m","2022-02-03",0.0054453768902456
"26","GA",0.860843048899918,"15m","2022-02-03",0
"27","GGA",0.842469323745533,"15m","2022-02-03",0
"28","CSI",-0.498812612524617,"15m","2022-02-03",4.98213808564074e-05
"29","NGRDI",0.640393935362379,"15m","2022-02-03",3.58523468690919e-08
"30","NGRDIveg",0.774164282607076,"15m","2022-02-03",4.03233002543857e-13
"31","TGI",0.769654931467042,"15m","2022-02-03",6.68354260824344e-13
"32","TGIveg",0.644441397081599,"15m","2022-02-03",2.75714167052854e-08
"33","dens",1,"15m","2022-02-14",NA
"34","Intensity",-0.777140523196606,"15m","2022-02-14",2.87103674168065e-13
"35","Hue",0.801638823402454,"15m","2022-02-14",1.4210854715202e-14
"36","Saturation",-0.105478792552954,"15m","2022-02-14",0.422501388670089
"37","Lightness",-0.750270867200563,"15m","2022-02-14",5.18007858829606e-12
"38","a.",-0.771015948145144,"15m","2022-02-14",5.74651437545981e-13
"39","b.",-0.45934312885964,"15m","2022-02-14",0.000222666900766777
"40","u.",-0.786667639943325,"15m","2022-02-14",9.32587340685131e-14
"41","v.",-0.526713454425721,"15m","2022-02-14",1.53869818340091e-05
"42","GA",0.868328640629483,"15m","2022-02-14",0
"43","GGA",0.913922699345921,"15m","2022-02-14",0
"44","CSI",-0.89759049920869,"15m","2022-02-14",0
"45","NGRDI",0.792814244037818,"15m","2022-02-14",4.39648317751562e-14
"46","NGRDIveg",0.911012302054173,"15m","2022-02-14",0
"47","TGI",0.790070181638581,"15m","2022-02-14",6.17284001691587e-14
"48","TGIveg",0.685271897424678,"15m","2022-02-14",1.54246970751615e-09
"49","dens",1,"15m","2022-03-09",NA
"50","Intensity",-0.932976932839358,"15m","2022-03-09",0
"51","Hue",0.947948116298487,"15m","2022-03-09",0
"52","Saturation",0.585237171584134,"15m","2022-03-09",9.0571736510725e-07
"53","Lightness",-0.923462645615569,"15m","2022-03-09",0
"54","a.",-0.942504049586077,"15m","2022-03-09",0
"55","b.",-0.0415110086821305,"15m","2022-03-09",0.752826431488114
"56","u.",-0.947948116298487,"15m","2022-03-09",0
"57","v.",-0.315755869319812,"15m","2022-03-09",0.0139863384715335
"58","GA",0.935698966195563,"15m","2022-03-09",0
"59","GGA",0.952711674671846,"15m","2022-03-09",0
"60","CSI",-0.94930913297659,"15m","2022-03-09",0
"61","NGRDI",0.957188172249933,"15m","2022-03-09",0
"62","NGRDIveg",0.954792994613667,"15m","2022-03-09",0
"63","TGI",0.926852357787896,"15m","2022-03-09",0
"64","TGIveg",0.920047274397383,"15m","2022-03-09",0
"65","dens",1,"15m","2022-05-26",NA
"66","Intensity",-0.295340619148272,"15m","2022-05-26",0.021966949172983
"67","Hue",0.014971183459129,"15m","2022-05-26",0.909607893844718
"68","Saturation",0.203471993376344,"15m","2022-05-26",0.118926828862881
"69","Lightness",-0.232396826438995,"15m","2022-05-26",0.0739662337056195
