X,dens,altitude,date,pval
GA,0.860843049,15m,2022-02-03,0
CSI,-0.897590499,15m,2022-02-14,0
GA,0.868328641,15m,2022-02-14,0
NGRDIveg,0.911012302,15m,2022-02-14,0
GGA,0.913922699,15m,2022-02-14,0
u.,-0.962238791,30m,2022-03-09,0
a.,-0.9547532,30m,2022-03-09,0
CSI,-0.949309133,15m,2022-03-09,0
Intensity,-0.949309133,30m,2022-03-09,0
u.,-0.947948116,15m,2022-03-09,0
Lightness,-0.946600251,30m,2022-03-09,0
a.,-0.94250405,15m,2022-03-09,0
CSI,-0.939101508,30m,2022-03-09,0
Intensity,-0.932976933,15m,2022-03-09,0
Lightness,-0.923462646,15m,2022-03-09,0
TGIveg,0.920047274,15m,2022-03-09,0
TGI,0.926852358,15m,2022-03-09,0
GA,0.935698966,15m,2022-03-09,0
TGI,0.94250405,30m,2022-03-09,0
NGRDIveg,0.945592611,30m,2022-03-09,0
Hue,0.947948116,15m,2022-03-09,0
GGA,0.952711675,15m,2022-03-09,0
NGRDIveg,0.954792995,15m,2022-03-09,0
NGRDI,0.957188172,15m,2022-03-09,0
NGRDI,0.95918983,30m,2022-03-09,0
GGA,0.959516758,30m,2022-03-09,0
Hue,0.961558283,30m,2022-03-09,0
GA,0.964960825,30m,2022-03-09,0
Intensity,-0.970404891,50m,2022-03-22,0
Lightness,-0.969737856,50m,2022-03-22,0
a.,-0.954072691,50m,2022-03-22,0
CSI,-0.945226083,50m,2022-03-22,0
u.,-0.939101508,50m,2022-03-22,0
v.,-0.926171849,50m,2022-03-22,0
TGI,0.924810833,50m,2022-03-22,0
NGRDIveg,0.944558697,50m,2022-03-22,0
GGA,0.960877775,50m,2022-03-22,0
NGRDI,0.9629193,50m,2022-03-22,0
Hue,0.964280316,50m,2022-03-22,0
GA,0.974753322,50m,2022-03-22,0
Intensity,-0.951350658,50m,2022-04-05,0
Lightness,-0.945252348,50m,2022-04-05,0
CSI,-0.942085341,50m,2022-04-05,0
v.,-0.894187958,50m,2022-04-05,0
Hue,0.907798124,50m,2022-04-05,0
NGRDIveg,0.918686258,50m,2022-04-05,0
NGRDI,0.920727783,50m,2022-04-05,0
GA,0.921183224,50m,2022-04-05,0
GGA,0.937766548,50m,2022-04-05,0
Intensity,-0.930480437,50m,2022-04-19,0
CSI,-0.894198141,50m,2022-04-19,0
Lightness,-0.888040242,50m,2022-04-19,0
GGA,0.898448164,50m,2022-04-19,0
GA,0.915966032,50m,2022-04-19,0
