"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,0.000135620106036516,0.0398900947417586,0.280682612752118,0.00016773884916832,0.0503502221140413,0.304688328430924,0.0570671357542425,0.112752109471907,2.50179724003985e-06,5.68512570353619e-09,0.000384071376931416,0.0460311921217107,2.8502533244712e-06,0.0283984515523996,0.00416535182511879
"Intensity",0.000135620106036516,NA,3.0184318720039e-06,0.384482268746157,0,2.98121930439876e-05,4.06751115225035e-05,1.10555751220431e-07,6.16371781392289e-07,2.32368568831021e-10,2.43330686711118e-08,0.674770112562059,3.81643867353176e-06,0.180411323017965,0.00769475749891457,0.160240641780641
"Hue",0.0398900947417586,3.0184318720039e-06,NA,0.0706857682016289,3.74350055387662e-05,0,0.121466397139782,0,0.294860699040189,0,5.59461308391462e-08,0.0605050985611344,0,0.582972992121667,0,2.02527704251665e-06
"Saturation",0.280682612752118,0.384482268746157,0.0706857682016289,NA,0.223993071996023,0.0177529938773384,0,0.000160414531221287,7.19766468648686e-11,0.0154324845521874,0.0319507132164314,0.755708461824135,0.00127237318698192,0.196333927906412,0.19219073516759,8.65718290579132e-05
"Lightness",0.00016773884916832,0,3.74350055387662e-05,0.223993071996023,NA,0.000220703896085972,2.7502014259273e-06,7.3522236254675e-07,1.28025703372003e-08,2.50130272050342e-09,4.87182232333794e-08,0.478655623482224,2.72221410768658e-05,0.152691247973116,0.0441021883621679,0.475894883085564
"a.",0.0503502221140413,2.98121930439876e-05,0,0.0177529938773384,0.000220703896085972,NA,0.069123965609563,0,0.237033262108253,0,3.97462711632102e-08,0.0751083980020915,0,0.557252138825162,0,1.08055519323358e-05
"b.",0.304688328430924,4.06751115225035e-05,0.121466397139782,0,2.7502014259273e-06,0.069123965609563,NA,0.000258560816381426,0,0.000970371473025367,0.000400513409363867,0.0966946029639393,0.00508259216582152,0.711339964437722,0.0709602406821708,5.67115945058205e-05
"u.",0.0570671357542425,1.10555751220431e-07,0,0.000160414531221287,7.3522236254675e-07,0,0.000258560816381426,NA,0.00264211648036117,0,1.38969902252484e-09,0.146056776401088,0,0.503827620781721,4.94692953267872e-10,0.00458897614668508
"v.",0.112752109471907,6.16371781392289e-07,0.294860699040189,7.19766468648686e-11,1.28025703372003e-08,0.237033262108253,0,0.00264211648036117,NA,0.00208102274594957,0.000390084367035914,0.0339323219823946,0.0330107955725418,0.359879241435761,0.0290938189790804,7.11164801510122e-05
"GA",2.50179724003985e-06,2.32368568831021e-10,0,0.0154324845521874,2.50130272050342e-09,0,0.000970371473025367,0,0.00208102274594957,NA,0,0.604108160907655,0,0.113851701710191,1.05214597034831e-08,0.000257550666214801
"GGA",5.68512570353619e-09,2.43330686711118e-08,5.59461308391462e-08,0.0319507132164314,4.87182232333794e-08,3.97462711632102e-08,0.000400513409363867,1.38969902252484e-09,0.000390084367035914,0,NA,0.000139538344217982,2.61033572535041e-09,2.69569651223378e-06,0.000770088166225147,0.039465485714087
"CSI",0.000384071376931416,0.674770112562059,0.0605050985611344,0.755708461824135,0.478655623482224,0.0751083980020915,0.0966946029639393,0.146056776401088,0.0339323219823946,0.604108160907655,0.000139538344217982,NA,0.141461993890642,0,0.0162828820515488,0.0584771535457236
"NGRDI",0.0460311921217107,3.81643867353176e-06,0,0.00127237318698192,2.72221410768658e-05,0,0.00508259216582152,0,0.0330107955725418,0,2.61033572535041e-09,0.141461993890642,NA,0.584695473607627,1.45927714356731e-12,0.000438273806012024
"NGRDIveg",2.8502533244712e-06,0.180411323017965,0.582972992121667,0.196333927906412,0.152691247973116,0.557252138825162,0.711339964437722,0.503827620781721,0.359879241435761,0.113851701710191,2.69569651223378e-06,0,0.584695473607627,NA,0.773696281852111,0.589668830059172
"TGI",0.0283984515523996,0.00769475749891457,0,0.19219073516759,0.0441021883621679,0,0.0709602406821708,4.94692953267872e-10,0.0290938189790804,1.05214597034831e-08,0.000770088166225147,0.0162828820515488,1.45927714356731e-12,0.773696281852111,NA,0
"TGIveg",0.00416535182511879,0.160240641780641,2.02527704251665e-06,8.65718290579132e-05,0.475894883085564,1.08055519323358e-05,5.67115945058205e-05,0.00458897614668508,7.11164801510122e-05,0.000257550666214801,0.039465485714087,0.0584771535457236,0.000438273806012024,0.589668830059172,0,NA
