"","variable","date","Altitude","normality_pvalue"
"1","Intensity",2022-02-14,"15m","0.477348706582722"
"2","Hue",2022-02-14,"15m","0.251838179202715"
"3","Saturation",2022-02-14,"15m","0.615989244590079"
"4","Lightness",2022-02-14,"15m","0.393712217752419"
"5","a.",2022-02-14,"15m","0.0425340120946597"
"6","b.",2022-02-14,"15m","0.147487092760524"
"7","u.",2022-02-14,"15m","0.0949758918000529"
"8","v.",2022-02-14,"15m","0.298477438121159"
"9","GA",2022-02-14,"15m","0.0788976586201606"
"10","GGA",2022-02-14,"15m","1.83988906584594e-05"
"11","CSI",2022-02-14,"15m","0.357324284910594"
"12","NGRDI",2022-02-14,"15m","0.0718513903393469"
"13","NGRDIveg",2022-02-14,"15m","0.420167341934711"
"14","TGI",2022-02-14,"15m","0.336652533321139"
"15","TGIveg",2022-02-14,"15m","0.0914831113322106"
"16","Intensity",2022-02-14,"30m","0.092577325818326"
"17","Hue",2022-02-14,"30m","0.000486939203624494"
"18","Saturation",2022-02-14,"30m","0.271036846937777"
"19","Lightness",2022-02-14,"30m","0.0988901093683328"
"20","a.",2022-02-14,"30m","0.578637996684374"
"21","b.",2022-02-14,"30m","0.408742289727436"
"22","u.",2022-02-14,"30m","0.637986177182557"
"23","v.",2022-02-14,"30m","0.389713301378288"
"24","GA",2022-02-14,"30m","0.000323331047007697"
"25","GGA",2022-02-14,"30m","6.08695302707045e-08"
"26","CSI",2022-02-14,"30m","0.245746313840226"
"27","NGRDI",2022-02-14,"30m","0.0587172914862675"
"28","NGRDIveg",2022-02-14,"30m","0.168453894684434"
"29","TGI",2022-02-14,"30m","0.607929996307932"
"30","TGIveg",2022-02-14,"30m","0.885772930519306"
"31","Intensity",2022-01-19,"30m","0.151794508848185"
"32","Hue",2022-01-19,"30m","0.193327965845357"
"33","Saturation",2022-01-19,"30m","0.366039768521018"
"34","Lightness",2022-01-19,"30m","0.0982234456564028"
"35","a.",2022-01-19,"30m","0.037964868993933"
"36","b.",2022-01-19,"30m","0.804708005227289"
"37","u.",2022-01-19,"30m","0.113233259987105"
"38","v.",2022-01-19,"30m","0.0808175675484973"
"39","GA",2022-01-19,"30m","0.0532800349938225"
"40","GGA",2022-01-19,"30m","4.93979309578339e-11"
"41","CSI",2022-01-19,"30m","5.62860361366654e-09"
"42","NGRDI",2022-01-19,"30m","0.348942372925371"
"43","NGRDIveg",2022-01-19,"30m","2.64905967486794e-12"
"44","TGI",2022-01-19,"30m","0.133966203002062"
"45","TGIveg",2022-01-19,"30m","8.50318833332055e-05"
"46","Intensity",2022-01-19,"15m","0.558507166926249"
"47","Hue",2022-01-19,"15m","0.102988537396854"
"48","Saturation",2022-01-19,"15m","0.0718625298087092"
"49","Lightness",2022-01-19,"15m","0.240065353420252"
"50","a.",2022-01-19,"15m","0.174155185773378"
"51","b.",2022-01-19,"15m","0.0184716614315105"
"52","u.",2022-01-19,"15m","0.710091690936171"
"53","v.",2022-01-19,"15m","0.0359680884932864"
"54","GA",2022-01-19,"15m","0.0784744390225501"
"55","GGA",2022-01-19,"15m","0.022728867555559"
"56","CSI",2022-01-19,"15m","0.162940441403096"
"57","NGRDI",2022-01-19,"15m","0.594978494281679"
"58","NGRDIveg",2022-01-19,"15m","7.32574778896522e-06"
"59","TGI",2022-01-19,"15m","0.487122465232395"
"60","TGIveg",2022-01-19,"15m","0.747874319847716"
"61","Intensity",2022-02-03,"15m","0.990871067111619"
"62","Hue",2022-02-03,"15m","0.0551807355671848"
"63","Saturation",2022-02-03,"15m","0.593905928561355"
"64","Lightness",2022-02-03,"15m","0.995080105517338"
"65","a.",2022-02-03,"15m","0.812673612095796"
"66","b.",2022-02-03,"15m","0.179317990375242"
"67","u.",2022-02-03,"15m","0.528473391217989"
"68","v.",2022-02-03,"15m","0.176462288195231"
"69","GA",2022-02-03,"15m","1.74048541441332e-06"
"70","GGA",2022-02-03,"15m","2.30694814850789e-08"
"71","CSI",2022-02-03,"15m","0.188092089201701"
"72","NGRDI",2022-02-03,"15m","0.515523615003462"
"73","NGRDIveg",2022-02-03,"15m","0.0532500118448234"
"74","TGI",2022-02-03,"15m","0.880126348279864"
"75","TGIveg",2022-02-03,"15m","0.389852041602959"
"76","Intensity",2022-02-03,"30m","0.777186513271949"
"77","Hue",2022-02-03,"30m","0.335035913076764"
"78","Saturation",2022-02-03,"30m","0.44419855398885"
"79","Lightness",2022-02-03,"30m","0.831071463000543"
"80","a.",2022-02-03,"30m","0.769077710375349"
"81","b.",2022-02-03,"30m","0.132991947762507"
"82","u.",2022-02-03,"30m","0.32460862565404"
"83","v.",2022-02-03,"30m","0.399801232655168"
"84","GA",2022-02-03,"30m","8.09808510409357e-07"
"85","GGA",2022-02-03,"30m","8.8763935964141e-10"
"86","CSI",2022-02-03,"30m","3.93926712264204e-05"
"87","NGRDI",2022-02-03,"30m","0.450205982619323"
"88","NGRDIveg",2022-02-03,"30m","0.00042546484491909"
"89","TGI",2022-02-03,"30m","0.404994867375242"
"90","TGIveg",2022-02-03,"30m","0.74266572515222"
"91","Intensity",2022-03-09,"15m","0.779961413388693"
"92","Hue",2022-03-09,"15m","0.2379877744958"
"93","Saturation",2022-03-09,"15m","0.093622959344092"
"94","Lightness",2022-03-09,"15m","0.928497297083439"
"95","a.",2022-03-09,"15m","0.180878371374438"
"96","b.",2022-03-09,"15m","0.356834546417063"
"97","u.",2022-03-09,"15m","0.103335177584115"
"98","v.",2022-03-09,"15m","0.0766790227925559"
"99","GA",2022-03-09,"15m","0.801597325029711"
"100","GGA",2022-03-09,"15m","0.691566540107258"
"101","CSI",2022-03-09,"15m","0.963627982022807"
"102","NGRDI",2022-03-09,"15m","0.942250271024567"
"103","NGRDIveg",2022-03-09,"15m","0.842835720666378"
"104","TGI",2022-03-09,"15m","0.168790700159101"
"105","TGIveg",2022-03-09,"15m","0.483182776771056"
"106","Intensity",2022-03-09,"30m","0.00887971022535445"
"107","Hue",2022-03-09,"30m","0.796208876481413"
"108","Saturation",2022-03-09,"30m","0.0278820952148666"
"109","Lightness",2022-03-09,"30m","0.0281897472040715"
"110","a.",2022-03-09,"30m","0.561667757875265"
"111","b.",2022-03-09,"30m","0.179381280006484"
