"","contrast","estimate","SE","df","t.ratio","p.value"
"1","(02/06/2022_50m_PC_7030split) - (02/06/2022_50m_PC_8020split)",-0.0250000002000084,0.0467348944886796,756,-0.534932205871656,1
"2","(02/06/2022_50m_PC_7030split) - (02/06/2022_50m_var_7030split)",0.0555555552999937,0.0467348944886795,756,1.18873822029171,1
"3","(02/06/2022_50m_PC_7030split) - (02/06/2022_50m_var_8020split)",0.0083333331999945,0.0467348944886799,756,0.178310731010915,1
"4","(02/06/2022_50m_PC_7030split) - (03/02/2022_15-30m_PC_7030split)",-0.116666666799994,0.0467348944886793,756,-2.49635027694894,1
"5","(02/06/2022_50m_PC_7030split) - (03/02/2022_15-30m_PC_8020split)",-0.200000000200016,0.0467348944886806,756,-4.27945761701585,0.073702419561919
"6","(02/06/2022_50m_PC_7030split) - (03/02/2022_15-30m_var_7030split)",-0.188888889000016,0.0467348944886811,756,-4.04170996996182,0.203912855464097
"7","(02/06/2022_50m_PC_7030split) - (03/02/2022_15-30m_var_8020split)",-0.258333333499999,0.0467348944886793,756,-5.52763275335041,0.000155851828330291
"8","(02/06/2022_50m_PC_7030split) - (03/02/2022_15m_PC_7030split)",-0.288888889100006,0.0467348944886799,756,-6.1814387784695,3.61992894261462e-06
"9","(02/06/2022_50m_PC_7030split) - (03/02/2022_15m_PC_8020split)",-0.350000000200007,0.0467348944886802,756,-7.48905082656775,6.75347730634011e-10
"10","(02/06/2022_50m_PC_7030split) - (03/02/2022_15m_var_7030split)",-0.311111111100024,0.0467348944886815,756,-6.65693406401871,1.87320143001667e-07
"11","(02/06/2022_50m_PC_7030split) - (03/02/2022_15m_var_8020split)",-0.341666666800016,0.0467348944886806,756,-7.31074009127738,2.36194979977043e-09
"12","(02/06/2022_50m_PC_7030split) - (03/02/2022_30m_PC_7030split)",-0.116666666800009,0.0467348944886802,756,-2.49635027694922,1
"13","(02/06/2022_50m_PC_7030split) - (03/02/2022_30m_PC_8020split)",-0.0833333334000076,0.0467348944886795,756,-1.78310734006671,1
"14","(02/06/2022_50m_PC_7030split) - (03/02/2022_30m_var_7030split)",-0.150000000000002,0.0467348944886796,756,-3.20959320955214,1
"15","(02/06/2022_50m_PC_7030split) - (03/02/2022_30m_var_8020split)",-0.175000000100007,0.04673489448868,756,-3.74452541328396,0.67789293355645
"16","(02/06/2022_50m_PC_7030split) - (03/05/2022_50m_PC_7030split)",-0.105555555700001,0.0467348944886797,756,-2.25860263203481,1
"17","(02/06/2022_50m_PC_7030split) - (03/05/2022_50m_PC_8020split)",-0.0583333335000107,0.0467348944886803,756,-1.24817514061446,1
