"","contrast","estimate","SE","df","t.ratio","p.value"
"1","(05/04/2022_50m_PC_7030split) - (05/04/2022_50m_var_7030split)",-0.0777777775000001,0.043654056536539,144,-1.78168499495343,0.9188910580342
"2","(05/04/2022_50m_PC_7030split) - (05/04/2022_50m_var_8020split)",-0.0638888887999997,0.0436540565365389,144,-1.46352696333098,0.984830759660165
"3","(05/04/2022_50m_PC_7030split) - (09/03/2022_15-30m_var_7030split)",-0.0222222220000001,0.043654056536539,144,-0.509052852428497,0.999999972161696
"4","(05/04/2022_50m_PC_7030split) - (09/03/2022_15-30m_var_8020split)",-0.00138888869999996,0.0436540565365389,144,-0.0318157992679888,1
"5","(05/04/2022_50m_PC_7030split) - (09/03/2022_15m_PC_7030split)",0.0166666668000004,0.0436540565365389,144,0.381789646193595,0.999999999557813
"6","(05/04/2022_50m_PC_7030split) - (09/03/2022_15m_var_7030split)",-0.072222222,0.043654056536539,144,-1.6544217818463,0.954828207268911
"7","(05/04/2022_50m_PC_7030split) - (09/03/2022_30m_PC_7030split)",0.0111111113000003,0.0436540565365391,144,0.254526433086469,0.999999999999033
"8","(05/04/2022_50m_PC_7030split) - (09/03/2022_30m_PC_8020split)",-0.0222222219999997,0.0436540565365389,144,-0.50905285242849,0.999999972161696
"9","(05/04/2022_50m_PC_7030split) - (09/03/2022_30m_var_7030split)",-0.0944444440999996,0.0436540565365389,144,-2.16347463656553,0.720545670293767
"10","(05/04/2022_50m_PC_7030split) - (09/03/2022_30m_var_8020split)",-0.0638888887999997,0.0436540565365389,144,-1.46352696333098,0.984830759660165
"11","(05/04/2022_50m_PC_7030split) - (19/04/2022_50m_var_7030split)",0.00555555580000015,0.043654056536539,144,0.127263219979341,1
"12","(05/04/2022_50m_PC_7030split) - (22/03/2022_50m_PC_7030split)",-0.1111111108,0.0436540565365389,144,-2.54526428046838,0.445208656053661
"13","(05/04/2022_50m_PC_7030split) - (22/03/2022_50m_PC_8020split)",-0.1805555554,0.0436540565365389,144,-4.1360544637787,0.00579847299991154
"14","(05/04/2022_50m_PC_7030split) - (22/03/2022_50m_var_7030split)",-0.1499999996,0.0436540565365389,144,-3.43610677909046,0.0581734570151933
"15","(05/04/2022_50m_PC_7030split) - (22/03/2022_50m_var_8020split)",-0.1805555555,0.0436540565365389,144,-4.13605446606944,0.00579847295146363
"16","(05/04/2022_50m_var_7030split) - (05/04/2022_50m_var_8020split)",0.0138888887000004,0.043654056536539,144,0.318158031622449,0.999999999969338
"17","(05/04/2022_50m_var_7030split) - (09/03/2022_15-30m_var_7030split)",0.0555555555,0.043654056536539,144,1.27263214252493,0.996291095366937
"18","(05/04/2022_50m_var_7030split) - (09/03/2022_15-30m_var_8020split)",0.0763888888000001,0.0436540565365389,144,1.74986919568544,0.929265372031127
"19","(05/04/2022_50m_var_7030split) - (09/03/2022_15m_PC_7030split)",0.0944444443000004,0.043654056536539,144,2.16347464114702,0.720545667211162
"20","(05/04/2022_50m_var_7030split) - (09/03/2022_15m_var_7030split)",0.0055555555000001,0.043654056536539,144,0.127263213107126,1
"21","(05/04/2022_50m_var_7030split) - (09/03/2022_30m_PC_7030split)",0.0888888888000004,0.043654056536539,144,2.03621142803989,0.80073056343544
"22","(05/04/2022_50m_var_7030split) - (09/03/2022_30m_PC_8020split)",0.0555555555000004,0.043654056536539,144,1.27263214252494,0.996291095366937
"23","(05/04/2022_50m_var_7030split) - (09/03/2022_30m_var_7030split)",-0.0166666665999996,0.0436540565365389,144,-0.3817896416121,0.999999999557813
"24","(05/04/2022_50m_var_7030split) - (09/03/2022_30m_var_8020split)",0.0138888887000004,0.0436540565365389,144,0.31815803162245,0.999999999969338
"25","(05/04/2022_50m_var_7030split) - (19/04/2022_50m_var_7030split)",0.0833333333000002,0.043654056536539,144,1.90894821493277,0.867563100393426
"26","(05/04/2022_50m_var_7030split) - (22/03/2022_50m_PC_7030split)",-0.0333333332999997,0.043654056536539,144,-0.76357928551495,0.999992489199221
"27","(05/04/2022_50m_var_7030split) - (22/03/2022_50m_PC_8020split)",-0.1027777779,0.043654056536539,144,-2.35436946882527,0.584477582029237
"28","(05/04/2022_50m_var_7030split) - (22/03/2022_50m_var_7030split)",-0.0722222220999998,0.043654056536539,144,-1.65442178413703,0.954828206750317
"29","(05/04/2022_50m_var_7030split) - (22/03/2022_50m_var_8020split)",-0.102777778,0.043654056536539,144,-2.35436947111601,0.584477580341225
"30","(05/04/2022_50m_var_8020split) - (09/03/2022_15-30m_var_7030split)",0.0416666667999996,0.043654056536539,144,0.95447411090248,0.999867429710986
"31","(05/04/2022_50m_var_8020split) - (09/03/2022_15-30m_var_8020split)",0.0625000000999998,0.0436540565365389,144,1.43171116406299,0.987711073765094
"32","(05/04/2022_50m_var_8020split) - (09/03/2022_15m_PC_7030split)",0.0805555556000001,0.0436540565365389,144,1.84531660952457,0.895210992984276
"33","(05/04/2022_50m_var_8020split) - (09/03/2022_15m_var_7030split)",-0.00833333320000025,0.0436540565365389,144,-0.190894818515323,1
"34","(05/04/2022_50m_var_8020split) - (09/03/2022_30m_PC_7030split)",0.0750000001,0.043654056536539,144,1.71805339641745,0.938691229708443
"35","(05/04/2022_50m_var_8020split) - (09/03/2022_30m_PC_8020split)",0.0416666668,0.0436540565365389,144,0.95447411090249,0.999867429710986
"36","(05/04/2022_50m_var_8020split) - (09/03/2022_30m_var_7030split)",-0.0305555552999999,0.0436540565365389,144,-0.69994767323455,0.999997662746118
"37","(05/04/2022_50m_var_8020split) - (09/03/2022_30m_var_8020split)",2.77555756156289e-17,0.0436540565365389,144,6.35807478564958e-16,1
"38","(05/04/2022_50m_var_8020split) - (19/04/2022_50m_var_7030split)",0.0694444445999999,0.0436540565365389,144,1.59079018331032,0.96762431650358
"39","(05/04/2022_50m_var_8020split) - (22/03/2022_50m_PC_7030split)",-0.047222222,0.0436540565365389,144,-1.0817373171374,0.999399521591382
"40","(05/04/2022_50m_var_8020split) - (22/03/2022_50m_PC_8020split)",-0.1166666666,0.0436540565365389,144,-2.67252750044773,0.358717460473582
"41","(05/04/2022_50m_var_8020split) - (22/03/2022_50m_var_7030split)",-0.0861111108000001,0.0436540565365389,144,-1.97257981575949,0.836002364034868
"42","(05/04/2022_50m_var_8020split) - (22/03/2022_50m_var_8020split)",-0.1166666667,0.0436540565365389,144,-2.67252750273846,0.358717458991404
"43","(09/03/2022_15-30m_var_7030split) - (09/03/2022_15-30m_var_8020split)",0.0208333333000001,0.043654056536539,144,0.477237053160509,0.999999988910494
"44","(09/03/2022_15-30m_var_7030split) - (09/03/2022_15m_PC_7030split)",0.0388888888000004,0.043654056536539,144,0.89084249862209,0.999944232141317
