mtry,date,alt,PC,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
1,09/03/2022,15m,2,0.5,0.625,0.454545455,0.5,0.714285714,0.3,0.777777778,0.000144899,0.712
1,09/03/2022,15m,2,0.333333333,0.125,0.222222222,0.375,0.363636364,0.666666667,0.611111111,0.014433622,0.505882353
1,09/03/2022,15m,2,0.333333333,0.333333333,0.5,0.25,0.2,0.428571429,0.833333333,1.50E-06,0.792307692
1,09/03/2022,15m,2,0.30952381,0.25,0.5,0.125,0.454545455,0.222222222,0.5,0.107602386,0.34939759
1,09/03/2022,15m,2,0.5,0.375,0.666666667,0.375,0.666666667,0.375,0.888888889,3.39E-09,0.861538462
1,09/03/2022,15m,2,0.333333333,0.375,0.222222222,0.1,0.714285714,0.375,0.722222222,0.000113749,0.647058824
1,09/03/2022,15m,2,0.30952381,0.444444444,0.1,0.125,0.714285714,0.25,0.722222222,0.000113749,0.653846154
1,09/03/2022,15m,2,0.214285714,0.25,0.25,0.125,0.428571429,0.090909091,0.555555556,0.01200716,0.448275862
1,14/02/2022,30m,2,0.476190476,0.666666667,0.875,0.555555556,0.272727273,0.125,0.444444444,0.223260162,0.307692308
1,14/02/2022,30m,2,0.571428571,0.636363636,0.857142857,0.75,0.3,0.333333333,0.388888889,0.391489654,0.2265625
1,09/03/2022,30m,2,0.333333333,1,0.3,0,0.5,0.222222222,0.555555556,0.237554085,0.470588235
1,09/03/2022,30m,2,0.30952381,0.5,0.555555556,0,0.285714286,0.222222222,0.666666667,0.000669739,0.584615385
1,09/03/2022,30m,2,0.19047619,0,0.25,0.125,0.375,0.25,0.722222222,8.73E-06,0.651162791
1,09/03/2022,30m,2,0.452380952,0.571428571,0.5,0.142857143,0.454545455,0.571428571,0.555555556,0.01200716,0.458646617
1,09/03/2022,30m,2,0.357142857,0.2,0.555555556,0.166666667,0.5,0.333333333,0.833333333,1.85E-05,0.786561265
1,09/03/2022,30m,2,0.404761905,0.714285714,0.333333333,0.25,0.363636364,0.363636364,0.722222222,0.01624167,0.592760181
1,09/03/2022,30m,2,0.357142857,0.4,0.625,0.166666667,0.2,0.375,0.833333333,1.85E-05,0.778688525
1,09/03/2022,30m,2,0.404761905,0.625,0.5,0.222222222,0.5,0.222222222,0.777777778,8.66E-07,0.720930233
1,09/03/2022,30m,2,0.166666667,0.1,0.5,0,0,0.333333333,0.611111111,0.014433622,0.533333333
1,09/03/2022,30m,2,0.380952381,0.5,0.5,0.1,0.444444444,0.428571429,0.722222222,0.000113749,0.642857143
1,22/03/2022,50m,2,0.285714286,0.166666667,0.222222222,0.125,0.444444444,0.4,1,2.58E-09,1
1,22/03/2022,50m,2,0.214285714,0.125,0.285714286,0.125,0.25,0.272727273,0.888888889,1.05E-07,0.859375
1,22/03/2022,50m,2,0.19047619,0.111111111,0.166666667,0.272727273,0.25,0.125,0.722222222,0.000852596,0.6484375
1,22/03/2022,50m,2,0.166666667,0.125,0.090909091,0.090909091,0.166666667,0.5,0.833333333,1.85E-05,0.774058577
1,22/03/2022,50m,2,0.166666667,0,0.111111111,0.3,0.142857143,0.222222222,0.833333333,1.50E-06,0.787401575
1,22/03/2022,50m,2,0.166666667,0.090909091,0.083333333,0.5,0.333333333,0,0.611111111,0.014433622,0.44
1,02/06/2022,50m,2,0.619047619,0.625,0.333333333,0.625,1,0.6,0,1,-0.231939163
1,02/06/2022,50m,2,0.761904762,0.6,0.777777778,0.833333333,0.9,0.714285714,0.444444444,0.223260162,0.318181818
1,02/06/2022,50m,2,0.619047619,0.375,0.833333333,0.4,0.818181818,0.714285714,0.111111111,0.993233605,-0.07063197
1,02/06/2022,50m,2,0.738095238,0.555555556,0.875,0.636363636,0.875,0.833333333,0.166666667,0.967352145,0.02173913
1,02/06/2022,50m,2,0.69047619,0.5,0.777777778,0.666666667,0.875,0.666666667,0.111111111,0.993233605,-0.095057034
1,02/06/2022,50m,2,0.785714286,0.666666667,0.875,0.7,1,0.8,0.444444444,0.398260124,0.318181818
1,02/06/2022,50m,2,0.857142857,0.8,0.857142857,0.75,0.9,1,0.333333333,0.382487831,0.2
1,02/06/2022,50m,2,0.761904762,0.666666667,1,0.333333333,0.875,1,0.166666667,0.797849766,-0.030534351
1,02/06/2022,50m,2,0.738095238,0.625,0.777777778,0.75,0.714285714,0.8,0.333333333,0.382487831,0.162790698
1,02/06/2022,50m,2,0.761904762,0.625,1,0.666666667,0.9,0.625,0.222222222,0.779975533,0.045454545
1,26/05/2022,15-30-50m,3,0.777777778,0.545454545,0.92,0.655172414,0.814814815,0.956521739,0.166666667,0.961673192,-0.032285472
1,26/05/2022,15-30-50m,3,0.792,0.6,0.884615385,0.708333333,0.851851852,0.913043478,0.254545455,0.426288206,0.073921971
1,26/05/2022,15-30-50m,3,0.793650794,0.555555556,1,0.666666667,0.958333333,0.851851852,0.203703704,0.918001988,0.014012739
1,26/05/2022,15-30-50m,3,0.816,0.72,0.846153846,0.769230769,0.923076923,0.818181818,0.127272727,0.993460923,-0.090458488
1,26/05/2022,15-30-50m,3,0.808,0.68,0.909090909,0.777777778,0.821428571,0.869565217,0.163636364,0.961247195,-0.030549898
1,26/05/2022,15-30-50m,3,0.833333333,0.692307692,0.846153846,0.708333333,0.956521739,0.962962963,0.277777778,0.309157826,0.100768574
1,26/05/2022,15-30-50m,3,0.896,0.826086957,0.88,0.923076923,0.961538462,0.88,0.290909091,0.210731015,0.118009868
1,26/05/2022,15-30-50m,3,0.864,0.72,0.916666667,0.8,0.9,1,0.218181818,0.856250199,0.037835639
1,26/05/2022,15-30-50m,3,0.857142857,0.826086957,0.821428571,0.833333333,0.916666667,0.888888889,0.111111111,0.995034956,-0.102040816
1,03/02/2022,15-30m,3,0.535714286,0.857142857,0.666666667,0.578947368,0.642857143,0.052631579,0.305555556,0.415853741,0.158878505
1,03/02/2022,15-30m,3,0.630952381,0.6,0.789473684,0.764705882,0.647058824,0.3125,0.444444444,0.008579765,0.309683605
1,03/02/2022,15-30m,3,0.571428571,0.666666667,0.75,0.642857143,0.45,0.375,0.361111111,0.174996811,0.208413002
1,03/02/2022,15-30m,3,0.666666667,0.777777778,0.9,0.818181818,0.5,0.333333333,0.361111111,0.562473141,0.218130312
1,03/02/2022,15-30m,3,0.535714286,0.714285714,0.764705882,0.6875,0.588235294,0.05,0.25,0.704577294,0.057225994
1,03/02/2022,15-30m,3,0.583333333,0.705882353,0.857142857,0.5,0.705882353,0.1875,0.5,0.003848078,0.392689784
1,14/02/2022,15-30m,3,0.571428571,0.5,0.684210526,0.6875,0.75,0.153846154,0.555555556,0.001582539,0.435294118
1,14/02/2022,15-30m,3,0.595238095,0.933333333,0.875,0.5,0.5,0.2,0.5,0.001067956,0.379310345
1,14/02/2022,15-30m,3,0.511904762,0.466666667,0.705882353,0.764705882,0.470588235,0.166666667,0.444444444,0.008579765,0.307025987
1,14/02/2022,15-30m,3,0.630952381,0.875,0.761904762,0.625,0.368421053,0.5,0.527777778,0.012499262,0.410972089
1,09/03/2022,15-30m,3,0.333333333,0.444444444,0.5,0.166666667,0.25,0.285714286,0.694444444,2.46E-07,0.612524462
1,09/03/2022,15-30m,3,0.404761905,0.368421053,0.8,0.307692308,0.368421053,0.222222222,0.555555556,0.001582539,0.445086705
1,09/03/2022,15-30m,3,0.392857143,0.6,0.588235294,0.176470588,0.315789474,0.3125,0.638888889,9.47E-07,0.546950629
1,09/03/2022,15-30m,3,0.333333333,0.277777778,0.6,0.176470588,0.263157895,0.4,0.611111111,4.79E-06,0.511627907
1,09/03/2022,15-30m,3,0.345238095,0.333333333,0.625,0.1875,0.466666667,0.157894737,0.694444444,2.62E-08,0.616650532
1,09/03/2022,15-30m,3,0.285714286,0.444444444,0.444444444,0.166666667,0.3125,0.05,0.666666667,4.45E-05,0.579766537
1,09/03/2022,15-30m,3,0.464285714,0.928571429,0.526315789,0.277777778,0.411764706,0.25,0.722222222,3.92E-08,0.652173913
1,09/03/2022,15-30m,3,0.333333333,0.263157895,0.625,0.157894737,0.294117647,0.384615385,0.611111111,0.000145881,0.506849315
1,09/03/2022,15-30m,3,0.392857143,0.315789474,0.6875,0.294117647,0.375,0.3125,0.722222222,2.39E-10,0.650145773
1,09/03/2022,15-30m,3,0.297619048,0.333333333,0.4,0.125,0.388888889,0.25,0.694444444,2.62E-08,0.609467456
1,19/01/2022,15m,3,0.642857143,0.6,0.75,0.777777778,0.875,0.142857143,0.5,0.037600683,0.364705882
1,03/02/2022,15m,3,0.476190476,0.75,1,0.333333333,0.375,0.1,0.555555556,0.01200716,0.446153846
1,03/02/2022,15m,3,0.404761905,0.555555556,0.714285714,0.181818182,0.714285714,0,0.5,0.037600683,0.376923077
1,03/02/2022,15m,3,0.428571429,0.333333333,1,0.444444444,0.5,0.1,0.722222222,0.000852596,0.6484375
1,03/02/2022,15m,3,0.357142857,0.714285714,0.625,0.285714286,0.2,0.1,0.388888889,0.210733886,0.201612903
1,03/02/2022,15m,3,0.523809524,0.75,0.833333333,0.5,0.5,0.125,0.555555556,0.043348066,0.462686567
1,03/02/2022,15m,3,0.452380952,0.5,0.875,0.285714286,0.5,0.111111111,0.5,0.037600683,0.376923077
1,03/02/2022,15m,3,0.5,0.857142857,0.888888889,0.3,0.333333333,0.142857143,0.5,0.037600683,0.381679389
1,03/02/2022,15m,3,0.380952381,0.444444444,0.857142857,0.333333333,0.25,0.111111111,0.444444444,0.097489527,0.315589354
1,03/02/2022,15m,3,0.5,0.555555556,0.875,0.5,0.625,0,0.555555556,0.002146917,0.441860465
1,03/02/2022,15m,3,0.452380952,0.571428571,0.625,0.625,0.4,0.111111111,0.5,0.037600683,0.372093023
1,14/02/2022,15m,3,0.761904762,0.777777778,0.8,0.875,0.666666667,0.666666667,0.611111111,0.014433622,0.498007968
1,14/02/2022,15m,3,0.547619048,1,0.6,0.777777778,0.428571429,0.1,0.5,0.107602386,0.413043478
1,14/02/2022,15m,3,0.523809524,0.857142857,1,0.333333333,0.428571429,0.222222222,0.333333333,0.382487831,0.18490566
1,14/02/2022,15m,3,0.619047619,1,0.666666667,0.857142857,0.555555556,0.2,0.555555556,0.01200716,0.439688716
1,14/02/2022,15m,3,0.380952381,0.375,1,0.428571429,0.3,0.166666667,0.111111111,0.998240087,-0.161290323
1,14/02/2022,15m,3,0.571428571,0.666666667,0.555555556,0.875,0.571428571,0.222222222,0.388888889,0.210733886,0.223529412
1,14/02/2022,15m,3,0.452380952,0.333333333,0.75,0.666666667,0.375,0.181818182,0.222222222,0.898334917,0.019455253
1,14/02/2022,15m,3,0.5,0.5,0.714285714,0.75,0.454545455,0.2,0.333333333,0.587757394,0.175572519
1,14/02/2022,15m,3,0.595238095,0.75,0.833333333,0.875,0.6,0.1,0.277777778,0.768927616,0.071428571
1,14/02/2022,15m,3,0.523809524,1,0.454545455,0.6,0.571428571,0.125,0.444444444,0.223260162,0.320754717
1,09/03/2022,15m,3,0.380952381,1,0.333333333,0.222222222,0.428571429,0.1,0.666666667,0.000669739,0.595505618
1,09/03/2022,15m,3,0.452380952,0.222222222,0.857142857,0.272727273,0.75,0.285714286,0.666666667,0.000669739,0.57480315
1,26/05/2022,15m,3,0.928571429,0.875,0.888888889,0.875,1,1,0.111111111,0.933354633,-0.099236641
1,26/05/2022,15m,3,0.928571429,0.833333333,1,0.9,0.9,1,0.111111111,0.993233605,-0.082706767
1,26/05/2022,15m,3,0.833333333,0.777777778,1,0.625,0.875,0.888888889,0.166666667,0.797849766,-0.02661597
1,26/05/2022,15m,3,0.857142857,0.75,0.9,0.857142857,0.9,0.857142857,0.166666667,0.912667724,0.025270758
1,26/05/2022,15m,3,0.904761905,0.777777778,1,1,0.8,1,0.166666667,0.967352145,-0.007462687
1,26/05/2022,15m,3,0.952380952,1,1,0.818181818,1,1,0.111111111,0.993233605,-0.074626866
1,26/05/2022,15m,3,0.833333333,0.8,1,0.666666667,1,0.714285714,0.055555556,0.997141914,-0.181467181
1,26/05/2022,15m,3,0.857142857,0.625,1,0.777777778,0.888888889,1,0.055555556,0.999323361,-0.100719424
1,26/05/2022,15m,3,0.833333333,0.666666667,1,0.7,0.875,1,0.166666667,0.967352145,0.010989011
1,26/05/2022,15m,3,0.904761905,1,0.777777778,0.9,0.857142857,1,0.166666667,0.912667724,-0.003717472
1,14/02/2022,30m,3,0.642857143,0.857142857,0.875,1,0.75,0,0.333333333,0.382487831,0.159533074
1,14/02/2022,30m,3,0.642857143,1,0.8,1,0.833333333,0,0.222222222,0.898334917,-0.003984064
1,14/02/2022,30m,3,0.571428571,1,0.75,0.416666667,0.5,0.333333333,0.333333333,0.587757394,0.187969925
1,14/02/2022,30m,3,0.714285714,1,0.8,0.8,0.5,0.428571429,0.333333333,0.382487831,0.194029851
1,14/02/2022,30m,3,0.595238095,0.444444444,1,0.777777778,0.5,0.142857143,0.555555556,0.01200716,0.439688716
1,14/02/2022,30m,3,0.547619048,0.571428571,0.875,0.777777778,0.272727273,0.285714286,0.166666667,0.912667724,0
1,14/02/2022,30m,3,0.595238095,0.625,1,1,0.444444444,0.1,0.333333333,0.382487831,0.166023166
1,14/02/2022,30m,3,0.571428571,1,0.7,0.714285714,0.5,0,0.388888889,0.210733886,0.217391304
1,26/05/2022,30m,3,0.904761905,0.636363636,1,1,1,1,0.277777778,0.588592566,0.056451613
1,26/05/2022,30m,3,0.738095238,0.5,0.75,0.7,0.875,0.875,0.166666667,0.797849766,-0.038461538
1,26/05/2022,30m,3,0.857142857,0.75,1,0.888888889,0.75,0.888888889,0.166666667,0.797849766,-0.030534351
1,26/05/2022,30m,3,0.738095238,0.333333333,0.833333333,1,0.75,0.818181818,0.055555556,0.999323361,-0.092857143
1,26/05/2022,30m,3,0.833333333,0.444444444,1,0.777777778,1,1,0.277777778,0.768927616,0.139705882
1,26/05/2022,30m,3,0.857142857,0.666666667,1,0.666666667,1,1,0.111111111,0.993233605,-0.078651685
1,26/05/2022,30m,3,0.904761905,0.777777778,1,0.875,0.857142857,1,0.222222222,0.779975533,0.041825095
1,26/05/2022,30m,3,0.785714286,0.875,0.875,0.7,0.625,0.875,0.222222222,0.59136616,0.045454545
1,26/05/2022,30m,3,0.80952381,0.625,1,1,0.636363636,0.875,0.166666667,0.989484901,0.035714286
1,26/05/2022,30m,3,0.880952381,0.875,1,0.555555556,1,1,0.166666667,0.967352145,0.02173913
1,22/03/2022,50m,3,0.19047619,0.428571429,0.125,0.333333333,0,0.1,0.888888889,1.05E-07,0.858267717
1,22/03/2022,50m,3,0.214285714,0.1,0.571428571,0.111111111,0.285714286,0.111111111,0.777777778,1.51E-05,0.719844358
1,22/03/2022,50m,3,0.166666667,0.142857143,0.142857143,0.111111111,0.090909091,0.375,0.722222222,0.000113749,0.652509653
1,22/03/2022,50m,3,0.19047619,0.090909091,0,0.5,0.25,0.222222222,0.944444444,9.55E-08,0.927125506
1,05/04/2022,50m,3,0.30952381,0,0.222222222,0.222222222,0.714285714,0.5,0.555555556,0.01200716,0.444015444
1,05/04/2022,50m,3,0.404761905,0,0.222222222,0.4,0.75,0.636363636,0.722222222,0.004318064,0.625
1,05/04/2022,50m,3,0.357142857,0,0.125,0.166666667,0.8,0.5,0.777777778,0.000144899,0.702479339
1,05/04/2022,50m,3,0.261904762,0,0,0,0.625,0.75,0.666666667,0.000669739,0.57312253
1,19/04/2022,50m,3,0.30952381,0.1,0.2,0.428571429,0.5,0.428571429,0.555555556,0.01200716,0.419354839
1,19/04/2022,50m,3,0.547619048,0.111111111,0.5,0.428571429,0.888888889,0.777777778,0.722222222,0.000113749,0.653846154
1,19/04/2022,50m,3,0.357142857,0.125,0.222222222,0.375,0.444444444,0.625,0.666666667,6.83E-05,0.584615385
1,19/04/2022,50m,3,0.523809524,0,0.833333333,0.571428571,0.777777778,0.6,0.722222222,0.000852596,0.642857143
1,19/04/2022,50m,3,0.333333333,0.111111111,0.333333333,0.2,0.555555556,0.5,0.444444444,0.223260162,0.340659341
1,19/04/2022,50m,3,0.5,0.111111111,0.571428571,0.285714286,0.727272727,0.75,0.666666667,0.000669739,0.586206897
1,19/04/2022,50m,3,0.476190476,0.125,0.333333333,1,0.857142857,0.272727273,0.611111111,0.003147863,0.529850746
1,19/04/2022,50m,3,0.428571429,0.111111111,0.111111111,0.571428571,0.6,0.857142857,0.555555556,0.01200716,0.466666667
1,19/04/2022,50m,3,0.428571429,0.1,0.5,0.333333333,0.875,0.444444444,0.722222222,0.000852596,0.6484375
1,19/04/2022,50m,3,0.452380952,0.111111111,0.333333333,0.3,0.857142857,0.857142857,0.555555556,0.01200716,0.4375
1,03/05/2022,50m,3,0.523809524,0.222222222,0.666666667,0.75,0.333333333,0.714285714,0.388888889,0.210733886,0.23255814
1,03/05/2022,50m,3,0.642857143,0.75,0.6,0.571428571,0.777777778,0.5,0.444444444,0.097489527,0.325842697
1,03/05/2022,50m,3,0.666666667,0.5,1,0.875,0.272727273,0.875,0.277777778,0.588592566,0.103448276
1,03/05/2022,50m,3,0.714285714,0.428571429,0.875,0.75,0.857142857,0.666666667,0.388888889,0.210733886,0.26119403
1,03/05/2022,50m,3,0.571428571,0.125,0.375,0.8,0.666666667,0.8,0.333333333,0.587757394,0.175572519
1,03/05/2022,50m,3,0.666666667,0.375,0.666666667,0.777777778,0.857142857,0.666666667,0.277777778,0.588592566,0.11026616
1,03/05/2022,50m,3,0.547619048,0.333333333,0.714285714,0.6,0.571428571,0.555555556,0.5,0.037600683,0.362204724
1,03/05/2022,50m,3,0.595238095,0.142857143,1,0.857142857,0.333333333,0.777777778,0.277777778,0.588592566,0.103448276
1,03/05/2022,50m,3,0.666666667,0.444444444,0.666666667,0.777777778,0.5,1,0.333333333,0.382487831,0.181818182
1,03/05/2022,50m,3,0.523809524,0.375,0.727272727,0.5,0.4,0.555555556,0.166666667,0.99711994,-0.003717472
1,26/05/2022,50m,3,0.904761905,0.666666667,0.916666667,0.833333333,1,1,0.111111111,0.993233605,0.01369863
1,26/05/2022,50m,3,0.80952381,0.555555556,0.857142857,0.777777778,0.833333333,1,0.222222222,0.898334917,0.059701493
1,26/05/2022,50m,3,0.761904762,0.333333333,0.857142857,0.7,1,1,0,1,-0.24137931
1,26/05/2022,50m,3,0.714285714,0.428571429,0.9,0.545454545,0.875,0.833333333,0.333333333,0.587757394,0.15625
1,26/05/2022,50m,3,0.80952381,0.555555556,1,0.777777778,0.75,1,0.222222222,0.779975533,0.030769231
1,26/05/2022,50m,3,0.80952381,0.375,0.875,1,0.9,0.9,0.388888889,0.391489654,0.18852459
1,26/05/2022,50m,3,0.738095238,0.444444444,0.75,0.7,0.888888889,1,0,1,-0.218045113
1,26/05/2022,50m,3,0.69047619,0.333333333,1,0.545454545,0.8,1,0.055555556,0.999974585,-0.077464789
1,26/05/2022,50m,3,0.785714286,0.5,0.7,0.8,1,0.9,0.111111111,0.993233605,-0.043478261
1,26/05/2022,50m,3,0.785714286,1,0.454545455,0.777777778,0.9,1,0.222222222,0.98650164,0.073529412
2,26/05/2022,15-30-50m,4,0.768,0.590909091,0.88,0.714285714,0.769230769,0.875,0.236363636,0.671267995,0.045454545
2,19/01/2022,15-30m,4,0.69047619,0.684210526,0.842105263,0.666666667,0.666666667,0.538461538,0.472222222,0.026221022,0.341040462
2,19/01/2022,15-30m,4,0.619047619,0.625,0.8125,0.571428571,0.764705882,0.380952381,0.333333333,0.282139574,0.15625
2,19/01/2022,15-30m,4,0.678571429,0.785714286,0.875,0.65,0.722222222,0.375,0.305555556,0.415853741,0.132947977
2,19/01/2022,15-30m,4,0.714285714,0.692307692,0.75,0.866666667,0.619047619,0.666666667,0.361111111,0.288224629,0.229050279
2,19/01/2022,15-30m,4,0.642857143,0.692307692,0.705882353,0.75,0.764705882,0.294117647,0.388888889,0.181664317,0.242829828
2,19/01/2022,15-30m,4,0.642857143,0.823529412,0.733333333,0.473684211,0.928571429,0.368421053,0.333333333,0.282139574,0.181042654
2,19/01/2022,15-30m,4,0.535714286,0.8,0.578947368,0.571428571,0.470588235,0.166666667,0.361111111,0.422462525,0.2
2,19/01/2022,15-30m,4,0.654761905,0.523809524,0.823529412,0.666666667,0.75,0.533333333,0.361111111,0.092207144,0.197674419
2,19/01/2022,15-30m,4,0.726190476,0.647058824,1,0.8,0.7,0.529411765,0.416666667,0.020913036,0.279313632
2,19/01/2022,15-30m,4,0.678571429,0.928571429,0.684210526,0.666666667,0.647058824,0.5,0.333333333,0.282139574,0.178707224
2,03/02/2022,15-30m,4,0.595238095,0.722222222,0.846153846,0.473684211,0.705882353,0.294117647,0.388888889,0.181664317,0.24643197
2,03/02/2022,15-30m,4,0.595238095,0.882352941,0.777777778,0.666666667,0.5,0.166666667,0.277777778,0.411681527,0.103448276
2,03/02/2022,15-30m,4,0.714285714,0.928571429,0.894736842,0.722222222,0.55,0.461538462,0.361111111,0.288224629,0.206896552
2,03/02/2022,15-30m,4,0.619047619,0.944444444,0.722222222,0.588235294,0.615384615,0.222222222,0.25,0.815946434,0.086466165
2,14/02/2022,15-30m,4,0.392857143,0.4375,0.615384615,0.444444444,0.352941176,0.2,0.444444444,0.054927774,0.313632031
2,14/02/2022,15-30m,4,0.476190476,0.25,0.866666667,0.578947368,0.4375,0.277777778,0.472222222,0.003183958,0.339130435
2,14/02/2022,15-30m,4,0.488095238,0.5,0.764705882,0.444444444,0.461538462,0.277777778,0.472222222,0.026221022,0.342939481
2,14/02/2022,15-30m,4,0.607142857,0.833333333,0.823529412,0.6,0.75,0.157894737,0.527777778,0.012499262,0.40234375
2,14/02/2022,15-30m,4,0.535714286,0.473684211,0.8,0.6875,0.5625,0.222222222,0.388888889,0.046140182,0.239923225
2,14/02/2022,15-30m,4,0.607142857,0.526315789,0.631578947,0.928571429,0.625,0.375,0.638888889,6.76E-06,0.552581262
2,19/01/2022,15m,4,0.547619048,0.444444444,0.833333333,0.4,0.7,0.428571429,0.333333333,0.587757394,0.118367347
2,19/01/2022,15m,4,0.595238095,0.545454545,1,0.5,0.666666667,0.166666667,0.333333333,0.587757394,0.181818182
2,19/01/2022,15m,4,0.571428571,0.714285714,0.7,0.666666667,0.333333333,0.428571429,0.555555556,0.01200716,0.450381679
2,19/01/2022,15m,4,0.5,0.714285714,0.333333333,0.714285714,0.4,0.5,0.555555556,0.043348066,0.428571429
2,19/01/2022,15m,4,0.666666667,0.75,1,0.555555556,0.75,0.4,0.555555556,0.01200716,0.4375
2,19/01/2022,15m,4,0.666666667,0.6,0.5,1,0.9,0.333333333,0.333333333,0.587757394,0.2
2,19/01/2022,15m,4,0.428571429,0.625,0.625,0.375,0.375,0.2,0.388888889,0.083585048,0.2265625
2,19/01/2022,15m,4,0.404761905,1,0.222222222,0.333333333,0.4,0.333333333,0.277777778,0.888860559,0.106870229
2,19/01/2022,15m,4,0.523809524,0.5,0.545454545,0.833333333,0.444444444,0.375,0.388888889,0.391489654,0.220472441
2,19/01/2022,30m,4,0.642857143,0.75,0.666666667,0.75,0.75,0.333333333,0.333333333,0.193147777,0.159533074
2,19/01/2022,30m,4,0.523809524,0.545454545,0.571428571,0.5,0.714285714,0.333333333,0.388888889,0.210733886,0.258426966
2,19/01/2022,30m,4,0.666666667,0.5,0.875,0.625,0.7,0.666666667,0.555555556,0.043348066,0.446153846
2,19/01/2022,30m,4,0.69047619,0.625,1,0.7,0.777777778,0.375,0.5,0.037600683,0.390977444
2,19/01/2022,30m,4,0.738095238,0.75,0.8,0.75,1,0.444444444,0.388888889,0.210733886,0.258426966
2,19/01/2022,30m,4,0.714285714,0.857142857,0.9,0.5,0.75,0.6,0.444444444,0.398260124,0.320754717
2,19/01/2022,30m,4,0.785714286,0.9,0.9,0.875,1,0.25,0.5,0.107602386,0.357142857
2,19/01/2022,30m,4,0.595238095,0.545454545,1,0.857142857,0.666666667,0.272727273,0.222222222,0.98650164,0.076923077
2,19/01/2022,30m,4,0.619047619,0.5,1,0.6,0.454545455,0.75,0.388888889,0.588304705,0.25
2,19/01/2022,30m,4,0.619047619,0.7,1,0.25,1,0.363636364,0.222222222,0.898334917,0.011764706
2,03/02/2022,30m,4,0.714285714,0.888888889,0.888888889,0.6,1,0.25,0.333333333,0.587757394,0.197026022
2,03/02/2022,30m,4,0.619047619,0.625,0.888888889,0.666666667,0.444444444,0.428571429,0.388888889,0.210733886,0.24137931
2,03/02/2022,30m,4,0.666666667,1,0.666666667,0.777777778,0.857142857,0.2,0.277777778,0.588592566,0.103448276
