date,alt,PC,mtry,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
09/03/2022,15m,2,1,0.145833333,0,0.222222222,0.2,0.222222222,0.1,0.416666667,0.157643676,0.243243243
09/03/2022,15m,2,1,0.395833333,0.272727273,0.444444444,0.333333333,0.6,0.333333333,0.916666667,2.21E-06,0.89380531
09/03/2022,15m,2,1,0.291666667,0.2,0.272727273,0.2,0.666666667,0.272727273,0.583333333,0.387207031,0.473684211
09/03/2022,15m,2,1,0.291666667,0.25,0.3,0,0.555555556,0.363636364,0.583333333,0.06644764,0.459459459
09/03/2022,15m,2,1,0.229166667,0.1,0.2,0.222222222,0.4,0.222222222,0.666666667,0.00278151,0.582608696
09/03/2022,15m,2,1,0.354166667,0.25,0.555555556,0.333333333,0.272727273,0.428571429,0.833333333,0.004029535,0.775700935
09/03/2022,15m,2,1,0.229166667,0,0.4,0.111111111,0.571428571,0.181818182,0.583333333,0.189264302,0.47826087
09/03/2022,30m,2,1,0.270833333,0.090909091,0.5,0.090909091,0.5,0.3,0.833333333,0.019287109,0.755102041
09/03/2022,30m,2,1,0.270833333,0.181818182,0.571428571,0,0.444444444,0.272727273,0.583333333,0.189264302,0.504132231
09/03/2022,30m,2,1,0.291666667,0.2,0.375,0.2,0.444444444,0.272727273,0.666666667,0.018758432,0.58974359
09/03/2022,30m,2,1,0.291666667,0.25,0.555555556,0.111111111,0.333333333,0.2,0.833333333,0.000543804,0.777777778
09/03/2022,30m,2,1,0.375,0.363636364,0.5,0,0.625,0.375,0.583333333,0.06644764,0.417475728
09/03/2022,30m,2,1,0.354166667,0.666666667,0.6,0,0.333333333,0.2,0.75,0.000391662,0.686956522
09/03/2022,30m,2,1,0.395833333,0.5,0.454545455,0.25,0.5,0.272727273,0.666666667,0.018758432,0.563636364
09/03/2022,30m,2,1,0.291666667,0.666666667,0.3,0,0.4,0.272727273,0.666666667,0.193847656,0.533980583
09/03/2022,30m,2,1,0.375,0.3,0.333333333,0.2,0.6,0.444444444,0.833333333,3.76E-05,0.789473684
09/03/2022,30m,2,1,0.416666667,0.4,0.666666667,0.142857143,0.454545455,0.363636364,0.916666667,0.0004874,0.885714286
22/03/2022,50m,2,1,0.145833333,0.090909091,0.1,0.090909091,0.222222222,0.285714286,1,2.74E-05,1
22/03/2022,50m,2,1,0.208333333,0.111111111,0.2,0.25,0.3,0.181818182,1,1.88E-06,1
22/03/2022,50m,2,1,0.166666667,0,0.090909091,0.166666667,0.166666667,0.363636364,0.833333333,0.019287109,0.755102041
22/03/2022,50m,2,1,0.1875,0.111111111,0.090909091,0.25,0.2,0.3,0.833333333,0.000543804,0.785714286
22/03/2022,50m,2,1,0.145833333,0.111111111,0.083333333,0.111111111,0.25,0.2,0.916666667,4.70E-05,0.884615385
22/03/2022,50m,2,1,0.166666667,0.090909091,0.222222222,0.111111111,0.111111111,0.3,1,5.96E-08,1
22/03/2022,50m,2,1,0.208333333,0.125,0.222222222,0.1,0.181818182,0.4,0.916666667,4.70E-05,0.891891892
03/05/2022,50m,2,1,0.708333333,0.3,0.75,1,0.545454545,1,0.583333333,0.06644764,0.482758621
02/06/2022,50m,2,1,0.916666667,0.909090909,0.9,0.777777778,1,1,0.5,0.177722456,0.357142857
02/06/2022,50m,2,1,0.708333333,0.363636364,0.666666667,0.75,1,0.8,0.25,0.818877354,0.060869565
02/06/2022,50m,2,1,0.791666667,0.727272727,1,0.666666667,0.888888889,0.666666667,0.25,0.609324992,0.084745763
02/06/2022,50m,2,1,0.75,0.666666667,0.777777778,0.5,1,0.8,0.166666667,0.84161824,-0.025641026
02/06/2022,50m,2,1,0.833333333,0.75,0.8,0.7,1,0.909090909,0.25,0.818877354,0.076923077
02/06/2022,50m,2,1,0.8125,0.8,0.9,0.571428571,1,0.727272727,0.166666667,0.985141386,-0.043478261
02/06/2022,50m,2,1,0.791666667,0.777777778,0.9,0.555555556,1,0.7,0.083333333,0.968323648,-0.128205128
02/06/2022,50m,2,1,0.833333333,0.9,0.888888889,0.4,1,1,0.25,0.609324992,0.068965517
02/06/2022,50m,2,1,0.729166667,0.6,0.8,0.777777778,0.727272727,0.75,0.416666667,0.368479286,0.3
02/06/2022,50m,2,1,0.729166667,0.555555556,0.875,0.444444444,0.833333333,0.9,0.25,0.818877354,0.107438017
26/05/2022,15-30-50m,3,1,0.8125,0.76,0.892857143,0.774193548,0.785714286,0.84375,0.166666667,0.98174354,-0.033492823
26/05/2022,15-30-50m,3,1,0.784722222,0.655172414,0.888888889,0.71875,0.931034483,0.740740741,0.083333333,0.997361947,-0.137931034
26/05/2022,15-30-50m,3,1,0.854166667,0.884615385,0.933333333,0.71875,0.931034483,0.814814815,0.222222222,0.822946169,0.043643264
26/05/2022,15-30-50m,3,1,0.75,0.448275862,0.925925926,0.612903226,0.84375,0.96,0.111111111,0.998513094,-0.092979127
26/05/2022,15-30-50m,3,1,0.798611111,0.533333333,0.964285714,0.703703704,0.9,0.896551724,0.166666667,0.916533452,-0.046511628
26/05/2022,15-30-50m,3,1,0.826388889,0.59375,1,0.703703704,0.933333333,0.928571429,0.194444444,0.831611389,-0.002881844
26/05/2022,15-30-50m,3,1,0.784722222,0.677419355,0.888888889,0.666666667,0.862068966,0.851851852,0.194444444,0.831611389,-0.000958773
26/05/2022,15-30-50m,3,1,0.784722222,0.666666667,0.892857143,0.5625,0.928571429,0.923076923,0.166666667,0.959350651,-0.007462687
26/05/2022,15-30-50m,3,1,0.8125,0.580645161,0.958333333,0.757575758,1,0.84375,0.222222222,0.948638453,0.063197026
26/05/2022,15-30-50m,3,1,0.847222222,0.888888889,0.939393939,0.714285714,0.92,0.774193548,0.277777778,0.700118396,0.094777563
19/01/2022,15-30m,3,1,0.5,0.571428571,0.636363636,0.5625,0.45,0.235294118,0.333333333,0.576195352,0.174193548
03/02/2022,15-30m,3,1,0.572916667,0.80952381,0.888888889,0.578947368,0.5,0.1,0.375,0.121318284,0.219088937
03/02/2022,15-30m,3,1,0.583333333,0.894736842,0.789473684,0.578947368,0.476190476,0.166666667,0.375,0.121318284,0.222462203
03/02/2022,15-30m,3,1,0.520833333,0.5,0.6875,0.888888889,0.391304348,0.210526316,0.458333333,0.140060596,0.320261438
03/02/2022,15-30m,3,1,0.552083333,0.8,0.7,0.65,0.444444444,0.111111111,0.541666667,0.002094047,0.428571429
03/02/2022,15-30m,3,1,0.604166667,0.761904762,0.8,0.611111111,0.578947368,0.222222222,0.458333333,0.021338242,0.314285714
03/02/2022,15-30m,3,1,0.59375,0.8,0.9,0.529411765,0.666666667,0.095238095,0.375,0.245115903,0.229122056
03/02/2022,15-30m,3,1,0.614583333,0.772727273,0.8,0.857142857,0.588235294,0.173913043,0.25,0.972127897,0.046357616
03/02/2022,15-30m,3,1,0.583333333,0.772727273,0.9,0.733333333,0.421052632,0.1,0.541666667,0.071875863,0.414634146
03/02/2022,15-30m,3,1,0.541666667,0.736842105,0.833333333,0.5,0.578947368,0.136363636,0.416666667,0.054664922,0.253333333
03/02/2022,15-30m,3,1,0.604166667,1,0.636363636,0.647058824,0.473684211,0.222222222,0.541666667,0.008934271,0.441860465
14/02/2022,15-30m,3,1,0.520833333,0.4,0.789473684,0.6,0.5,0.294117647,0.458333333,0.06193796,0.320261438
14/02/2022,15-30m,3,1,0.614583333,0.555555556,0.789473684,0.65,0.631578947,0.45,0.458333333,0.021338242,0.320261438
14/02/2022,15-30m,3,1,0.489583333,0.611111111,0.75,0.526315789,0.315789474,0.25,0.458333333,0.021338242,0.324675325
14/02/2022,15-30m,3,1,0.510416667,0.45,0.769230769,0.545454545,0.619047619,0.25,0.333333333,0.925842635,0.216326531
14/02/2022,15-30m,3,1,0.489583333,0.473684211,0.764705882,0.5,0.5,0.25,0.375,0.245115903,0.217391304
14/02/2022,15-30m,3,1,0.552083333,0.578947368,0.631578947,0.75,0.611111111,0.2,0.5,0.00719965,0.379310345
14/02/2022,15-30m,3,1,0.489583333,0.578947368,0.761904762,0.470588235,0.368421053,0.25,0.291666667,0.576594913,0.113043478
09/03/2022,15-30m,3,1,0.28125,0.173913043,0.6875,0.176470588,0.263157895,0.19047619,0.5,0.067658779,0.37527115
09/03/2022,15-30m,3,1,0.375,0.315789474,0.705882353,0.277777778,0.45,0.181818182,0.5,0.025284561,0.36
09/03/2022,15-30m,3,1,0.333333333,0.5,0.45,0.263157895,0.315789474,0.15,0.541666667,0.002094047,0.432258065
