"","Genotype","MeanDecreaseAccuracy","MeanDecreaseGini","date","alt","PC","mtry"
"1","Genotype",-0.00127621986682796,0.277493275317593,"2022-02-14","15m",0,4
"2","Intensity",0.00488142660210671,1.33445602487693,"2022-02-14","15m",0,4
"3","Hue",0.0155931248349548,1.87708883547047,"2022-02-14","15m",0,4
"4","Saturation",-0.00328231027284735,1.15859857977471,"2022-02-14","15m",0,4
"5","Lightness",0.00067607527864965,1.10617735122923,"2022-02-14","15m",0,4
"6","a.",0.00441586906822705,1.34816130712499,"2022-02-14","15m",0,4
"7","b.",-0.00261011995817407,1.07985784284206,"2022-02-14","15m",0,4
"8","u.",0.00579477294422273,1.41284541069712,"2022-02-14","15m",0,4
"9","v.",-0.00403492796008377,0.8895633714017,"2022-02-14","15m",0,4
"10","GA",0.0424013954451273,4.026824990628,"2022-02-14","15m",0,4
"11","GGA",0.0961079454547712,6.53490050281492,"2022-02-14","15m",0,4
"12","CSI",0.0601904073264795,4.43312158687987,"2022-02-14","15m",0,4
"13","NGRDI",0.0139701508473803,1.92205315826287,"2022-02-14","15m",0,4
"14","NGRDIveg",0.103022933409675,6.73285438389429,"2022-02-14","15m",0,4
"15","TGI",0.0128678450146495,1.77826984221856,"2022-02-14","15m",0,4
"16","TGIveg",0.00367056055224146,1.62359186989991,"2022-02-14","15m",0,4
"17","PC1",0.15450068426716,17.7587521558788,"2022-02-14","15m",3,1
"18","PC2",-0.0284445563432695,9.89840432810183,"2022-02-14","15m",3,1
"19","PC3",-0.0354521975811988,9.87396851601958,"2022-02-14","15m",3,1
"20","Genotype",-0.00244763002365337,0.442977011866088,"2022-02-14","30m",0,4
"21","Intensity",0.023367529177423,3.1722683191859,"2022-02-14","30m",0,4
"22","Hue",0.00510737158860493,1.53794441931535,"2022-02-14","30m",0,4
"23","Saturation",0.00292670566275829,1.43803350390511,"2022-02-14","30m",0,4
"24","Lightness",0.0135565451516148,2.63782645909909,"2022-02-14","30m",0,4
"25","a.",0.0023431996664289,1.49606749012478,"2022-02-14","30m",0,4
"26","b.",0.00287171842915314,1.44548384855695,"2022-02-14","30m",0,4
"27","u.",0.00357763906510474,1.3222595660241,"2022-02-14","30m",0,4
"28","v.",0.000105325136380796,1.34672618321746,"2022-02-14","30m",0,4
"29","GA",0.015757965552866,2.11901416126941,"2022-02-14","30m",0,4
"30","GGA",0.0283455384109021,2.72371619705489,"2022-02-14","30m",0,4
"31","CSI",0.0238124851007865,2.92914614719208,"2022-02-14","30m",0,4
"32","NGRDI",0.00275805862554011,1.32518247011739,"2022-02-14","30m",0,4
"33","NGRDIveg",0.0863418629940228,6.68545124986483,"2022-02-14","30m",0,4
"34","TGI",0.0479383114901134,4.98033879071109,"2022-02-14","30m",0,4
"35","TGIveg",0.000995613898410708,1.98116418249539,"2022-02-14","30m",0,4
"36","PC1",0.0878355733265552,13.3229807169707,"2022-02-14","30m",3,1
"37","PC2",0.0798872053119176,13.631842509343,"2022-02-14","30m",3,1
"38","PC3",-0.0224115535550286,10.6256684403545,"2022-02-14","30m",3,1
"39","Genotype",-0.000630530144912296,0.117177761382227,"2022-02-14","15-30m",0,5
"40","Intensity_15m",0.00590078620966984,0.905307337208597,"2022-02-14","15-30m",0,5
"41","Hue_15m",0.0232159070377657,1.69222990926356,"2022-02-14","15-30m",0,5
"42","Saturation_15m",-0.000739038745605511,0.468926447015297,"2022-02-14","15-30m",0,5
"43","Lightness_15m",0.00401105260143454,0.77992769219875,"2022-02-14","15-30m",0,5
"44","a._15m",0.00488219283289211,0.661678186145999,"2022-02-14","15-30m",0,5
"45","b._15m",0.000310761827350197,0.541608666736792,"2022-02-14","15-30m",0,5
"46","u._15m",0.0119718193860999,1.14030784915242,"2022-02-14","15-30m",0,5
"47","v._15m",0.00254461124870702,0.756477732328725,"2022-02-14","15-30m",0,5
"48","GA_15m",0.0363479970023622,2.62411184871025,"2022-02-14","15-30m",0,5
"49","GGA_15m",0.0672966446944943,3.96086929884314,"2022-02-14","15-30m",0,5
"50","CSI_15m",0.0634241095995882,3.75168695127568,"2022-02-14","15-30m",0,5
"51","NGRDI_15m",0.0121620503965083,1.19164465035901,"2022-02-14","15-30m",0,5
"52","NGRDIveg_15m",0.0775914286819581,4.36487288628285,"2022-02-14","15-30m",0,5
"53","TGI_15m",0.0100499434903127,1.02103009878059,"2022-02-14","15-30m",0,5
"54","TGIveg_15m",-0.000467461318426119,0.595538642416567,"2022-02-14","15-30m",0,5
"55","Intensity_30m",0.0133604626837021,1.55014722038663,"2022-02-14","15-30m",0,5
"56","Hue_30m",0.00145831986349452,0.487689825911894,"2022-02-14","15-30m",0,5
"57","Saturation_30m",0.000356077170724162,0.399852644271953,"2022-02-14","15-30m",0,5
"58","Lightness_30m",0.00714091511331134,1.14324420924418,"2022-02-14","15-30m",0,5
"59","a._30m",0.000677135213763966,0.499780863269289,"2022-02-14","15-30m",0,5
"60","b._30m",0.00059971266981026,0.37121959617676,"2022-02-14","15-30m",0,5
"61","u._30m",0.00106604999515822,0.365228081992194,"2022-02-14","15-30m",0,5
"62","v._30m",-0.000929953448385269,0.329134177311026,"2022-02-14","15-30m",0,5
"63","GA_30m",0.00538147552926426,0.696859860593087,"2022-02-14","15-30m",0,5
"64","GGA_30m",0.00935105134616512,0.991074829323167,"2022-02-14","15-30m",0,5
"65","CSI_30m",0.00887808110440734,1.06837221342667,"2022-02-14","15-30m",0,5
"66","NGRDI_30m",0.000962965498217551,0.419805024866627,"2022-02-14","15-30m",0,5
"67","NGRDIveg_30m",0.0359823122221329,2.53510003354309,"2022-02-14","15-30m",0,5
"68","TGI_30m",0.0143541153205464,1.66018064421713,"2022-02-14","15-30m",0,5
"69","TGIveg_30m",-0.000994657362753607,0.47856481736586,"2022-02-14","15-30m",0,5
"70","PC1",0.194018048476529,18.1032390678752,"2022-02-14","15-30m",4,2
"71","PC2",0.0273972254174687,7.88350110346719,"2022-02-14","15-30m",4,2
"72","PC3",-0.00733327665307426,5.3692206384967,"2022-02-14","15-30m",4,2
"73","PC4",-0.019267516219501,6.22213919016052,"2022-02-14","15-30m",4,2
"74","Genotype",-0.00332741791628451,0.356699217822206,"2022-01-19","30m",0,4
"75","Intensity",0.0615466935668243,5.01107490034802,"2022-01-19","30m",0,4
"76","Hue",0.0123719945810012,2.08002729850542,"2022-01-19","30m",0,4
"77","Saturation",0.00287290900672142,1.7204562091319,"2022-01-19","30m",0,4
"78","Lightness",0.0489578425444527,4.45009665078026,"2022-01-19","30m",0,4
"79","a.",0.00356276724251654,1.39323646089879,"2022-01-19","30m",0,4
"80","b.",0.00808542306969889,2.08370690435814,"2022-01-19","30m",0,4
"81","u.",0.00503873009944991,1.46454702283849,"2022-01-19","30m",0,4
"82","v.",0.00603871668963843,1.94886212410015,"2022-01-19","30m",0,4
"83","GA",0.0440024697742844,3.75517177686469,"2022-01-19","30m",0,4
"84","GGA",0.0476117813409951,4.14124723542036,"2022-01-19","30m",0,4
"85","CSI",-0.000240283554109102,1.60592536171553,"2022-01-19","30m",0,4
"86","NGRDI",0.00232509928286816,1.41576696885173,"2022-01-19","30m",0,4
"87","NGRDIveg",0.00882599675720253,1.94997875253585,"2022-01-19","30m",0,4
"88","TGI",0.0208386442941156,2.47605860366333,"2022-01-19","30m",0,4
"89","TGIveg",-0.00222297704815338,1.55719451216507,"2022-01-19","30m",0,4
"90","PC1",0.0576342774924408,8.54410579681619,"2022-01-19","30m",4,2
"91","PC2",0.125027017107799,12.544214467426,"2022-01-19","30m",4,2
"92","PC3",0.0117228633358162,7.43913107712557,"2022-01-19","30m",4,2
"93","PC4",0.0343324853447507,8.88631532529912,"2022-01-19","30m",4,2
"94","Genotype",-0.00224249800165435,0.583249927486833,"2022-01-19","15m",0,4
"95","Intensity",0.012606224145908,2.8307662502933,"2022-01-19","15m",0,4
