"","mtry","date","alt","PC","OOB","X35","X70","X140","X280","X560","Accuracy_test","AccuracyPValue_test","Kappa_test","split"
"1",1,"09/03/2022","15m",2,0.5,0.625,0.454545455,0.5,0.714285714,0.3,0.777777778,0.000144899,0.712,"7030split"
"2",1,"09/03/2022","15m",2,0.333333333,0.125,0.222222222,0.375,0.363636364,0.666666667,0.611111111,0.014433622,0.505882353,"7030split"
"3",1,"09/03/2022","15m",2,0.333333333,0.333333333,0.5,0.25,0.2,0.428571429,0.833333333,1.5e-06,0.792307692,"7030split"
"4",1,"09/03/2022","15m",2,0.30952381,0.25,0.5,0.125,0.454545455,0.222222222,0.5,0.107602386,0.34939759,"7030split"
"5",1,"09/03/2022","15m",2,0.5,0.375,0.666666667,0.375,0.666666667,0.375,0.888888889,3.39e-09,0.861538462,"7030split"
"6",1,"09/03/2022","15m",2,0.333333333,0.375,0.222222222,0.1,0.714285714,0.375,0.722222222,0.000113749,0.647058824,"7030split"
"7",1,"09/03/2022","15m",2,0.30952381,0.444444444,0.1,0.125,0.714285714,0.25,0.722222222,0.000113749,0.653846154,"7030split"
"8",1,"09/03/2022","15m",2,0.214285714,0.25,0.25,0.125,0.428571429,0.090909091,0.555555556,0.01200716,0.448275862,"7030split"
"9",1,"14/02/2022","30m",2,0.476190476,0.666666667,0.875,0.555555556,0.272727273,0.125,0.444444444,0.223260162,0.307692308,"7030split"
"10",1,"14/02/2022","30m",2,0.571428571,0.636363636,0.857142857,0.75,0.3,0.333333333,0.388888889,0.391489654,0.2265625,"7030split"
"11",1,"09/03/2022","30m",2,0.333333333,1,0.3,0,0.5,0.222222222,0.555555556,0.237554085,0.470588235,"7030split"
"12",1,"09/03/2022","30m",2,0.30952381,0.5,0.555555556,0,0.285714286,0.222222222,0.666666667,0.000669739,0.584615385,"7030split"
"13",1,"09/03/2022","30m",2,0.19047619,0,0.25,0.125,0.375,0.25,0.722222222,8.73e-06,0.651162791,"7030split"
"14",1,"09/03/2022","30m",2,0.452380952,0.571428571,0.5,0.142857143,0.454545455,0.571428571,0.555555556,0.01200716,0.458646617,"7030split"
"15",1,"09/03/2022","30m",2,0.357142857,0.2,0.555555556,0.166666667,0.5,0.333333333,0.833333333,1.85e-05,0.786561265,"7030split"
"16",1,"09/03/2022","30m",2,0.404761905,0.714285714,0.333333333,0.25,0.363636364,0.363636364,0.722222222,0.01624167,0.592760181,"7030split"
"17",1,"09/03/2022","30m",2,0.357142857,0.4,0.625,0.166666667,0.2,0.375,0.833333333,1.85e-05,0.778688525,"7030split"
"18",1,"09/03/2022","30m",2,0.404761905,0.625,0.5,0.222222222,0.5,0.222222222,0.777777778,8.66e-07,0.720930233,"7030split"
"19",1,"09/03/2022","30m",2,0.166666667,0.1,0.5,0,0,0.333333333,0.611111111,0.014433622,0.533333333,"7030split"
"20",1,"09/03/2022","30m",2,0.380952381,0.5,0.5,0.1,0.444444444,0.428571429,0.722222222,0.000113749,0.642857143,"7030split"
"21",1,"22/03/2022","50m",2,0.285714286,0.166666667,0.222222222,0.125,0.444444444,0.4,1,2.58e-09,1,"7030split"
"22",1,"22/03/2022","50m",2,0.214285714,0.125,0.285714286,0.125,0.25,0.272727273,0.888888889,1.05e-07,0.859375,"7030split"
"23",1,"22/03/2022","50m",2,0.19047619,0.111111111,0.166666667,0.272727273,0.25,0.125,0.722222222,0.000852596,0.6484375,"7030split"
"24",1,"22/03/2022","50m",2,0.166666667,0.125,0.090909091,0.090909091,0.166666667,0.5,0.833333333,1.85e-05,0.774058577,"7030split"
"25",1,"22/03/2022","50m",2,0.166666667,0,0.111111111,0.3,0.142857143,0.222222222,0.833333333,1.5e-06,0.787401575,"7030split"
"26",1,"22/03/2022","50m",2,0.166666667,0.090909091,0.083333333,0.5,0.333333333,0,0.611111111,0.014433622,0.44,"7030split"
"27",1,"02/06/2022","50m",2,0.619047619,0.625,0.333333333,0.625,1,0.6,0,1,-0.231939163,"7030split"
"28",1,"02/06/2022","50m",2,0.761904762,0.6,0.777777778,0.833333333,0.9,0.714285714,0.444444444,0.223260162,0.318181818,"7030split"
"29",1,"02/06/2022","50m",2,0.619047619,0.375,0.833333333,0.4,0.818181818,0.714285714,0.111111111,0.993233605,-0.07063197,"7030split"
"30",1,"02/06/2022","50m",2,0.738095238,0.555555556,0.875,0.636363636,0.875,0.833333333,0.166666667,0.967352145,0.02173913,"7030split"
"31",1,"02/06/2022","50m",2,0.69047619,0.5,0.777777778,0.666666667,0.875,0.666666667,0.111111111,0.993233605,-0.095057034,"7030split"
"32",1,"02/06/2022","50m",2,0.785714286,0.666666667,0.875,0.7,1,0.8,0.444444444,0.398260124,0.318181818,"7030split"
"33",1,"02/06/2022","50m",2,0.857142857,0.8,0.857142857,0.75,0.9,1,0.333333333,0.382487831,0.2,"7030split"
"34",1,"02/06/2022","50m",2,0.761904762,0.666666667,1,0.333333333,0.875,1,0.166666667,0.797849766,-0.030534351,"7030split"
"35",1,"02/06/2022","50m",2,0.738095238,0.625,0.777777778,0.75,0.714285714,0.8,0.333333333,0.382487831,0.162790698,"7030split"
"36",1,"02/06/2022","50m",2,0.761904762,0.625,1,0.666666667,0.9,0.625,0.222222222,0.779975533,0.045454545,"7030split"
"37",1,"26/05/2022","15-30-50m",3,0.777777778,0.545454545,0.92,0.655172414,0.814814815,0.956521739,0.166666667,0.961673192,-0.032285472,"7030split"
"38",1,"26/05/2022","15-30-50m",3,0.792,0.6,0.884615385,0.708333333,0.851851852,0.913043478,0.254545455,0.426288206,0.073921971,"7030split"
"39",1,"26/05/2022","15-30-50m",3,0.793650794,0.555555556,1,0.666666667,0.958333333,0.851851852,0.203703704,0.918001988,0.014012739,"7030split"
"40",1,"26/05/2022","15-30-50m",3,0.816,0.72,0.846153846,0.769230769,0.923076923,0.818181818,0.127272727,0.993460923,-0.090458488,"7030split"
"41",1,"26/05/2022","15-30-50m",3,0.808,0.68,0.909090909,0.777777778,0.821428571,0.869565217,0.163636364,0.961247195,-0.030549898,"7030split"
"42",1,"26/05/2022","15-30-50m",3,0.833333333,0.692307692,0.846153846,0.708333333,0.956521739,0.962962963,0.277777778,0.309157826,0.100768574,"7030split"
"43",1,"26/05/2022","15-30-50m",3,0.896,0.826086957,0.88,0.923076923,0.961538462,0.88,0.290909091,0.210731015,0.118009868,"7030split"
"44",1,"26/05/2022","15-30-50m",3,0.864,0.72,0.916666667,0.8,0.9,1,0.218181818,0.856250199,0.037835639,"7030split"
"45",1,"26/05/2022","15-30-50m",3,0.857142857,0.826086957,0.821428571,0.833333333,0.916666667,0.888888889,0.111111111,0.995034956,-0.102040816,"7030split"
"46",1,"03/02/2022","15-30m",3,0.535714286,0.857142857,0.666666667,0.578947368,0.642857143,0.052631579,0.305555556,0.415853741,0.158878505,"7030split"
"47",1,"03/02/2022","15-30m",3,0.630952381,0.6,0.789473684,0.764705882,0.647058824,0.3125,0.444444444,0.008579765,0.309683605,"7030split"
"48",1,"03/02/2022","15-30m",3,0.571428571,0.666666667,0.75,0.642857143,0.45,0.375,0.361111111,0.174996811,0.208413002,"7030split"
"49",1,"03/02/2022","15-30m",3,0.666666667,0.777777778,0.9,0.818181818,0.5,0.333333333,0.361111111,0.562473141,0.218130312,"7030split"
"50",1,"03/02/2022","15-30m",3,0.535714286,0.714285714,0.764705882,0.6875,0.588235294,0.05,0.25,0.704577294,0.057225994,"7030split"
"51",1,"03/02/2022","15-30m",3,0.583333333,0.705882353,0.857142857,0.5,0.705882353,0.1875,0.5,0.003848078,0.392689784,"7030split"
"52",1,"14/02/2022","15-30m",3,0.571428571,0.5,0.684210526,0.6875,0.75,0.153846154,0.555555556,0.001582539,0.435294118,"7030split"
"53",1,"14/02/2022","15-30m",3,0.595238095,0.933333333,0.875,0.5,0.5,0.2,0.5,0.001067956,0.379310345,"7030split"
"54",1,"14/02/2022","15-30m",3,0.511904762,0.466666667,0.705882353,0.764705882,0.470588235,0.166666667,0.444444444,0.008579765,0.307025987,"7030split"
"55",1,"14/02/2022","15-30m",3,0.630952381,0.875,0.761904762,0.625,0.368421053,0.5,0.527777778,0.012499262,0.410972089,"7030split"
"56",1,"09/03/2022","15-30m",3,0.333333333,0.444444444,0.5,0.166666667,0.25,0.285714286,0.694444444,2.46e-07,0.612524462,"7030split"
"57",1,"09/03/2022","15-30m",3,0.404761905,0.368421053,0.8,0.307692308,0.368421053,0.222222222,0.555555556,0.001582539,0.445086705,"7030split"
