"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"1",0.05,0.373216783216783,0.216960618193566,0.122100333068952,0.148606370802523,"2022-02-03","15-30m",0
"2",0.05,0.366984015984016,0.209988967764775,0.129404753601668,0.160753965384067,"2022-02-03","15-30m",3
"3",0.05,0.452464285714286,0.313816453012478,0.158786268491929,0.196139902687946,"2022-02-03","30m",0
"4",0.05,0.32822619047619,0.162361800003896,0.168534617060315,0.209826952563689,"2022-02-03","30m",4
"5",0.05,0.554654761904762,0.43743206139609,0.148057705925365,0.185169002451958,"2022-02-03","15m",0
"6",0.05,0.538797619047619,0.420903244192803,0.168091049302138,0.209351053317508,"2022-02-03","15m",3
"7",0.05,0.457607142857143,0.321518506776381,0.187814335261926,0.233924482002533,"2022-05-03","50m",0
"8",0.05,0.300857142857143,0.132164195960717,0.152581776786709,0.184758776219149,"2022-05-03","50m",3
"9",0.05,0.335500666000666,0.170545501628636,0.11882262535409,0.148134910599834,"2022-01-19","15-30m",0
"10",0.05,0.312054945054945,0.140085452245587,0.11799583042997,0.146916503260974,"2022-01-19","15-30m",4
"11",0.05,0.404234126984127,0.251363740440316,0.153697753742982,0.188128642914704,"2022-01-19","30m",0
"12",0.05,0.368357142857143,0.209655007894095,0.196721666854794,0.244700859321436,"2022-01-19","30m",4
"13",0.05,0.312103174603175,0.143688622460337,0.126593596656509,0.149898081187465,"2022-01-19","15m",0
"14",0.05,0.430619047619048,0.289155743435766,0.1957655359835,0.24067924828088,"2022-01-19","15m",4
"15",0.05,0.694773226773227,0.617340512637604,0.126672884679331,0.158404688410936,"2022-03-09","15-30m",0
"16",0.05,0.686140193140193,0.60662472334331,0.131837978278341,0.164726917547144,"2022-03-09","15-30m",3
"17",0.05,0.726642857142857,0.656892308861109,0.165878328465103,0.206148713268767,"2022-03-09","15m",0
"18",0.05,0.726404761904762,0.656632853131946,0.14884606381589,0.184442406046571,"2022-03-09","15m",2
"19",0.05,0.749309523809524,0.683654976876039,0.119212149412251,0.149684830364411,"2022-03-09","30m",0
"20",0.05,0.767801587301587,0.706885692386816,0.166661780431821,0.208838870411648,"2022-03-09","30m",2
"21",0.05,0.282107142857143,0.118501591182485,0.118989699113644,0.144595407540827,"2022-06-02","50m",0
"22",0.05,0.157079365079365,-0.041330066868826,0.124583881007367,0.149232553413389,"2022-06-02","50m",2
"23",0.05,0.770547619047619,0.709869628774507,0.167499262002789,0.212085381493319,"2022-03-22","50m",0
"24",0.05,0.85047619047619,0.811381333319711,0.123486250750905,0.154777209500849,"2022-03-22","50m",2
"25",0.05,0.66475,0.582775441716139,0.127225250756343,0.154967625938025,"2022-04-19","50m",0
"26",0.05,0.519293650793651,0.399632457932095,0.162520499517167,0.200125907103419,"2022-04-19","50m",3
"27",0.05,0.708845238095238,0.6319636748539,0.131012083006226,0.165063441200753,"2022-04-05","50m",0
"28",0.05,0.69525,0.617313068449907,0.140527592584049,0.173810326804881,"2022-04-05","50m",4
"29",0.05,0.230168171654627,0.0396496923847525,0.0855777315776865,0.108579395487186,"2022-05-26","15-30-50m",0
"30",0.05,0.282477382180943,0.102207625364776,0.105140648148849,0.130813982637297,"2022-05-26","15-30-50m",3
"31",0.05,0.324345238095238,0.160544487272281,0.146507922339788,0.178565256503083,"2022-05-26","50m",0
"32",0.05,0.173904761904762,-0.0273039225788018,0.136418734907932,0.173119656756413,"2022-05-26","50m",3
"33",0.05,0.172349206349206,-0.00639291974409942,0.0768370184683269,0.0923032440184753,"2022-05-26","15m",0
"34",0.05,0.188630952380952,-0.00298468923718047,0.126132851061897,0.151978652886421,"2022-05-26","15m",3
"35",0.05,0.22890873015873,0.0450327357331851,0.143212745011745,0.175442304433406,"2022-05-26","30m",0
"36",0.05,0.25927380952381,0.092469902807008,0.123734957264824,0.149092526634573,"2022-05-26","30m",3
"37",0.05,0.53201381951382,0.414889694997688,0.134231961131104,0.165170725508829,"2022-02-14","15-30m",0
"38",0.05,0.44970646020646,0.312310576793988,0.141289043428321,0.174778812047777,"2022-02-14","15-30m",3
"39",0.05,0.686837301587302,0.60611721808652,0.176578767270573,0.217822925693865,"2022-02-14","15m",0
"40",0.05,0.555496031746032,0.442434246400061,0.154871081882336,0.193356320469963,"2022-02-14","15m",3
"41",0.05,0.500142857142857,0.371705731265002,0.139875313815925,0.178072335459889,"2022-02-14","30m",0
"42",0.05,0.393662698412698,0.243372838586627,0.14800545908583,0.185454704851798,"2022-02-14","30m",3
"43",0.05,0.377920412920413,0.221474584209936,0.118752537401882,0.148077046603936,"2022-02-03","15-30m",0
"44",0.05,0.363811854811855,0.204349958337154,0.126360457423948,0.158796902627979,"2022-02-03","15-30m",3
"45",0.05,0.447452380952381,0.309985057259151,0.179820628195833,0.218136211775679,"2022-02-03","30m",0
"46",0.05,0.319845238095238,0.150227379402428,0.16664030017169,0.20872791550227,"2022-02-03","30m",4
"47",0.05,0.562309523809524,0.450093261260995,0.169315616885595,0.211980387161843,"2022-02-03","15m",0
"48",0.05,0.512,0.389581887873458,0.181698189005949,0.224638159317196,"2022-02-03","15m",3
"49",0.05,0.476678571428571,0.349420513128705,0.169855353271739,0.205102891189264,"2022-05-03","50m",0
"50",0.05,0.271154761904762,0.0907157640031681,0.119324936138979,0.14835091537593,"2022-05-03","50m",3
"51",0.05,0.307507326007326,0.134967701833331,0.125074923191945,0.15171778795449,"2022-01-19","15-30m",0
"52",0.05,0.332048618048618,0.166994977860428,0.124463873362048,0.153625320968525,"2022-01-19","15-30m",4
"53",0.05,0.394349206349206,0.239315440714711,0.166784852772298,0.205572534323385,"2022-01-19","30m",0
"54",0.05,0.363769841269841,0.206917610068371,0.17080573479546,0.211707552566673,"2022-01-19","30m",4
