mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.368744755,0.209547779,0.125218401,0.158318934,NA,NA,NA,0,03/02/2022,15-30m,10,10
0.05,0.360772228,0.200750319,0.121911561,0.152161959,NA,NA,NA,3,03/02/2022,15-30m,10,10
0.05,0.480535714,0.345390006,0.163309518,0.199981317,NA,NA,NA,0,03/02/2022,30m,10,10
0.05,0.341527778,0.176092414,0.152865008,0.188033829,NA,NA,NA,4,03/02/2022,30m,10,10
0.05,0.539571429,0.4224006,0.16596017,0.205895679,NA,NA,NA,0,03/02/2022,15m,10,10
0.05,0.51577381,0.393416207,0.159374538,0.199538052,NA,NA,NA,3,03/02/2022,15m,10,10
0.05,0.461154762,0.331599823,0.160189062,0.194844512,NA,NA,NA,0,03/05/2022,50m,10,10
0.05,0.285511905,0.110655683,0.114567586,0.139224274,NA,NA,NA,3,03/05/2022,50m,10,10
0.05,0.334761738,0.16688114,0.106144991,0.132812779,NA,NA,NA,0,19/01/2022,15-30m,10,10
0.05,0.307867466,0.134424272,0.118961112,0.148471179,NA,NA,NA,4,19/01/2022,15-30m,10,10
0.05,0.366218254,0.208228446,0.163681753,0.19837473,NA,NA,NA,0,19/01/2022,30m,10,10
0.05,0.381833333,0.223973179,0.160190131,0.200976099,NA,NA,NA,4,19/01/2022,30m,10,10
0.05,0.319095238,0.148652049,0.123338371,0.151173544,NA,NA,NA,0,19/01/2022,15m,10,10
0.05,0.430428571,0.28656935,0.184017352,0.228444718,NA,NA,NA,4,19/01/2022,15m,10,10
0.05,0.711618715,0.639273702,0.101780438,0.126071216,NA,NA,NA,0,09/03/2022,15-30m,10,10
0.05,0.673077256,0.589246079,0.113238144,0.142144071,NA,NA,NA,3,09/03/2022,15-30m,10,10
0.05,0.710392857,0.634645629,0.157404898,0.196323624,NA,NA,NA,0,09/03/2022,15m,10,10
0.05,0.74109127,0.672136366,0.153106398,0.193988239,NA,NA,NA,2,09/03/2022,15m,10,10
0.05,0.741730159,0.672985795,0.158988734,0.19930969,NA,NA,NA,0,09/03/2022,30m,10,10
0.05,0.767793651,0.707696407,0.171415105,0.21357098,NA,NA,NA,2,09/03/2022,30m,10,10
0.05,0.285884921,0.117467379,0.106407121,0.126823132,NA,NA,NA,0,02/06/2022,50m,10,10
0.05,0.139011905,-0.059741814,0.120679158,0.146450947,NA,NA,NA,2,02/06/2022,50m,10,10
0.05,0.783190476,0.727269992,0.156149135,0.192473352,NA,NA,NA,0,22/03/2022,50m,10,10
0.05,0.846686508,0.805389442,0.120775189,0.152698037,NA,NA,NA,2,22/03/2022,50m,10,10
0.05,0.665440476,0.581492067,0.128823535,0.158357711,NA,NA,NA,0,19/04/2022,50m,10,10
0.05,0.507654762,0.389475396,0.176378004,0.21832178,NA,NA,NA,3,19/04/2022,50m,10,10
0.05,0.732507937,0.662353938,0.115934507,0.143488076,NA,NA,NA,0,05/04/2022,50m,10,10
0.05,0.693380952,0.613374698,0.154311451,0.192105412,NA,NA,NA,4,05/04/2022,50m,10,10
0.05,0.221526144,0.027458536,0.091963529,0.114538661,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
0.05,0.278303191,0.098535783,0.10235503,0.127244216,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
0.05,0.321083333,0.15440337,0.164200672,0.194239089,NA,NA,NA,0,26/05/2022,50m,10,10
0.05,0.188464286,-0.000780354,0.136156665,0.167684833,NA,NA,NA,3,26/05/2022,50m,10,10
0.05,0.184301587,0.004844184,0.097777612,0.118648815,NA,NA,NA,0,26/05/2022,15m,10,10
0.05,0.200666667,0.0074899,0.130411046,0.160902347,NA,NA,NA,3,26/05/2022,15m,10,10
0.05,0.245869048,0.06219417,0.164245927,0.200264031,NA,NA,NA,0,26/05/2022,30m,10,10
0.05,0.264059524,0.094245842,0.117350175,0.143703734,NA,NA,NA,3,26/05/2022,30m,10,10
0.05,0.533146853,0.41644589,0.136790016,0.16904135,NA,NA,NA,0,14/02/2022,15-30m,10,10
0.05,0.444948884,0.305596331,0.114540454,0.142867929,NA,NA,NA,3,14/02/2022,15-30m,10,10
0.05,0.702380952,0.625178923,0.161975217,0.202220111,NA,NA,NA,0,14/02/2022,15m,10,10
0.05,0.553178571,0.436437023,0.145340573,0.179425306,NA,NA,NA,3,14/02/2022,15m,10,10
0.05,0.501321429,0.372723847,0.174399059,0.219028068,NA,NA,NA,0,14/02/2022,30m,10,10
0.05,0.384095238,0.231658005,0.17408954,0.209932789,NA,NA,NA,3,14/02/2022,30m,10,10
0.05,0.376861472,0.221688914,0.133686413,0.164545839,NA,NA,NA,0,03/02/2022,15-30m,10,10
0.05,0.361417416,0.203380784,0.123306992,0.15189529,NA,NA,NA,3,03/02/2022,15-30m,10,10
0.05,0.482388889,0.354609455,0.141862494,0.172448631,NA,NA,NA,0,03/02/2022,30m,10,10
0.05,0.32440873,0.152147777,0.170037439,0.207004846,NA,NA,NA,4,03/02/2022,30m,10,10
0.05,0.541333333,0.423844603,0.164078813,0.204649295,NA,NA,NA,0,03/02/2022,15m,10,10
0.05,0.534301587,0.415535835,0.141862063,0.175084369,NA,NA,NA,3,03/02/2022,15m,10,10
0.05,0.472119048,0.340483584,0.175981554,0.216973173,NA,NA,NA,0,03/05/2022,50m,10,10
0.05,0.280980159,0.104277519,0.135753698,0.162625254,NA,NA,NA,3,03/05/2022,50m,10,10
