mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.316386364,0.13739614,0.122050219,0.155808479,0.5,0.146172159,0.376623377,0,03/02/2022,15-30m,10,10
0.05,0.301174242,0.125542244,0.145242737,0.180334258,0.625,0.011328464,0.525274725,3,03/02/2022,15-30m,10,10
0.05,0.451904762,0.318133194,0.185402607,0.220462212,0.333333333,0.808403993,0.142857143,0,03/02/2022,30m,10,10
0.05,0.341666667,0.184241264,0.166321191,0.187502021,0.583333333,0.189264302,0.35483871,4,03/02/2022,30m,10,10
0.05,0.4425,0.305059565,0.168464629,0.202588877,0.75,0.020559498,0.666666667,0,03/02/2022,15m,10,10
0.05,0.390190476,0.226561776,0.141425114,0.176090778,0.583333333,0.189264302,0.411764706,3,03/02/2022,15m,10,10
0.05,0.495,0.356506231,0.166860157,0.214100158,0.5,0.177722456,0.409836066,0,03/05/2022,50m,10,10
0.05,0.388166667,0.226468736,0.208682132,0.261495848,0.5,0.177722456,0.389830508,3,03/05/2022,50m,10,10
0.05,0.287959596,0.108524908,0.121944992,0.151969426,0.291666667,0.73681787,0.139240506,0,19/01/2022,15-30m,10,10
0.05,0.292969697,0.112428144,0.146102129,0.18462229,0.375,0.405533926,0.232409382,4,19/01/2022,15-30m,10,10
0.05,0.398,0.247176349,0.206465091,0.256227463,0.5,0.177722456,0.368421053,0,19/01/2022,30m,10,10
0.05,0.348166667,0.183529995,0.167420769,0.203584564,0.25,0.818877354,0.084745763,4,19/01/2022,30m,10,10
0.05,0.258857143,0.060353157,0.119474981,0.147003506,0.333333333,0.927001953,0.135135135,0,19/01/2022,15m,10,10
0.05,0.386309524,0.210511988,0.212483031,0.280766834,0.666666667,0.193847656,0.515151515,4,19/01/2022,15m,10,10
0.05,0.675426768,0.591302756,0.118492785,0.149449849,0.708333333,3.08E-06,0.627494457,0,09/03/2022,15-30m,10,10
0.05,0.710065657,0.635331879,0.113835868,0.143235948,0.541666667,0.002094047,0.429805616,3,09/03/2022,15-30m,10,10
0.05,0.616,0.504944571,0.158289822,0.200833916,0.583333333,0.06644764,0.454545455,0,09/03/2022,15m,10,10
0.05,0.630166667,0.530941964,0.16564832,0.198659083,0.583333333,0.06644764,0.428571429,2,09/03/2022,15m,10,10
0.05,0.686166667,0.600349422,0.152422544,0.190839382,0.75,0.003855555,0.657142857,0,09/03/2022,30m,10,10
0.05,0.693,0.613012141,0.167375261,0.208894055,0.583333333,0.06644764,0.487179487,2,09/03/2022,30m,10,10
0.05,0.306,0.119181492,0.17119308,0.204426947,0.166666667,0.946048574,0,0,02/06/2022,50m,10,10
0.05,0.188833333,-0.030021727,0.149879394,0.185727336,0,1,-0.210084034,2,02/06/2022,50m,10,10
0.05,0.660309524,0.564376602,0.183100667,0.225302054,0.833333333,0.004029535,0.76,0,22/03/2022,50m,10,10
0.05,0.714571429,0.624942426,0.136231759,0.178674831,0.75,0.020559498,0.650485437,3,22/03/2022,50m,10,10
0.05,0.6675,0.575403291,0.162996199,0.204895215,0.666666667,0.018758432,0.58974359,0,19/04/2022,50m,10,10
0.05,0.427833333,0.27659438,0.18920139,0.230639324,0.416666667,0.368479286,0.256637168,3,19/04/2022,50m,10,10
0.05,0.814166667,0.766668035,0.133824327,0.167628394,0.583333333,0.189264302,0.504132231,0,05/04/2022,50m,10,10
0.05,0.796833333,0.743293651,0.131184173,0.164921244,0.5,0.379768823,0.404958678,4,05/04/2022,50m,10,10
0.05,0.254412088,0.06659998,0.089082219,0.10791338,0.166666667,0.916533452,-0.03946102,0,26/05/2022,15-30-50m,10,10
0.05,0.257735806,0.069991562,0.114108643,0.142298005,0.166666667,0.916533452,-0.020793951,3,26/05/2022,15-30-50m,10,10
0.05,0.32,0.131367863,0.14185717,0.184985625,0.083333333,0.992292653,0,0,26/05/2022,50m,10,10
0.05,0.302095238,0.115872102,0.14815852,0.186985883,0.166666667,0.946048574,-0.052631579,3,26/05/2022,50m,10,10
0.05,0.182833333,-0.042093795,0.109929449,0.117980267,0.083333333,0.992292653,0,0,26/05/2022,15m,10,10
0.05,0.24,0.055039156,0.13889899,0.165436051,0.25,0.818877354,0.068965517,3,26/05/2022,15m,10,10
0.05,0.244333333,0.048481382,0.128166296,0.157836726,0.25,0.818877354,0.1,0,26/05/2022,30m,10,10
0.05,0.277190476,0.072303048,0.171179934,0.20757967,0.083333333,0.992292653,-0.007633588,3,26/05/2022,30m,10,10
0.05,0.501316017,0.372027461,0.148930425,0.188575125,0.583333333,0.000523093,0.475982533,0,14/02/2022,15-30m,10,10
0.05,0.508925685,0.382875885,0.145820667,0.182385828,0.375,0.121318284,0.23566879,3,14/02/2022,15-30m,10,10
0.05,0.684666667,0.603609121,0.145174534,0.178504681,0.583333333,0.06644764,0.504132231,0,14/02/2022,15m,10,10
0.05,0.649714286,0.552680289,0.192429642,0.241687178,0.333333333,0.606925322,0.261538462,3,14/02/2022,15m,10,10
0.05,0.571952381,0.452292681,0.179228574,0.228538972,0.333333333,0.606925322,0.135135135,0,14/02/2022,30m,10,10
0.05,0.421119048,0.264014976,0.183305582,0.227246739,0.25,0.818877354,0.052631579,3,14/02/2022,30m,10,10
0.05,0.35725,0.192969468,0.133379632,0.164220566,0.458333333,0.06193796,0.330472103,0,03/02/2022,15-30m,10,10
0.05,0.348330808,0.18246655,0.124971951,0.153126007,0.375,0.245115903,0.240506329,3,03/02/2022,15-30m,10,10
0.05,0.475,0.341675824,0.173277963,0.21532512,0.5,0.054402232,0.362831858,0,03/02/2022,30m,10,10
0.05,0.33,0.170032967,0.16802477,0.204046503,0.25,0.609324992,0.018181818,4,03/02/2022,30m,10,10
0.05,0.513666667,0.387994505,0.14746987,0.184903442,0.416666667,0.157643676,0.236363636,0,03/02/2022,15m,10,10
0.05,0.494833333,0.36204357,0.188482852,0.235163625,0.25,0.609324992,0.060869565,3,03/02/2022,15m,10,10
0.05,0.5095,0.370564153,0.175276315,0.21520867,0.333333333,0.808403993,0.20661157,0,03/05/2022,50m,10,10
0.05,0.411833333,0.255822542,0.20119306,0.246181911,0.166666667,0.985141386,0.008264463,3,03/05/2022,50m,10,10
0.05,0.316583333,0.143048919,0.122685871,0.152487309,0.458333333,0.021338242,0.337579618,0,19/01/2022,15-30m,10,10
0.05,0.261583333,0.075272384,0.127989294,0.160085773,0.416666667,0.054664922,0.263157895,4,19/01/2022,15-30m,10,10
0.05,0.434,0.278147878,0.219105927,0.273022397,0.25,0.932866946,0.187969925,0,19/01/2022,30m,10,10
0.05,0.411,0.246446722,0.231440373,0.289301625,0.166666667,0.985141386,0.090909091,4,19/01/2022,30m,10,10
0.05,0.345333333,0.175564944,0.144872714,0.177100035,0.333333333,0.606925322,0.20661157,0,19/01/2022,15m,10,10
0.05,0.326833333,0.15917895,0.194002311,0.242184705,0.25,0.818877354,0.092436975,4,19/01/2022,15m,10,10
0.05,0.61876912,0.520363402,0.140548272,0.177519977,0.875,4.41E-09,0.838202247,0,09/03/2022,15-30m,10,10
0.05,0.651732323,0.561123376,0.134298204,0.170802929,0.708333333,2.93E-05,0.633986928,3,09/03/2022,15-30m,10,10
0.05,0.6425,0.545571943,0.178067551,0.224815122,0.583333333,0.06644764,0.464285714,0,09/03/2022,15m,10,10
0.05,0.648,0.550515326,0.134700066,0.168760949,0.583333333,0.06644764,0.487179487,2,09/03/2022,15m,10,10
0.05,0.657833333,0.569917582,0.148966793,0.185148768,0.5,0.054402232,0.379310345,0,09/03/2022,30m,10,10
0.05,0.598333333,0.488815096,0.127359879,0.159823714,0.833333333,3.76E-05,0.781818182,2,09/03/2022,30m,10,10
0.05,0.244666667,0.054477106,0.137352717,0.163499433,0.25,0.932866946,0.142857143,0,02/06/2022,50m,10,10
0.05,0.2875,0.106221856,0.155976613,0.185395795,0.083333333,0.998447608,-0.039370079,2,02/06/2022,50m,10,10
0.05,0.797333333,0.741299149,0.14177249,0.179526174,0.5,0.612792969,0.419354839,0,22/03/2022,50m,10,10
0.05,0.841666667,0.800006842,0.127095235,0.160062721,0.5,0.612792969,0.409836066,2,22/03/2022,50m,10,10
0.05,0.7095,0.630513441,0.121445073,0.155772423,0.666666667,0.018758432,0.551401869,0,19/04/2022,50m,10,10
0.05,0.498333333,0.36105385,0.176629816,0.226747775,0.5,0.177722456,0.351351351,3,19/04/2022,50m,10,10
0.05,0.764333333,0.700768704,0.123091947,0.15494626,0.666666667,0.018758432,0.563636364,0,05/04/2022,50m,10,10
0.05,0.705,0.626542777,0.11426091,0.145508684,0.583333333,0.06644764,0.428571429,4,05/04/2022,50m,10,10
0.05,0.232968407,0.048512169,0.090589114,0.111796557,0.277777778,0.266120047,0.087719298,0,26/05/2022,15-30-50m,10,10
0.05,0.267583791,0.084954436,0.100082714,0.125056978,0.222222222,0.564888654,0.04,3,26/05/2022,15-30-50m,10,10
0.05,0.384,0.211564729,0.169354091,0.2162677,0.083333333,0.992292653,0.029411765,0,26/05/2022,50m,10,10
0.05,0.201166667,-0.017454514,0.15414685,0.191929021,0.083333333,0.992292653,0.057142857,3,26/05/2022,50m,10,10
0.05,0.220833333,0.017888597,0.135904812,0.162060443,0.166666667,0.985141386,0.016393443,0,26/05/2022,15m,10,10
0.05,0.231261905,0.040903945,0.136668357,0.15499308,0.333333333,0.808403993,0.111111111,3,26/05/2022,15m,10,10
0.05,0.217,0.011038156,0.152880682,0.189442511,0.166666667,0.946048574,0.008264463,0,26/05/2022,30m,10,10
0.05,0.201666667,-0.00664151,0.1282162,0.16640081,0.333333333,0.606925322,0.186440678,3,26/05/2022,30m,10,10
0.05,0.470825758,0.336487669,0.128522208,0.161381829,0.5,0.025284561,0.384615385,0,14/02/2022,15-30m,10,10
0.05,0.486123737,0.352940763,0.166010267,0.210596513,0.5,0.025284561,0.381974249,4,14/02/2022,15-30m,10,10
0.05,0.608333333,0.505586081,0.163428132,0.210408504,0.416666667,0.157643676,0.275862069,0,14/02/2022,15m,10,10
0.05,0.531666667,0.411364469,0.170930312,0.212283828,0.5,0.054402232,0.389830508,3,14/02/2022,15m,10,10
0.05,0.51,0.388913919,0.145142061,0.177650008,0.5,0.054402232,0.384615385,0,14/02/2022,30m,10,10
0.05,0.365666667,0.205425824,0.17154183,0.20760254,0.25,0.609324992,0.076923077,3,14/02/2022,30m,10,10
0.05,0.36686039,0.207084086,0.142923215,0.178979417,0.375,0.121318284,0.220779221,0,03/02/2022,15-30m,10,10
0.05,0.345576479,0.178500436,0.133213988,0.164971438,0.25,0.577844798,0.062906725,4,03/02/2022,15-30m,10,10
0.05,0.479833333,0.332447174,0.181901279,0.240198149,0.583333333,0.06644764,0.491525424,0,03/02/2022,30m,10,10
0.05,0.545166667,0.412993572,0.229713321,0.304055323,0.25,0.818877354,0.15625,4,03/02/2022,30m,10,10
0.05,0.539833333,0.416910224,0.133057269,0.165813291,0.333333333,0.606925322,0.179487179,0,03/02/2022,15m,10,10
0.05,0.495833333,0.364773841,0.193139561,0.240071212,0.583333333,0.06644764,0.473684211,3,03/02/2022,15m,10,10
0.05,0.4735,0.329505509,0.148337116,0.18051065,0.583333333,0.06644764,0.464285714,0,03/05/2022,50m,10,10
0.05,0.410452381,0.269369151,0.212585283,0.251917175,0.583333333,0.06644764,0.459459459,3,03/05/2022,50m,10,10
0.05,0.269888889,0.087199456,0.121157566,0.147923434,0.416666667,0.054664922,0.280513919,0,19/01/2022,15-30m,10,10
0.05,0.246472222,0.058731758,0.121175664,0.149644103,0.208333333,0.753351559,0.012987013,4,19/01/2022,15-30m,10,10
0.05,0.40852381,0.258982138,0.176579456,0.218535118,0.5,0.379768823,0.357142857,0,19/01/2022,30m,10,10
0.05,0.340833333,0.168167892,0.18117609,0.220951946,0.416666667,0.608374247,0.282051282,4,19/01/2022,30m,10,10
0.05,0.357333333,0.189890158,0.158880765,0.198357661,0.25,0.609324992,0.107438017,0,19/01/2022,15m,10,10
0.05,0.402833333,0.245409215,0.191148913,0.239405368,0.083333333,0.968323648,-0.1,4,19/01/2022,15m,10,10
0.05,0.694835859,0.614211779,0.142178716,0.179345722,0.625,0.003229781,0.532467532,0,09/03/2022,15-30m,10,10
0.05,0.673235209,0.587609126,0.1367415,0.172177904,0.625,0.003229781,0.529411765,3,09/03/2022,15-30m,10,10
0.05,0.666809524,0.581479341,0.21706229,0.269513958,0.583333333,0.06644764,0.433962264,0,09/03/2022,15m,10,10
0.05,0.668214286,0.578337145,0.144975624,0.181867027,0.75,0.003855555,0.657142857,2,09/03/2022,15m,10,10
0.05,0.595357143,0.486542456,0.148705591,0.17930516,0.916666667,0.0004874,0.884615385,0,09/03/2022,30m,10,10
0.05,0.603880952,0.489362959,0.13924718,0.173350376,0.833333333,0.004029535,0.777777778,2,09/03/2022,30m,10,10
0.05,0.3405,0.177907509,0.119746623,0.136071137,0.333333333,0.351221383,0.150442478,0,02/06/2022,50m,10,10
0.05,0.2615,0.075215562,0.161218964,0.183255671,0.083333333,0.968323648,-0.073170732,2,02/06/2022,50m,10,10
0.05,0.697333333,0.617576164,0.202989995,0.253427792,0.75,0.020559498,0.653846154,0,22/03/2022,50m,10,10
0.05,0.708809524,0.630213235,0.118027132,0.14486753,0.666666667,0.072628882,0.563636364,2,22/03/2022,50m,10,10
0.05,0.613,0.514267399,0.157893328,0.199836553,0.666666667,0.00278151,0.586206897,0,19/04/2022,50m,10,10
0.05,0.593666667,0.489899267,0.18175445,0.228343605,0.333333333,0.351221383,0.142857143,3,19/04/2022,50m,10,10
0.05,0.673309524,0.58259583,0.13090462,0.170129173,0.75,0.003855555,0.684210526,0,05/04/2022,50m,10,10
0.05,0.664452381,0.570770739,0.150863223,0.19354721,0.75,0.003855555,0.684210526,4,05/04/2022,50m,10,10
0.05,0.253076923,0.059586858,0.099817946,0.123786923,0.305555556,0.562514688,0.146110057,0,26/05/2022,15-30-50m,10,10
0.05,0.232171703,0.036209977,0.095976831,0.121433087,0.25,0.815946434,0.071633238,3,26/05/2022,15-30-50m,10,10
0.05,0.209666667,0.002818787,0.153214344,0.184550381,0.166666667,0.84161824,-0.052631579,0,26/05/2022,50m,10,10
0.05,0.1975,-0.019706343,0.144218452,0.18254807,0.166666667,0.84161824,0.090909091,3,26/05/2022,50m,10,10
0.05,0.1945,-0.02051013,0.079739158,0.08386815,0.083333333,0.992292653,0,0,26/05/2022,15m,10,10
0.05,0.236,0.041346154,0.147913282,0.177588121,0.166666667,0.946048574,0.032258065,3,26/05/2022,15m,10,10
0.05,0.236666667,0.020755617,0.151516835,0.194069351,0.166666667,0.946048574,-0.016949153,0,26/05/2022,30m,10,10
0.05,0.171,-0.016206314,0.13977736,0.172178459,0.333333333,0.606925322,0.2,3,26/05/2022,30m,10,10
0.05,0.489871212,0.360939469,0.140824908,0.174751412,0.5,0.146172159,0.328671329,0,14/02/2022,15-30m,10,10
0.05,0.412318182,0.265620367,0.127976792,0.15815695,0.541666667,0.071875863,0.390300231,3,14/02/2022,15-30m,10,10
0.05,0.6845,0.604935897,0.116275318,0.145589245,0.583333333,0.06644764,0.444444444,0,14/02/2022,15m,10,10
0.05,0.49,0.359935897,0.184773954,0.228505137,0.416666667,0.368479286,0.236363636,3,14/02/2022,15m,10,10
0.05,0.454833333,0.308235474,0.16166389,0.203242037,0.5,0.177722456,0.357142857,0,14/02/2022,30m,10,10
0.05,0.3685,0.207609242,0.176302194,0.224535801,0.5,0.177722456,0.307692308,3,14/02/2022,30m,10,10
0.05,0.406333333,0.252494211,0.147019629,0.184138758,0.416666667,0.13187863,0.289640592,0,03/02/2022,15-30m,10,10
0.05,0.427027778,0.282619002,0.142543858,0.17764809,0.375,0.245115903,0.225806452,3,03/02/2022,15-30m,10,10
0.05,0.531,0.406060764,0.192319121,0.236603806,0.333333333,0.606925322,0.157894737,0,03/02/2022,30m,10,10
