"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"1",0.05,0.699746031746032,0.623379899291439,0.16668260877968,0.206545746258166,"2022-02-14","15m",0,10,10
"2",0.05,0.552452380952381,0.440733937868982,0.15043987322108,0.182699812968542,"2022-02-14","15m",3,10,10
"3",0.05,0.501928571428571,0.380612536306168,0.139229820681799,0.168010040205075,"2022-02-14","30m",0,10,10
"4",0.05,0.3895,0.235490322332715,0.154769617227444,0.193476808391006,"2022-02-14","30m",3,10,10
"5",0.05,0.537587301587302,0.420509868357194,0.167088050417216,0.207327674608413,"2022-02-14","15-30m",0,10,10
"6",0.05,0.3895,0.235490322332715,0.154769617227444,0.193476808391006,"2022-02-14","15-30m",4,10,10
"7",0.05,0.333869047619048,0.18008836162998,0.125436247730347,0.142468040888195,"2022-01-19","30m",0,10,10
"8",0.05,0.375702380952381,0.219281643790292,0.173135813619988,0.214160928450878,"2022-01-19","30m",4,10,10
"9",0.05,0.33497619047619,0.174704352599526,0.117379703529247,0.133284166678954,"2022-01-19","15m",0,10,10
"10",0.05,0.422738095238095,0.276989973896288,0.187604180405218,0.228188833287123,"2022-01-19","15m",4,10,10
"11",0.05,0.353615079365079,0.194386736968819,0.159542084251857,0.194632225679069,"2022-01-19","15-30m",0,10,10
"12",0.05,0.422738095238095,0.276989973896288,0.187604180405218,0.228188833287123,"2022-01-19","15-30m",6,10,10
"13",0.05,0.554813492063492,0.442193993618339,0.152884790548312,0.187013344835468,"2022-02-03","15m",0,10,10
"14",0.05,0.531920634920635,0.411339640606188,0.167589620195858,0.204444300551278,"2022-02-03","15m",3,10,10
"15",0.05,0.453892857142857,0.315468657255501,0.170509102830484,0.205315128858017,"2022-02-03","30m",0,10,10
"16",0.05,0.34509126984127,0.179842823439868,0.16730522799409,0.205555429750018,"2022-02-03","30m",4,10,10
"17",0.05,0.402404761904762,0.250143431208609,0.161972828617016,0.203134365475097,"2022-02-03","15-30m",0,10,10
"18",0.05,0.34509126984127,0.179842823439868,0.16730522799409,0.205555429750018,"2022-02-03","15-30m",6,10,10
"19",0.05,0.719388888888889,0.645968895725728,0.162858921400623,0.203107728668201,"2022-03-09","15m",0,10,10
"20",0.05,0.720674603174603,0.646952041214615,0.166846930046893,0.209793289254219,"2022-03-09","15m",2,10,10
"21",0.05,0.737484126984127,0.669519712336565,0.174847579720103,0.218837850860964,"2022-03-09","30m",0,10,10
"22",0.05,0.771488095238095,0.711157410461446,0.173437781956898,0.21761347931227,"2022-03-09","30m",2,10,10
"23",0.05,0.825888888888889,0.780136912720903,0.135409804175205,0.169998770479812,"2022-03-09","15-30m",0,10,10
